# PORT_M1_SPEC.md §11 generation truth audit (D-069) (spec_sha16=12f0a849107b2d3f)
# params_hash=0c87f9b2ed7fd81e9552b75d62fdae069364b96ff083afce46b8e8bfbba46778
# §11.A progress-decile matrix + the dollars still ahead at each decile boundary (leg-middle density verdict)
asset	era	decile	n_legs	n_candidates	cands_per_leg	share_of_candidates	frac_legs_with_candidate	remaining_at_decile_start_median_usd	remaining_at_decile_start_mean_usd
HG	FIT_2021_2024	6	8015	15675	1.955708	0.078810	0.692826	400.000000	489.952433
HG	FIT_2021_2024	7	8015	16663	2.078977	0.083777	0.701684	350.000000	430.955240
HG	FIT_2021_2024	8	8015	17549	2.189520	0.088232	0.709545	293.750000	361.060512
HG	FIT_2021_2024	9	8015	20748	2.588646	0.104315	0.727636	218.750000	272.177948
HG	GATE_2025	0	2551	10150	3.978832	0.180573	0.754214	1100.000000	1347.398079
HG	GATE_2025	1	2551	6763	2.651117	0.120317	0.785182	825.000000	1045.151411
HG	GATE_2025	2	2551	5575	2.185417	0.099182	0.739710	737.500000	934.929929
HG	GATE_2025	3	2551	4909	1.924343	0.087333	0.703254	675.000000	854.980890
HG	GATE_2025	4	2551	4620	1.811054	0.082192	0.680125	606.250000	776.825265
HG	GATE_2025	5	2551	4592	1.800078	0.081694	0.675421	550.000000	706.041748
HG	GATE_2025	6	2551	4518	1.771070	0.080377	0.671109	487.500000	635.380733
HG	GATE_2025	7	2551	4661	1.827127	0.082921	0.667189	431.250000	568.426597
HG	GATE_2025	8	2551	4738	1.857311	0.084291	0.663661	356.250000	474.404645
HG	GATE_2025	9	2551	5684	2.228146	0.101121	0.693846	262.500000	355.571345
NKD	2021	0	2013	8652	4.298063	0.186925	0.777447	912.500000	1055.340288
NKD	2021	1	2013	5526	2.745156	0.119388	0.796324	687.500000	819.311972
NKD	2021	2	2013	4340	2.155986	0.093765	0.766021	625.000000	737.456533
NKD	2021	3	2013	3978	1.976155	0.085944	0.729260	575.000000	670.976155
NKD	2021	4	2013	3741	1.858420	0.080824	0.716344	525.000000	614.077248
NKD	2021	5	2013	3639	1.807750	0.078620	0.703428	475.000000	557.557129
NKD	2021	6	2013	3766	1.870840	0.081364	0.700447	437.500000	503.402881
NKD	2021	7	2013	3769	1.872330	0.081429	0.675609	375.000000	439.567809
NKD	2021	8	2013	4055	2.014406	0.087607	0.701441	312.500000	368.082464
NKD	2021	9	2013	4820	2.394436	0.104135	0.730253	237.500000	279.185296
NKD	2022	0	2126	9936	4.673565	0.184523	0.805738	937.500000	1103.692380
NKD	2022	1	2126	6300	2.963311	0.116998	0.842427	712.500000	851.852070
NKD	2022	2	2126	5201	2.446378	0.096588	0.779398	637.500000	764.281515
NKD	2022	3	2126	4636	2.180621	0.086096	0.740357	575.000000	695.284572
NKD	2022	4	2126	4323	2.033396	0.080283	0.715898	525.000000	633.219661
NKD	2022	5	2126	4330	2.036689	0.080413	0.716369	475.000000	569.855362
NKD	2022	6	2126	4190	1.970837	0.077813	0.688147	425.000000	511.388758
NKD	2022	7	2126	4620	2.173095	0.085799	0.708373	375.000000	448.641816
NKD	2022	8	2126	4785	2.250706	0.088863	0.706491	312.500000	375.170508
NKD	2022	9	2126	5526	2.599247	0.102624	0.737065	225.000000	278.568909
NKD	2023	0	2008	8713	4.339143	0.187143	0.780378	875.000000	1040.388446
NKD	2023	1	2008	5617	2.797311	0.120645	0.814741	675.000000	802.309512
NKD	2023	2	2008	4607	2.294323	0.098952	0.768426	600.000000	716.247510
NKD	2023	3	2008	4061	2.022410	0.087225	0.721614	537.500000	649.433516
NKD	2023	4	2008	3937	1.960657	0.084561	0.708167	487.500000	587.531125
NKD	2023	5	2008	3696	1.840637	0.079385	0.680777	425.000000	526.381972
NKD	2023	6	2008	3690	1.837649	0.079256	0.670319	387.500000	473.456175
NKD	2023	7	2008	3755	1.870020	0.080652	0.695219	350.000000	415.768177
NKD	2023	8	2008	3881	1.932769	0.083358	0.684263	300.000000	354.394920
NKD	2023	9	2008	4601	2.291335	0.098823	0.681773	212.500000	266.253735
NKD	2024	0	2391	10149	4.244668	0.185852	0.770807	1350.000000	1607.324341
NKD	2024	1	2391	6368	2.663321	0.116613	0.789210	1000.000000	1232.434128
NKD	2024	2	2391	5398	2.257633	0.098850	0.765370	887.500000	1113.833124
NKD	2024	3	2391	4787	2.002091	0.087661	0.734421	812.500000	1009.849435
NKD	2024	4	2391	4421	1.849017	0.080959	0.700544	725.000000	929.062108
NKD	2024	5	2391	4342	1.815977	0.079512	0.698034	662.500000	845.425554
NKD	2024	6	2391	4241	1.773735	0.077663	0.690506	587.500000	757.507319
NKD	2024	7	2391	4521	1.890841	0.082790	0.697616	525.000000	661.924927
NKD	2024	8	2391	4875	2.038896	0.089273	0.706399	450.000000	559.028649
NKD	2024	9	2391	5506	2.302802	0.100828	0.708072	325.000000	418.564408
NKD	2025	0	2448	10443	4.265931	0.181785	0.769608	1412.500000	1688.179126
NKD	2025	1	2448	6972	2.848039	0.121364	0.803922	1050.000000	1289.782475
NKD	2025	2	2448	5598	2.286765	0.097446	0.752859	912.500000	1145.899714
NKD	2025	3	2448	4928	2.013072	0.085783	0.726716	825.000000	1034.880515
NKD	2025	4	2448	4880	1.993464	0.084948	0.708333	762.500000	945.220588
NKD	2025	5	2448	4664	1.905229	0.081188	0.686683	687.500000	848.590686
NKD	2025	6	2448	4547	1.857435	0.079151	0.690359	612.500000	764.016544
NKD	2025	7	2448	4606	1.881536	0.080178	0.674428	525.000000	669.449551
NKD	2025	8	2448	4935	2.015931	0.085905	0.685458	450.000000	563.240400
NKD	2025	9	2448	5874	2.399510	0.102251	0.702206	325.000000	416.600286
NKD	ALL	0	10986	47893	4.359457	0.185097	0.780266	1075.000000	1323.113508
NKD	ALL	1	10986	30783	2.802021	0.118970	0.808757	812.500000	1017.248088
NKD	ALL	2	10986	25144	2.288731	0.097176	0.765975	725.000000	911.698981
NKD	ALL	3	10986	22390	2.038048	0.086533	0.730566	650.000000	826.583834
NKD	ALL	4	10986	21302	1.939013	0.082328	0.709539	600.000000	755.271482
NKD	ALL	5	10986	20671	1.881577	0.079889	0.696887	537.500000	681.741535
NKD	ALL	6	10986	20434	1.860004	0.078973	0.688149	487.500000	612.850446
NKD	ALL	7	10986	21271	1.936192	0.082208	0.690060	425.000000	536.592026
NKD	ALL	8	10986	22531	2.050883	0.087078	0.696796	362.500000	451.996860
NKD	ALL	9	10986	26327	2.396414	0.101748	0.711633	262.500000	337.657018
NKD	FIT_2021_2024	0	8538	37450	4.386273	0.186042	0.783322	1000.000000	1218.442551
NKD	FIT_2021_2024	1	8538	23811	2.788826	0.118287	0.810143	762.500000	939.107519
NKD	FIT_2021_2024	2	8538	19546	2.289295	0.097099	0.769735	675.000000	844.549368
NKD	FIT_2021_2024	3	8538	17462	2.045210	0.086747	0.731670	612.500000	766.861384
NKD	FIT_2021_2024	4	8538	16422	1.923401	0.081580	0.709885	562.500000	700.809616
NKD	FIT_2021_2024	5	8538	16007	1.874795	0.079519	0.699813	500.000000	633.902846
NKD	FIT_2021_2024	6	8538	15887	1.860740	0.078922	0.687515	450.000000	569.508374
NKD	FIT_2021_2024	7	8538	16665	1.951862	0.082787	0.694542	400.000000	498.499356
NKD	FIT_2021_2024	8	8538	17596	2.060904	0.087412	0.700047	337.500000	420.101312
NKD	FIT_2021_2024	9	8538	20453	2.395526	0.101605	0.714336	250.000000	315.022546
NKD	GATE_2025	0	2448	10443	4.265931	0.181785	0.769608	1412.500000	1688.179126
NKD	GATE_2025	1	2448	6972	2.848039	0.121364	0.803922	1050.000000	1289.782475
NKD	GATE_2025	2	2448	5598	2.286765	0.097446	0.752859	912.500000	1145.899714
NKD	GATE_2025	3	2448	4928	2.013072	0.085783	0.726716	825.000000	1034.880515
NKD	GATE_2025	4	2448	4880	1.993464	0.084948	0.708333	762.500000	945.220588
NKD	GATE_2025	5	2448	4664	1.905229	0.081188	0.686683	687.500000	848.590686
NKD	GATE_2025	6	2448	4547	1.857435	0.079151	0.690359	612.500000	764.016544
NKD	GATE_2025	7	2448	4606	1.881536	0.080178	0.674428	525.000000	669.449551
NKD	GATE_2025	8	2448	4935	2.015931	0.085905	0.685458	450.000000	563.240400
NKD	GATE_2025	9	2448	5874	2.399510	0.102251	0.702206	325.000000	416.600286
SI	2021	0	1166	5200	4.459691	0.183079	0.785592	1025.000000	1198.563465
SI	2021	1	1166	3431	2.942539	0.120797	0.811321	762.500000	927.304889
SI	2021	2	1166	2728	2.339623	0.096046	0.745283	668.750000	832.300600
SI	2021	3	1166	2337	2.004288	0.082280	0.720412	600.000000	753.666381
SI	2021	4	1166	2192	1.879931	0.077175	0.704974	562.500000	696.773156
SI	2021	5	1166	2123	1.820755	0.074746	0.691252	500.000000	636.931818
SI	2021	6	1166	2127	1.824185	0.074886	0.650086	462.500000	581.282161
SI	2021	7	1166	2307	1.978559	0.081224	0.679245	400.000000	519.178816
SI	2021	8	1166	2492	2.137221	0.087737	0.667238	350.000000	444.736278
SI	2021	9	1166	3466	2.972556	0.122029	0.702401	250.000000	337.800172
SI	2022	0	2409	10799	4.482773	0.182502	0.791200	1100.000000	1303.538813
SI	2022	1	2409	7149	2.967621	0.120817	0.820672	825.000000	1013.833541
SI	2022	2	2409	5872	2.437526	0.099236	0.758406	737.500000	912.525944
SI	2022	3	2409	5119	2.124948	0.086511	0.726027	675.000000	831.470527
SI	2022	4	2409	4843	2.010378	0.081846	0.722291	600.000000	747.504151
SI	2022	5	2409	4716	1.957659	0.079700	0.699875	550.000000	678.460980
SI	2022	6	2409	4597	1.908261	0.077689	0.675384	500.000000	614.388751
SI	2022	7	2409	4752	1.972603	0.080308	0.696139	425.000000	542.346409
SI	2022	8	2409	5062	2.101287	0.085547	0.694064	375.000000	454.695932
SI	2022	9	2409	6263	2.599834	0.105844	0.722291	262.500000	345.848900
SI	2023	0	2478	10678	4.309120	0.179170	0.769976	975.000000	1161.470944
SI	2023	1	2478	7414	2.991929	0.124402	0.797014	750.000000	900.055488
SI	2023	2	2478	5707	2.303067	0.095760	0.748184	662.500000	805.180589
SI	2023	3	2478	4944	1.995157	0.082957	0.725989	600.000000	737.449556
SI	2023	4	2478	4764	1.922518	0.079937	0.704600	550.000000	674.964689
SI	2023	5	2478	4725	1.906780	0.079283	0.694108	500.000000	610.769774
SI	2023	6	2478	4706	1.899112	0.078964	0.671106	450.000000	550.035311
SI	2023	7	2478	4701	1.897094	0.078880	0.676755	387.500000	483.585553
SI	2023	8	2478	5422	2.188055	0.090978	0.681195	325.000000	414.593422
SI	2023	9	2478	6536	2.637611	0.109670	0.692090	250.000000	310.441889
SI	2024	0	2465	11379	4.616227	0.184138	0.780527	1362.500000	1606.749493
SI	2024	1	2465	7410	3.006085	0.119911	0.812982	1000.000000	1239.046653
SI	2024	2	2465	5875	2.383367	0.095071	0.761460	887.500000	1112.652130
SI	2024	3	2465	5375	2.180527	0.086980	0.746450	812.500000	1020.993915
SI	2024	4	2465	4992	2.025152	0.080782	0.724544	750.000000	933.696755
SI	2024	5	2465	4836	1.961866	0.078257	0.718458	687.500000	852.865112
SI	2024	6	2465	4795	1.945233	0.077594	0.684787	612.500000	769.852941
SI	2024	7	2465	4996	2.026775	0.080847	0.700203	537.500000	673.635903
SI	2024	8	2465	5474	2.220690	0.088582	0.714402	450.000000	571.693712
SI	2024	9	2465	6664	2.703448	0.107839	0.711968	325.000000	431.541582
SI	2025	0	2942	13099	4.452413	0.187643	0.757648	1925.000000	2542.951224
SI	2025	1	2942	8740	2.970768	0.125201	0.816451	1425.000000	1949.061013
SI	2025	2	2942	6684	2.271924	0.095748	0.763426	1250.000000	1759.700034
SI	2025	3	2942	5991	2.036370	0.085821	0.732495	1150.000000	1612.810163
SI	2025	4	2942	5595	1.901768	0.080148	0.714480	1025.000000	1484.083956
SI	2025	5	2942	5426	1.844324	0.077727	0.694426	950.000000	1376.032461
SI	2025	6	2942	5306	1.803535	0.076008	0.680829	850.000000	1237.895139
SI	2025	7	2942	5693	1.935078	0.081552	0.685928	737.500000	1098.903807
SI	2025	8	2942	6017	2.045207	0.086194	0.700884	650.000000	934.173182
SI	2025	9	2942	7257	2.466689	0.103957	0.719579	475.000000	703.059143
SI	ALL	0	11460	51155	4.463787	0.183499	0.775131	1250.000000	1645.538831
SI	ALL	1	11460	34144	2.979407	0.122478	0.811867	937.500000	1268.960515
SI	ALL	2	11460	26866	2.344328	0.096371	0.756806	825.000000	1141.684119
SI	ALL	3	11460	23766	2.073822	0.085251	0.731501	750.000000	1044.574607
SI	ALL	4	11460	22386	1.953403	0.080301	0.715183	700.000000	955.800611
SI	ALL	5	11460	21826	1.904538	0.078292	0.700349	625.000000	876.192190
SI	ALL	6	11460	21531	1.878796	0.077234	0.675305	562.500000	790.610820
SI	ALL	7	11460	22449	1.958901	0.080527	0.688482	500.000000	698.402051
SI	ALL	8	11460	24467	2.134991	0.087766	0.694677	425.000000	593.267888
SI	ALL	9	11460	30186	2.634031	0.108280	0.710820	312.500000	447.508726
SI	FIT_2021_2024	0	8518	38056	4.467715	0.182114	0.781169	1125.000000	1335.584938
SI	FIT_2021_2024	1	8518	25404	2.982390	0.121569	0.810284	837.500000	1034.063160
SI	FIT_2021_2024	2	8518	20182	2.369336	0.096579	0.754520	737.500000	928.229925
SI	FIT_2021_2024	3	8518	17775	2.086757	0.085061	0.731158	675.000000	848.313865
SI	FIT_2021_2024	4	8518	16791	1.971237	0.080352	0.715426	612.500000	773.338812
SI	FIT_2021_2024	5	8518	16400	1.925335	0.078481	0.702395	562.500000	703.554238
SI	FIT_2021_2024	6	8518	16225	1.904790	0.077643	0.673398	500.000000	636.124971
SI	FIT_2021_2024	7	8518	16756	1.967128	0.080185	0.689364	437.500000	560.074255
SI	FIT_2021_2024	8	8518	18450	2.166001	0.088291	0.692533	375.000000	475.523891
SI	FIT_2021_2024	9	8518	22929	2.691829	0.109725	0.707795	275.000000	359.245128
SI	GATE_2025	0	2942	13099	4.452413	0.187643	0.757648	1925.000000	2542.951224
SI	GATE_2025	1	2942	8740	2.970768	0.125201	0.816451	1425.000000	1949.061013
SI	GATE_2025	2	2942	6684	2.271924	0.095748	0.763426	1250.000000	1759.700034
SI	GATE_2025	3	2942	5991	2.036370	0.085821	0.732495	1150.000000	1612.810163
SI	GATE_2025	4	2942	5595	1.901768	0.080148	0.714480	1025.000000	1484.083956
SI	GATE_2025	5	2942	5426	1.844324	0.077727	0.694426	950.000000	1376.032461
SI	GATE_2025	6	2942	5306	1.803535	0.076008	0.680829	850.000000	1237.895139
SI	GATE_2025	7	2942	5693	1.935078	0.081552	0.685928	737.500000	1098.903807
SI	GATE_2025	8	2942	6017	2.045207	0.086194	0.700884	650.000000	934.173182
SI	GATE_2025	9	2942	7257	2.466689	0.103957	0.719579	475.000000	703.059143
