# PORT_M1_SPEC.md §11 generation truth audit (D-069) (spec_sha16=12f0a849107b2d3f)
# params_hash=0c87f9b2ed7fd81e9552b75d62fdae069364b96ff083afce46b8e8bfbba46778
# deterministic by construction: the cell's MEDIAN-offer session (seed 20260814 declared, never consulted)
asset	year	offer_quartile	n_sessions_in_cell	offer_lo_usd	offer_hi_usd	trade_date	offer_usd	plot
HG	2024	3	65	1993.750000	2712.500000	2024-01-24	2312.500000	HG_20240124.png
HG	2024	4	65	2718.750000	8512.500000	2024-08-15	3375.000000	HG_20240815.png
HG	2025	1	64	812.500000	2025.000000	2025-11-24	1481.250000	HG_20251124.png
HG	2025	2	65	2050.000000	2687.500000	2025-07-25	2318.750000	HG_20250725.png
HG	2025	3	64	2706.250000	3612.500000	2025-05-02	3118.750000	HG_20250502.png
HG	2025	4	65	3650.000000	31918.750000	2025-07-22	4662.500000	HG_20250722.png
NKD	2021	1	62	712.500000	1525.000000	2021-04-15	1325.000000	NKD_20210415.png
NKD	2021	2	62	1537.500000	2175.000000	2021-11-04	1812.500000	NKD_20211104.png
NKD	2021	3	62	2187.500000	2925.000000	2021-09-29	2487.500000	NKD_20210929.png
NKD	2021	4	62	2937.500000	7800.000000	2021-03-02	3550.000000	NKD_20210302.png
NKD	2022	1	64	625.000000	1737.500000	2022-08-15	1387.500000	NKD_20220815.png
NKD	2022	2	65	1775.000000	2275.000000	2022-08-05	2025.000000	NKD_20220805.png
NKD	2022	3	64	2275.000000	2987.500000	2022-11-04	2550.000000	NKD_20221104.png
NKD	2022	4	65	3012.500000	6737.500000	2022-07-01	3675.000000	NKD_20220701.png
NKD	2023	1	64	587.500000	1587.500000	2023-12-21	1300.000000	NKD_20231221.png
NKD	2023	2	65	1600.000000	2150.000000	2023-01-03	1875.000000	NKD_20230103.png
NKD	2023	3	64	2150.000000	2950.000000	2023-05-31	2537.500000	NKD_20230531.png
NKD	2023	4	65	2975.000000	5837.500000	2023-03-16	3412.500000	NKD_20230316.png
NKD	2024	1	64	1200.000000	2625.000000	2024-02-02	2075.000000	NKD_20240202.png
NKD	2024	2	65	2625.000000	3337.500000	2024-04-18	2887.500000	NKD_20240418.png
NKD	2024	3	65	3362.500000	4450.000000	2024-09-20	3775.000000	NKD_20240920.png
NKD	2024	4	65	4475.000000	20462.500000	2024-10-07	5512.500000	NKD_20241007.png
NKD	2025	1	64	1200.000000	2437.500000	2025-06-24	2100.000000	NKD_20250624.png
NKD	2025	2	65	2462.500000	3437.500000	2025-02-19	2875.000000	NKD_20250219.png
NKD	2025	3	64	3475.000000	4587.500000	2025-02-25	3975.000000	NKD_20250225.png
NKD	2025	4	65	4675.000000	20150.000000	2025-03-28	6075.000000	NKD_20250328.png
