release_name,reference_month,date,time_et,status,wayback_snapshot_date
CPI,January 2024,2024-02-13,08:30,actual,2024-06-04
Employment Situation,February 2024,2024-03-08,08:30,actual,2024-06-05
CPI,February 2024,2024-03-12,08:30,actual,2024-06-04
Employment Situation,March 2024,2024-04-05,08:30,actual,2024-06-05
CPI,March 2024,2024-04-10,08:30,actual,2024-06-04
Employment Situation,April 2024,2024-05-03,08:30,actual,2024-06-05
CPI,April 2024,2024-05-15,08:30,actual,2024-06-04
Employment Situation,May 2024,2024-06-07,08:30,scheduled_at_capture,2024-06-05
CPI,May 2024,2024-06-12,08:30,scheduled_at_capture,2024-06-04
Employment Situation,June 2024,2024-07-05,08:30,scheduled_at_capture,2024-06-05
CPI,June 2024,2024-07-11,08:30,scheduled_at_capture,2024-06-04
Employment Situation,July 2024,2024-08-02,08:30,scheduled_at_capture,2024-06-05
CPI,July 2024,2024-08-14,08:30,scheduled_at_capture,2024-06-04
Employment Situation,August 2024,2024-09-06,08:30,scheduled_at_capture,2024-06-05
CPI,August 2024,2024-09-11,08:30,scheduled_at_capture,2024-06-04
Employment Situation,September 2024,2024-10-04,08:30,scheduled_at_capture,2024-06-05
CPI,September 2024,2024-10-10,08:30,scheduled_at_capture,2024-06-04
Employment Situation,October 2024,2024-11-01,08:30,actual,2026-01-04
CPI,October 2024,2024-11-13,08:30,actual,2026-01-23
Employment Situation,November 2024,2024-12-06,08:30,actual,2026-01-04
CPI,November 2024,2024-12-11,08:30,actual,2026-01-23
Employment Situation,December 2024,2025-01-10,08:30,actual,2026-01-04
CPI,December 2024,2025-01-15,08:30,actual,2026-01-23
Employment Situation,January 2025,2025-02-07,08:30,actual,2026-01-04
CPI,January 2025,2025-02-12,08:30,actual,2026-01-23
Employment Situation,February 2025,2025-03-07,08:30,actual,2026-01-04
CPI,February 2025,2025-03-12,08:30,actual,2026-01-23
Employment Situation,March 2025,2025-04-04,08:30,actual,2026-01-04
CPI,March 2025,2025-04-10,08:30,actual,2026-01-23
Employment Situation,April 2025,2025-05-02,08:30,actual,2026-01-04
CPI,April 2025,2025-05-13,08:30,actual,2026-01-23
Employment Situation,May 2025,2025-06-06,08:30,actual,2026-01-04
CPI,May 2025,2025-06-11,08:30,actual,2026-01-23
Employment Situation,June 2025,2025-07-03,08:30,actual,2026-01-04
CPI,June 2025,2025-07-15,08:30,actual,2026-01-23
Employment Situation,July 2025,2025-08-01,08:30,actual,2026-01-04
CPI,July 2025,2025-08-12,08:30,actual,2026-01-23
Employment Situation,August 2025,2025-09-05,08:30,actual,2026-01-04
CPI,August 2025,2025-09-11,08:30,actual,2026-01-23
CPI,September 2025,2025-10-24,08:30,actual,2026-01-23
Employment Situation,October 2025,2025-11-07,08:30,scheduled_at_capture,2025-01-04
CPI,October 2025,2025-11-13,08:30,scheduled_at_capture,2025-06-05
Employment Situation,September 2025,2025-11-20,08:30,actual,2026-01-04
Employment Situation,November 2025,2025-12-16,08:30,actual,2026-06-12
CPI,November 2025,2025-12-18,08:30,actual,2026-07-02
Employment Situation,December 2025,2026-01-09,08:30,actual,2026-06-12
CPI,December 2025,2026-01-13,08:30,actual,2026-07-02
Employment Situation,January 2026,2026-02-11,08:30,actual,2026-06-12
CPI,January 2026,2026-02-13,08:30,actual,2026-07-02
Employment Situation,February 2026,2026-03-06,08:30,actual,2026-06-12
CPI,February 2026,2026-03-11,08:30,actual,2026-07-02
Employment Situation,March 2026,2026-04-03,08:30,actual,2026-06-12
CPI,March 2026,2026-04-10,08:30,actual,2026-07-02
Employment Situation,April 2026,2026-05-08,08:30,actual,2026-06-12
CPI,April 2026,2026-05-12,08:30,actual,2026-07-02
Employment Situation,May 2026,2026-06-05,08:30,actual,2026-06-12
CPI,May 2026,2026-06-10,08:30,actual,2026-07-02
Employment Situation,June 2026,2026-07-02,08:30,scheduled_at_capture,2026-06-12
CPI,June 2026,2026-07-14,08:30,scheduled_at_capture,2026-07-02
Employment Situation,July 2026,2026-08-07,08:30,scheduled_at_capture,2026-06-12
CPI,July 2026,2026-08-12,08:30,scheduled_at_capture,2026-07-02
Employment Situation,August 2026,2026-09-04,08:30,scheduled_at_capture,2026-06-12
CPI,August 2026,2026-09-11,08:30,scheduled_at_capture,2026-07-02
Employment Situation,September 2026,2026-10-02,08:30,scheduled_at_capture,2026-06-12
CPI,September 2026,2026-10-14,08:30,scheduled_at_capture,2026-07-02
Employment Situation,October 2026,2026-11-06,08:30,scheduled_at_capture,2026-06-12
CPI,October 2026,2026-11-10,08:30,scheduled_at_capture,2026-07-02
Employment Situation,November 2026,2026-12-04,08:30,scheduled_at_capture,2026-06-12
CPI,November 2026,2026-12-10,08:30,scheduled_at_capture,2026-07-02
