# E6 EXTRACTION companion — see provenance/port_m2/E6_EXTRACTION.md and design/TEACHER_FEATURES_V1.md
# target = panel_score.outcome(rep_cid)['winner_close'] (D-021)
stratum	date8	block	episode_id	asset	side	sec	phase	cls	call	src	p	reader_stated_reason	cert_close_usd	mae	walled	winner	oracle_seat	cues_present	unspent_phase_usd	cov_phase	runway_phase	near_d	min_tc_near	extreme_age	f5m_sflow	fph_sflow	n_ev_60	rv60	rv1800	trap_ab	trap_bl	spread_dec	ladder_pos
BLIND_TAKE	20240422	BLIND	SI-20240422-S-E55	SI	S	10:20	LONDON	REVERSAL-CONFIRMATION	TAKE	RUBRIC	0.182	fresh+level_held+flow+fuel	157.50	575.00	0	0	0	level_tested_held,fresh_extreme,fuel_trapped	488.5	64.2	9580	37.3	8	828	-12	66	368	43.3	386.7	872	1804	25	below_q10
BLIND_TAKE	20240422	BLIND	NKD-20240422-S-E59	NKD	S	10:43	LONDON	REVERSAL-CONFIRMATION	TAKE	RUBRIC	0.182	fresh+level_held+flow+fuel	-405.00	887.50	1	0	0	level_tested_held,one_sided_flow,fresh_extreme,fuel_trapped	599.5	51.5	8163	-36.4	9	300	-8	-92	234	54.5	334	183	527	25	below_q10
BLIND_TAKE	20240422	BLIND	SI-20240422-S-E67	SI	S	13:01	NY	OPEN-DYNAMICS	TAKE	OVERRIDE	0.180	13:01 NY-open reset on SI: $2,034 unspent and the full phase ahead, 5-minute flow -98 with the short. Level distance (68c) is the weak leg; capacity + one-sided flow at a phase open is the part that has paid	2545.00	25.00	0	1	1	phase_open_reset,capacity_big,one_sided_flow,flow_strong,fresh_extreme,poc_magnet,tmz_burst	2034	7.4	35924	67.5	0	37	-98	-30	693	89.3	370.6	192	1	25	below_q10
BLIND_TAKE	20240422	BLIND	HG-20240422-L-E90	HG	L	13:54	NY	REVERSAL-CONFIRMATION	TAKE	RUBRIC	0.182	fresh+level_held+flow+fuel	-917.50	156.25	1	0	0	phase_open_reset,level_tested_held,fresh_extreme,fuel_trapped	479.2	64.8	32738	50	9	307	74	-154	635	54.8	309.3	3528	805	25	below_q10
BLIND_TAKE	20240422	BLIND	NKD-20240422-L-E88	NKD	L	17:19	NY	REVERSAL-CONFIRMATION	TAKE	RUBRIC	0.182	fresh+level_held+flow+fuel	1620.00	112.50	0	1	0	level_tested_held,fresh_extreme,fuel_trapped	917.3	55.9	20454	12.5	13	228	8	-96	506	66.1	397.6	1248	123	25	below_q10
BLIND_TAKE	20240423	BLIND	HG-20240423-L-E10	HG	L	03:30	TOKYO	REVERSAL-CONFIRMATION	TAKE	OVERRIDE	0.180	03:30 Tokyo: price on a level that has already been tested (12c, 1 touch), 5-minute flow +57 and phase +34 with the long, $820 unspent with 5h of phase left	-917.50	25.00	1	0	0	level_tested_held,one_sided_flow,flow_strong,fresh_extreme,fuel_trapped,tmz_burst	820.2	42	19753	-12.5	1	146	57	34	1637	87.3	399.9	3289	116	25	below_q10
BLIND_TAKE	20240423	BLIND	SI-20240423-L-E13	SI	L	03:52	TOKYO	REVERSAL-CONFIRMATION	TAKE	RUBRIC	0.182	fresh+level_held+flow+fuel	-205.00	950.00	1	0	0	level_tested_held,fresh_extreme,fuel_trapped,tmz_burst,expanding,capacity_spent	-341.8	116.1	18452	-20.7	1	10	77	-531	3041	188.3	928.5	9904	12	25	at_or_above_q50
BLIND_TAKE	20240423	BLIND	SI-20240423-S-E41	SI	S	09:33	LONDON	REVERSAL-CONFIRMATION	TAKE	RUBRIC	0.182	fresh+level_held+flow+fuel	7.50	162.50	1	0	0	phase_open_reset,level_tested_held,fresh_extreme,fuel_trapped,poc_magnet,tmz_burst	788.1	44.2	12405	-38.8	1	193	-37	32	1438	106.1	498.4	38	1473	25	below_q10
BLIND_TAKE	20240423	BLIND	HG-20240423-L-E69	HG	L	10:40	LONDON	REVERSAL-CONFIRMATION	TAKE	RUBRIC	0.182	fresh+level_held+flow+fuel	345.00	500.00	0	0	0	level_tested_held,fresh_extreme,fuel_trapped	460.8	53.6	8396	26.2	1	226	2	-173	539	59.3	259.9	5084	113	25	below_q10
BLIND_TAKE	20240423	BLIND	HG-20240423-L-E78	HG	L	13:08	NY	REVERSAL-CONFIRMATION	TAKE	OVERRIDE	0.200	13:08 NY-open reset: $1,357 unspent, price 2c off a level, and the flow is one-sided with the long at both windows (+71 5-min, +117 phase) right at the phase open — capacity, level and flow all pointing the same way	145.00	787.50	0	0	0	phase_open_reset,capacity_big,level_at_price,one_sided_flow,flow_strong,fresh_extreme,NAMED_TRIAD	1357	10	35495	-1.9	0	226	71	117	327	22.5	207.7	136	185	25	below_q10
BLIND_TAKE	20240423	BLIND	SI-20240423-L-E52	SI	L	13:28	NY	REVERSAL-CONFIRMATION	TAKE	OVERRIDE	0.180	13:28 NY: price exactly ON a level (0c), $2,080 unspent, phase flow +119 with the long; the 5-minute window is flat (-9), which is why this is 0.18 and not 0.20	1870.00	100.00	0	1	0	phase_open_reset,capacity_big,level_at_price,flow_flip,wide_spread	2080	21.7	34273	0	0	914	-9	119	509	71.8	410.6	176	1228	50	below_q10
BLIND_TAKE	20240423	BLIND	NKD-20240423-S-E72	NKD	S	15:58	NY	REVERSAL-CONFIRMATION	TAKE	RUBRIC	0.182	fresh+level_held+flow+fuel	-955.00	50.00	1	0	0	level_tested_held,flow_flip,fresh_extreme,fuel_trapped	967.1	57.6	25275	12.5	1	154	1	101	383	77.1	497.8	146	915	25	below_q10
STUDY_TAKE	20240118	STUDY	NKD-20240118-L-E05	NKD	L	00:56	TOKYO	REVERSAL-CONFIRMATION	TAKE	OVERRIDE	0.220	Tokyo low w/ $1,932 unspent and 6.5h runway; trapped volume 134 above vs 3 below = fuel for a squeeze up; mid $312 below prior-session POC = a magnet with room; vol contracting (rv60 98 vs rv1800 394) so the seller push is spent	895.00	187.50	0	0	1	phase_open_reset,capacity_big,flow_flip,fresh_extreme,fuel_trapped	1932	24.4	23610	62.5	1	217	-2	-4	179	97.6	394.3	134	3	25	below_q10
STUDY_TAKE	20240118	STUDY	HG-20240118-S-E05	HG	S	02:13	TOKYO	REVERSAL-CONFIRMATION	TAKE	RUBRIC	0.182	fresh+level_held+flow+fuel	-211.25	218.75	0	0	0	level_at_price,level_tested_held,fresh_extreme,fuel_trapped	608.4	36.5	20764	0	1	377	-26	248	422	30	164.3	419	1814	25	below_q10
STUDY_TAKE	20240118	STUDY	HG-20240118-S-E30	HG	S	08:00	LONDON	OPEN-DYNAMICS	TAKE	OVERRIDE	0.220	London open FAST_OPEN, extreme 39s old, trades/min z 7.1 into a fresh phase with $665 unspent — the phase-open reset is the seat	632.50	31.25	0	0	1	phase_open_reset,level_at_price,fresh_extreme,tmz_burst	665.1	7	14361	2.4	0	39	28	12	643	37.5	174.6	106	12	12.5	below_q10
STUDY_TAKE	20240118	STUDY	SI-20240118-L-E27	SI	L	09:28	LONDON	REVERSAL-CONFIRMATION	TAKE	RUBRIC	0.182	fresh+level_held+flow+fuel	-55.00	962.50	1	0	0	level_tested_held,fresh_extreme,fuel_trapped	403	57.7	9098	-37.5	1	695	21	-159	314	50	278.7	998	251	25	below_q10
STUDY_TAKE	20240118	STUDY	HG-20240118-L-E56	HG	L	14:53	NY	REVERSAL-CONFIRMATION	TAKE	RUBRIC	0.182	fresh+level_held+flow+fuel	882.50	150.00	0	0	0	level_at_price,level_tested_held,one_sided_flow,flow_strong,fresh_extreme,fuel_trapped	456.4	52.6	27381	0.5	1	486	179	768	697	26.5	257.2	13280	2676	12.5	below_q10
STUDY_TAKE	20240118	STUDY	SI-20240118-L-E50	SI	L	15:39	NY	REVERSAL-CONFIRMATION	TAKE	OVERRIDE	0.250	the burst seat: OR_EXT at 0.0c, 1,590 events in 60s, rv60 211 vs rv1800 478, 5-min flow +95 with the long, refill 0.72, and the last four lows all at the same price with the highs stepping up (A2 refail on the SHORT side = the long's edge)	1495.00	125.00	0	1	1	level_at_price,level_tested_held,one_sided_flow,flow_strong,fuel_trapped	792.6	59.7	24618	0	1	4180	95	582	1590	80	477.5	12466	3248	25	below_q10
STUDY_TAKE	20240118	STUDY	NKD-20240118-S-E93	NKD	S	15:52	NY	REVERSAL-CONFIRMATION	TAKE	RUBRIC	0.182	fresh+level_held+flow+fuel	-955.00	0.00	1	0	0	level_at_price,level_tested_held,fresh_extreme,fuel_trapped	498.1	69.8	25637	3.5	1	695	-8	77	577	63.7	451.2	186	1029	25	at_or_above_q10
STUDY_TAKE	20240320	STUDY	HG-20240320-L-E06	HG	L	03:06	TOKYO	REVERSAL-CONFIRMATION	TAKE	OVERRIDE	0.200	the Tokyo seat: 5-min flow +199 and phase flow +183 with 2,954 trapped below vs 151 above, 737 events/60s, trades z +5.4, VWAP 2.9 away, $690 unspent	32.50	962.50	1	0	0	level_at_price,one_sided_flow,flow_strong,tmz_burst	690.2	26.1	21239	2.9	0	2258	199	183	737	41.5	160.9	151	2954	12.5	below_q10
STUDY_TAKE	20240320	STUDY	SI-20240320-L-E18	SI	L	09:01	LONDON	OPEN-DYNAMICS	TAKE	OVERRIDE	0.180	London-open reset: fresh phase, $820 unspent, 4h runway, prior-day level exactly at price, flow +30/+35 with the long	-355.00	850.00	0	0	0	phase_open_reset,level_at_price,level_tested_held,one_sided_flow,fresh_extreme,NAMED_TRIAD	820	10.9	14328	0	2	66	35	24	344	53	226	0	66	25	below_q10
STUDY_TAKE	20240320	STUDY	HG-20240320-L-E48	HG	L	11:09	LONDON	REVERSAL-CONFIRMATION	TAKE	RUBRIC	0.182	fresh+level_held+flow+fuel	82.50	162.50	0	0	0	level_tested_held,fresh_extreme,fuel_trapped,tmz_burst,expanding,capacity_spent	-182.9	123.1	6653	51.1	1	131	39	-861	909	43.3	345.8	10304	1368	12.5	at_or_above_q50
STUDY_TAKE	20240320	STUDY	SI-20240320-S-E79	SI	S	20:13	NY	REVERSAL-CONFIRMATION	TAKE	RUBRIC	0.182	fresh+level_held+flow+fuel	-930.00	87.50	1	0	0	level_at_price,level_tested_held,fresh_extreme,fuel_trapped,expanding,capacity_spent	-777.8	138	9964	-3.7	1	413	-20	113	3880	172.3	1010	2794	28458	25	at_or_above_q75
STUDY_TAKE	20240320	STUDY	NKD-20240320-S-E54	NKD	S	20:16	NY	REVERSAL-CONFIRMATION	TAKE	RUBRIC	0.129	fresh+level_held+flow+fuel+wide	-930.00	262.50	1	0	0	level_at_price,level_tested_held,one_sided_flow,fresh_extreme,fuel_trapped,tmz_burst,wide_spread	775.5	55.7	9807	5.2	2	322	-38	-119	1185	107.5	573.9	222	1770	50	below_q10
STUDY_TAKE	20240320	STUDY	HG-20240320-S-E103	HG	S	20:32	NY	REVERSAL-CONFIRMATION	TAKE	RUBRIC	0.129	level_held+flow+fuel	-711.25	18.75	0	0	0	level_tested_held,flow_flip,fuel_trapped,tmz_burst,expanding,capacity_spent	-33.5	103	8852	-18.8	1	1500	1	3938	1332	59	352.1	4252	40489	12.5	at_or_above_q50
STUDY_TAKE	20240416	STUDY	HG-20240416-L-E10	HG	L	03:22	TOKYO	REVERSAL-CONFIRMATION	TAKE	RUBRIC	0.182	fresh+level_held+flow+fuel	-917.50	437.50	1	0	0	level_tested_held,fresh_extreme,fuel_trapped	619.6	55.4	20272	-50	1	338	42	-367	998	64.3	377.8	4301	789	25	below_q10
STUDY_TAKE	20240416	STUDY	SI-20240416-L-E21	SI	L	04:38	TOKYO	REVERSAL-CONFIRMATION	TAKE	RUBRIC	0.182	fresh+level_held+flow+fuel	-930.00	62.50	1	0	0	level_tested_held,fresh_extreme,fuel_trapped,expanding,capacity_spent	-204.7	111.7	15666	12.5	2	420	19	-95	527	85.7	460.5	10691	249	25	at_or_above_q50
STUDY_TAKE	20240416	STUDY	NKD-20240416-L-E34	NKD	L	05:31	TOKYO	REVERSAL-CONFIRMATION	TAKE	RUBRIC	0.129	fresh+level_held+flow+fuel+wide	95.00	400.00	0	0	0	level_tested_held,flow_flip,fresh_extreme,fuel_trapped,wide_spread	601.4	76.3	10712	41.3	47	24	-2	369	577	95.2	333.5	3142	10	50	at_or_above_q10
STUDY_TAKE	20240416	STUDY	HG-20240416-S-E49	HG	S	09:00	LONDON	OPEN-DYNAMICS	TAKE	RUBRIC	0.182	fresh+level_held+flow+fuel	363.75	400.00	0	0	0	phase_open_reset,capacity_big,level_tested_held,fresh_extreme,fuel_trapped,poc_magnet,tmz_burst	1024	7.3	14383	-50	4	1	-1	3	783	80.3	371.4	0	55	12.5	below_q10
STUDY_TAKE	20240416	STUDY	SI-20240416-S-E82	SI	S	15:03	NY	REVERSAL-CONFIRMATION	TAKE	RUBRIC	0.182	fresh+level_held+flow+fuel	-930.00	950.00	1	0	0	capacity_big,level_tested_held,fresh_extreme,fuel_trapped	2032	36.4	28564	-17.9	8	173	-8	21	1874	130.5	557.2	1971	7654	25	below_q10
STUDY_TAKE	20240416	STUDY	HG-20240416-L-E111	HG	L	16:37	NY	REVERSAL-CONFIRMATION	TAKE	RUBRIC	0.182	fresh+level_held+flow+fuel	226.25	62.50	0	0	0	level_at_price,level_tested_held,fresh_extreme,fuel_trapped	629.7	65	22971	-4.5	2	573	57	-1239	1766	65.3	430.1	30581	4428	12.5	below_q10
STUDY_TAKE	20240416	STUDY	NKD-20240416-S-E120	NKD	S	20:14	NY	REVERSAL-CONFIRMATION	TAKE	RUBRIC	0.182	fresh+level_held+flow+fuel	257.50	0.00	0	0	0	level_at_price,level_tested_held,fresh_extreme,fuel_trapped,tmz_burst	758.8	69.9	9914	1.3	9	316	-7	2	946	106.1	578.8	548	2930	25	at_or_above_q10
STUDY_HAND_SKIP	20240118	STUDY	NKD-20240118-L-E06	NKD	L	01:01	TOKYO	REVERSAL-CONFIRMATION	SKIP	OVERRIDE	0.180	same low, ignition version: 10 members, +300 1-min slope, trades/min z 6.6, rv60 262 — the reclaim actually firing	757.50	75.00	0	0	0	phase_open_reset,capacity_big,level_tested_held,fresh_extreme,event_burst,fuel_trapped,tmz_burst,wide_spread	1757	31.3	23328	-50	1	65	-11	-16	1392	262.2	497	147	69	50	below_q10
STUDY_HAND_SKIP	20240118	STUDY	NKD-20240118-L-E08	NKD	L	01:16	TOKYO	REVERSAL-CONFIRMATION	SKIP	OVERRIDE	0.120	fuel map flips (515 below vs 21 above) but unspent already down to $1,257	-955.00	975.00	1	0	0	capacity_big,level_tested_held,one_sided_flow,wide_spread	1257	50.8	22394	50	1	999	6	24	544	115.9	720.5	21	515	50	below_q10
STUDY_HAND_SKIP	20240118	STUDY	HG-20240118-L-E13	HG	L	04:03	TOKYO	REVERSAL-CONFIRMATION	SKIP	OVERRIDE	0.150	phase H/L level 6c away, extreme 305s old, 60s flow +13 with the long, refill 0.68 = book restocking; $465 unspent on a $1,017 range_hat day is proportionally live	532.50	37.50	0	0	1	level_at_price,level_tested_held,flow_flip,fresh_extreme,fuel_trapped	464.7	51.5	14207	-6.3	1	305	-11	114	439	29.3	164.2	5539	155	12.5	below_q10
STUDY_HAND_SKIP	20240118	STUDY	SI-20240118-L-E10	SI	L	04:06	TOKYO	REVERSAL-CONFIRMATION	SKIP	OVERRIDE	0.150	OR_EXT confluence 44c away, cross-class RCL, extreme only 486s old, 5-min flow +21 with the long; $781 unspent and 3.9h of phase left	620.00	687.50	0	0	1	level_tested_held,one_sided_flow,fresh_extreme,fuel_trapped	780.8	39.6	13988	-43.7	1	486	21	25	263	51.5	211	3206	116	25	below_q10
STUDY_HAND_SKIP	20240118	STUDY	SI-20240118-L-E34	SI	L	12:01	NY	REVERSAL-CONFIRMATION	SKIP	OVERRIDE	0.180	NY open reset: $1,918 unspent, OR_EXT 25c away, 10h runway — the largest capacity of SI's day	807.50	875.00	0	0	0	phase_open_reset,capacity_big,level_tested_held,one_sided_flow,flow_strong,fresh_extreme,fuel_trapped,tmz_burst,wide_spread,NAMED_TRIAD	1918	2.5	37718	-25	4	57	58	16	374	39.5	206.5	37	0	50	below_q10
STUDY_HAND_SKIP	20240118	STUDY	NKD-20240118-L-E69	NKD	L	12:01	NY	REVERSAL-CONFIRMATION	SKIP	OVERRIDE	0.220	NY open reset on NKD: $1,598 unspent, sitting on an OR_EXT, 11h runway, flow flat rather than against	2095.00	0.00	0	1	1	phase_open_reset,capacity_big,fresh_extreme,poc_magnet,wide_spread	1598	3	39496	50	.	103	4	-1	130	33.1	190.8	0	1	50	below_q10
STUDY_HAND_SKIP	20240118	STUDY	HG-20240118-L-E57	HG	L	15:03	NY	REVERSAL-CONFIRMATION	SKIP	OVERRIDE	0.150	fvol ladder level 1c away, 5-min flow +88, $456 unspent against a $1,017 range_hat	945.00	87.50	0	0	1	level_at_price,level_tested_held,one_sided_flow,flow_strong,fuel_trapped	456.4	52.6	26792	1	1	1075	88	881	738	20.7	214.1	15664	1072	12.5	below_q10
STUDY_HAND_SKIP	20240118	STUDY	SI-20240118-L-E47	SI	L	15:12	NY	REVERSAL-CONFIRMATION	SKIP	OVERRIDE	0.120	OR_EXT at 0, +200 slope5m, flow +127 — momentum but the phase is 60% spent	1220.00	400.00	0	0	0	level_at_price,level_tested_held,one_sided_flow,flow_strong,tmz_burst	792.6	59.7	26237	0	1	2561	127	609	2092	123.7	414.8	7417	5843	25	below_q10
STUDY_HAND_SKIP	20240118	STUDY	SI-20240118-L-E51	SI	L	15:47	NY	REVERSAL-CONFIRMATION	SKIP	OVERRIDE	0.200	same thesis 8 minutes later, bigger burst (3,981 events/60s, trades/min 187)	1145.00	300.00	0	0	0	level_at_price,level_tested_held,one_sided_flow,flow_strong,tmz_burst	792.6	59.7	24147	9.5	6	4651	85	630	3981	135.2	506.5	6759	10175	25	below_q10
STUDY_HAND_SKIP	20240320	STUDY	NKD-20240320-L-E10	NKD	L	02:06	TOKYO	REVERSAL-CONFIRMATION	SKIP	OVERRIDE	0.150	Tokyo, $1,668 unspent and 6.4h runway, sitting on an fvol band 2.6 away, event count 477/60s with trades z +2.1 — the first real push of the session	-55.00	250.00	0	0	0	phase_open_reset,capacity_big,level_at_price,level_tested_held,poc_magnet,wide_spread,stale_extreme	1668	33.4	23024	2.6	1	6820	-2	19	477	161.5	478.9	4	551	50	below_q10
STUDY_HAND_SKIP	20240320	STUDY	NKD-20240320-L-E12	NKD	L	02:27	TOKYO	REVERSAL-CONFIRMATION	SKIP	OVERRIDE	0.160	same phase, fuel map now 927 below vs 12 above and 1-min slope +100: the squeeze fuel is under price and the phase still has $968	-930.00	950.00	1	0	0	level_at_price,level_tested_held,one_sided_flow,poc_magnet,wide_spread,stale_extreme	967.8	61.4	21749	5.2	1	8095	23	60	282	95.2	513	12	927	50	at_or_above_q10
STUDY_HAND_SKIP	20240320	STUDY	HG-20240320-L-E08	HG	L	03:16	TOKYO	REVERSAL-CONFIRMATION	SKIP	OVERRIDE	0.170	continuation of the same push, flow +160/+373, trapped-below 3,709	20.00	975.00	1	0	0	phase_open_reset,level_at_price,one_sided_flow,flow_strong,NAMED_TRIAD	690.2	26.1	20607	-6.3	0	2890	160	373	354	26.5	178.1	93	3709	12.5	below_q10
STUDY_HAND_SKIP	20240320	STUDY	HG-20240320-L-E56	HG	L	13:00	NY	REVERSAL-CONFIRMATION	SKIP	OVERRIDE	0.170	NY-open reset on HG: $1,092 unspent, trades z +15.3, 1,025 events/60s (HELD-flagged)	1301.25	125.00	0	1	0	phase_open_reset,capacity_big,level_at_price,one_sided_flow,flow_strong,fresh_extreme,fuel_trapped,tmz_burst,NAMED_TRIAD	1092	1.1	35984	-4	0	11	70	31	1025	46.4	132	103	37	12.5	below_q10
STUDY_HAND_SKIP	20240320	STUDY	SI-20240320-L-E32	SI	L	13:04	NY	OPEN-DYNAMICS	SKIP	OVERRIDE	0.200	NY-open reset: $1,922 unspent, 9.9h runway, OR_EXT 6.3 away, FAST_OPEN class — the biggest capacity of the day (HELD-flagged: FOMC sits inside the horizon)	3645.00	550.00	0	0	0	phase_open_reset,capacity_big,level_at_price,level_tested_held,fresh_extreme	1922	6.1	35700	6.3	5	173	-3	-3	267	45.1	226.4	4	78	25	below_q10
STUDY_HAND_SKIP	20240320	STUDY	SI-20240320-L-E71	SI	L	20:20	NY	REVERSAL-CONFIRMATION	SKIP	OVERRIDE	0.120	DELIBERATE PROBE of the expansion question: the phase has spent 138% of its expected move (unspent -$777) so my capacity rule refuses it, but this is the post-FOMC trend leg with 2,760 events/60s and flow +10/+18 with the long. If capacity-exhaustion is a mean-reversion prior in disguise, this pays.	2245.00	650.00	0	0	0	level_at_price,level_tested_held,one_sided_flow,poc_magnet,expanding,capacity_spent,stale_extreme	-777.8	138	9564	-7.6	1	20130	18	38	2760	134	1100	4839	28163	25	at_or_above_q75
BLIND_HAND_SKIP	20240419	BLIND	HG-20240419-S-E88	HG	S	13:14	NY	REVERSAL-CONFIRMATION	SKIP	OVERRIDE	0.200	NY phase, 13:14: the day's strongest one-sided flow — 5-min -396 and phase -431 with the short — into 1,320 of trapped volume above vs 39 below, a level 37c away, and $1,282 of unspent phase move to travel into	-930.00	0.00	1	0	0	phase_open_reset,capacity_big,level_tested_held,one_sided_flow,flow_strong,fresh_extreme,tmz_burst,NAMED_TRIAD	1282	24.9	35139	-37.5	15	714	-396	-431	1716	79.1	306.3	1320	39	25	below_q10
BLIND_SKIP_CONVICTION	20240423	BLIND	HG-20240423-L-E90	HG	L	15:01	NY	REVERSAL-CONFIRMATION	SKIP	RUBRIC	0.259	fresh+level_held+flow+fuel+burst	601.25	331.25	0	0	1	level_at_price,level_tested_held,one_sided_flow,fresh_extreme,event_burst,fuel_trapped	931.8	38.2	28736	-3.3	3	61	37	1396	2546	104	239.8	8095	221	12.5	below_q10
BLIND_SKIP_CONVICTION	20240422	BLIND	NKD-20240422-L-E89	NKD	L	17:27	NY	REVERSAL-CONFIRMATION	SKIP	RUBRIC	0.182	fresh+level_held+flow+fuel	1595.00	25.00	0	1	0	level_tested_held,flow_flip,fresh_extreme,fuel_trapped	917.3	55.9	19966	-12.5	13	716	-3	-103	360	61.2	394.1	1218	187	25	below_q10
BLIND_SKIP_CONVICTION	20240423	BLIND	SI-20240423-L-E48	SI	L	12:04	LONDON	REVERSAL-CONFIRMATION	SKIP	RUBRIC	0.182	fresh+level_held+flow+fuel	982.50	0.00	0	0	1	level_tested_held,fresh_extreme,fuel_trapped,expanding,capacity_spent	-49.4	103.5	3340	38.8	1	717	17	-333	348	72.9	455.9	7040	765	25	at_or_above_q50
BLIND_SKIP_CONVICTION	20240422	BLIND	HG-20240422-S-E18	HG	S	03:19	TOKYO	REVERSAL-CONFIRMATION	SKIP	RUBRIC	0.182	fresh+level_held+flow+fuel	951.25	575.00	0	0	0	level_at_price,level_tested_held,fresh_extreme,fuel_trapped,tmz_burst	490	72.3	20449	2.8	1	145	-54	8	1473	88.2	492	1768	5857	25	at_or_above_q10
