# PORT M2 D-090.6 information ceiling (E6, hindsight-fit, NON-CAUSAL-BY-DESIGN) (PORT-M2-INFO-CEILING-V1)
# NON-CAUSAL-BY-DESIGN: hindsight-fit upper bound over ALL E6 sessions (study + sealed blind). NOT a deployable result.
# port m2 entry-delay decidability + post-entry divergence (E6, hindsight-fit, NON-CAUSAL-BY-DESIGN)
# THE RULE: enter at t (the current shape); at t+D score the trade on pre-t fields + the [t, t+D] block; if the score is below the threshold CUT at mid(t+D) (realising f_at_D - cost_rt), else ride to the walled phase close.  A trade already stopped by the $900 wall before t+D pays the wall regardless.
# scores are OUT-OF-FOLD (5 folds of whole DAYS); the operating point is a CUT FRACTION q — cut the worst-looking q of the trades still open at t+D (cut_level = the q-quantile of the out-of-fold score)
# proj_usd_at_40pct = 0.40 x mean(winners) + 0.60 x mean(losers) — the teacher's MEASURED sealed take-precision applied to this population's per-class outcomes; per_day assumes the 3-seat shape
# intervals CR1 clustered BY DAY; delta_usd is the PAIRED (managed - unmanaged) difference on the same rows
# cut_would_have_paid_usd = the unmanaged certificate of the trades the rule CUT — the diagnostic that says WHICH tail the score selects; saved_per_cut_usd = realized - would-have-paid, per cut trade (positive = the cut avoided a loss)
population	delay_sec	cut_fraction	cut_level	n	cut_rate	mean_usd_managed	ci_lo	ci_hi	mean_usd_unmanaged	delta_usd	delta_lo	delta_hi	winner_cut_rate	loser_cut_rate	mean_usd_winners	mean_usd_losers	proj_usd_at_40pct	proj_usd_per_day_3trades	cut_would_have_paid_usd	cut_realized_usd	saved_per_cut_usd	kept_would_have_paid_usd	auc	note
WALLPAIR_LEGS	30	0.2	0.297216	5737	0.200105	299.862	231.381	368.344	429.12	-129.257	-200.402	-58.113	0.218761	0.181597	1386.63	-778.231	87.715	263.145	595.005	-50.944	-645.949	387.621	0.471	cut the worst-looking 20% at t+D
WALLPAIR_LEGS	30	0.3	0.37189	5737	0.299983	259.607	180.603	338.611	429.12	-169.513	-253.64	-85.3853	0.314316	0.285764	1212.8	-685.979	73.5347	220.604	515.631	-49.4436	-565.075	392.046	0.471	cut the worst-looking 30% at t+D
WALLPAIR_LEGS	30	0.4	0.438365	5737	0.400035	214.976	129.643	300.308	429.12	-214.144	-303.918	-124.37	0.412671	0.3875	1032.25	-595.768	55.4376	166.313	487.097	-48.2162	-535.313	390.462	0.471	cut the worst-looking 40% at t+D
WALLPAIR_LEGS	30	0.5	0.500093	5737	0.499913	150.277	68.2102	232.344	429.12	-278.842	-368.579	-189.106	0.525726	0.474306	823.931	-517.997	18.7743	56.3228	510.477	-47.3052	-557.782	347.791	0.471	cut the worst-looking 50% at t+D
WALLPAIR_LEGS	30	0.6	0.560243	5737	0.599965	117.101	40.5827	193.619	429.12	-312.018	-397.631	-226.405	0.618481	0.581597	660.633	-422.09	10.9992	32.9975	473.238	-46.8234	-520.061	362.952	0.471	cut the worst-looking 60% at t+D
WALLPAIR_LEGS	30	0.7	0.626107	5737	0.700017	78.0857	9.82972	146.342	429.12	-351.034	-429.521	-272.546	0.715786	0.684375	489.562	-330.104	-2.23786	-6.71358	456.088	-45.376	-501.464	366.187	0.471	cut the worst-looking 70% at t+D
WALLPAIR_LEGS	30	0.8	0.694523	5737	0.799895	39.9135	-15.5213	95.3483	429.12	-389.206	-459.795	-318.617	0.810991	0.788889	317.909	-235.862	-14.3535	-43.0604	442.888	-43.6835	-486.571	374.083	0.471	cut the worst-looking 80% at t+D
WALLPAIR_LEGS	30	0.9	0.779806	5737	0.899948	-12.1455	-47.2802	22.9892	429.12	-441.265	-502.817	-379.713	0.912846	0.887153	125.156	-148.351	-38.9479	-116.844	447.408	-42.9152	-490.323	264.621	0.471	cut the worst-looking 90% at t+D
WALLPAIR_LEGS	60	0	.	5737	0	429.12	380.684	477.555	429.12	0	0	0	0	0	1806.92	-937.682	160.16	480.481	.	.	.	429.12	0.4754	no cut (the unmanaged shape)
WALLPAIR_LEGS	60	0.1	0.213232	5737	0.100052	377.186	327.56	426.812	429.12	-51.9337	-88.5626	-15.3049	0.100805	0.0993056	1617.41	-853.138	135.083	405.249	454.549	-64.5166	-519.066	426.292	0.4754	cut the worst-looking 10% at t+D
WALLPAIR_LEGS	60	0.2	0.295092	5737	0.200105	315.529	254.368	376.69	429.12	-113.591	-174.028	-53.1526	0.20931	0.190972	1413.76	-773.932	101.145	303.435	503.684	-63.9721	-567.656	410.466	0.4754	cut the worst-looking 20% at t+D
WALLPAIR_LEGS	60	0.3	0.370165	5737	0.299983	266.018	194.537	337.5	429.12	-163.101	-236.428	-89.775	0.312216	0.287847	1228.74	-689.013	78.0874	234.262	483.833	-59.87	-543.703	405.673	0.4754	cut the worst-looking 30% at t+D
WALLPAIR_LEGS	60	0.4	0.433013	5737	0.400035	215.617	137.823	293.412	429.12	-213.502	-296.814	-130.191	0.412671	0.3875	1038.59	-600.779	54.9669	164.901	477.2	-56.5087	-533.709	397.061	0.4754	cut the worst-looking 40% at t+D
WALLPAIR_LEGS	60	0.5	0.492023	5737	0.499913	165.818	88.5256	243.11	429.12	-263.302	-347.202	-179.402	0.515226	0.484722	851.366	-514.256	31.993	95.979	473.726	-52.969	-526.695	384.528	0.4754	cut the worst-looking 50% at t+D
WALLPAIR_LEGS	60	0.6	0.554367	5737	0.599965	117.547	45.1833	189.91	429.12	-311.573	-393.221	-229.925	0.616031	0.584028	665.426	-425.957	10.5961	31.7882	468.903	-50.4151	-519.318	369.453	0.4754	cut the worst-looking 60% at t+D
WALLPAIR_LEGS	60	0.7	0.620548	5737	0.700017	69.5893	7.64799	131.531	429.12	-359.53	-433.504	-285.556	0.718236	0.681944	480.549	-338.088	-10.6334	-31.9002	466.069	-47.533	-513.602	342.897	0.4754	cut the worst-looking 70% at t+D
WALLPAIR_LEGS	60	0.8	0.688206	5737	0.799895	27.1041	-22.6744	76.8826	429.12	-402.015	-466.234	-337.797	0.818691	0.78125	305.301	-248.872	-27.2023	-81.607	458.146	-44.4394	-502.585	313.091	0.4754	cut the worst-looking 80% at t+D
WALLPAIR_LEGS	60	0.9	0.776575	5737	0.899773	-10.5746	-40.2366	19.0875	429.12	-439.694	-494.788	-384.6	0.913896	0.885764	134.373	-154.364	-38.8695	-116.608	447.483	-41.1887	-488.672	264.261	0.4754	cut the worst-looking 90% at t+D
WALLPAIR_LEGS	120	0	.	5737	0	429.12	380.684	477.555	429.12	0	0	0	0	0	1806.92	-937.682	160.16	480.481	.	.	.	429.12	0.5004	no cut (the unmanaged shape)
WALLPAIR_LEGS	120	0.1	0.206942	5737	0.0997037	371.645	324.616	418.674	429.12	-57.4745	-88.6366	-26.3124	0.100105	0.0993056	1611.43	-858.242	129.628	388.884	465.28	-111.174	-576.453	425.115	0.5004	cut the worst-looking 10% at t+D
WALLPAIR_LEGS	120	0.2	0.298638	5737	0.199756	303.737	253.004	354.47	429.12	-125.382	-175.795	-74.9698	0.20791	0.191667	1398.12	-781.905	90.1046	270.314	529.942	-97.7356	-627.678	403.952	0.5004	cut the worst-looking 20% at t+D
WALLPAIR_LEGS	120	0.3	0.367238	5737	0.299634	253.525	197.059	309.99	429.12	-175.595	-236.702	-114.487	0.308015	0.291319	1211.45	-696.749	66.53	199.59	499.927	-86.1046	-586.031	398.827	0.5004	cut the worst-looking 30% at t+D
WALLPAIR_LEGS	120	0.4	0.434147	5737	0.399338	222.355	159.547	285.163	429.12	-206.764	-275.77	-137.758	0.39622	0.402431	1052.25	-600.911	60.353	181.059	440.952	-76.8163	-517.768	421.253	0.5004	cut the worst-looking 40% at t+D
WALLPAIR_LEGS	120	0.5	0.497511	5737	0.499216	183.206	116.549	249.863	429.12	-245.914	-320.194	-171.633	0.490725	0.507639	882.898	-510.898	46.6202	139.861	421.211	-71.3888	-492.6	437.003	0.5004	cut the worst-looking 50% at t+D
WALLPAIR_LEGS	120	0.6	0.559875	5737	0.599268	140.763	74.9731	206.553	429.12	-288.356	-363.123	-213.589	0.589429	0.609028	707.218	-421.168	30.1866	90.5598	416.59	-64.5913	-481.181	447.857	0.5004	cut the worst-looking 60% at t+D
WALLPAIR_LEGS	120	0.7	0.627134	5737	0.69932	93.6535	33.7777	153.529	429.12	-335.466	-406.824	-264.108	0.695135	0.703472	526.351	-335.588	9.18739	27.5622	421.419	-58.2839	-479.703	447.029	0.5004	cut the worst-looking 70% at t+D
WALLPAIR_LEGS	120	0.8	0.700367	5737	0.799198	53.1216	3.7349	102.508	429.12	-375.998	-439.801	-312.195	0.80049	0.797917	358.333	-249.653	-6.45827	-19.3748	419.072	-51.3972	-470.469	469.11	0.5004	cut the worst-looking 80% at t+D
WALLPAIR_LEGS	120	0.9	0.78348	5737	0.89925	-7.96322	-36.4138	20.4873	429.12	-437.083	-492.467	-381.698	0.911446	0.887153	152.116	-166.764	-39.2121	-117.636	443.126	-42.9264	-486.052	304.105	0.5004	cut the worst-looking 90% at t+D
WALLPAIR_LEGS	180	0	.	5737	0	429.12	380.684	477.555	429.12	0	0	0	0	0	1806.92	-937.682	160.16	480.481	.	.	.	429.12	0.5369	no cut (the unmanaged shape)
WALLPAIR_LEGS	180	0.1	0.19616	5737	0.0995294	392.926	343.513	442.339	429.12	-36.1938	-64.1282	-8.25936	0.0850543	0.113889	1651.17	-855.271	147.306	441.917	193.61	-170.039	-363.649	455.151	0.5369	cut the worst-looking 10% at t+D
WALLPAIR_LEGS	180	0.2	0.28738	5737	0.199582	344.986	288.376	401.595	429.12	-84.1337	-127.548	-40.7189	0.181659	0.217361	1472.18	-773.203	124.949	374.846	282.473	-139.078	-421.55	465.685	0.5369	cut the worst-looking 20% at t+D
WALLPAIR_LEGS	180	0.3	0.366743	5737	0.299111	304.158	240.739	367.576	429.12	-124.962	-182.539	-67.3849	0.273714	0.324306	1301.57	-685.291	109.454	328.362	295.433	-122.344	-417.778	486.171	0.5369	cut the worst-looking 30% at t+D
WALLPAIR_LEGS	180	0.4	0.436948	5737	0.399163	262.509	192.062	332.957	429.12	-166.61	-235.237	-97.9841	0.367168	0.430903	1126.75	-594.829	93.8024	281.407	308.592	-108.807	-417.399	509.192	0.5369	cut the worst-looking 40% at t+D
WALLPAIR_LEGS	180	0.5	0.502519	5737	0.498867	217.785	151.319	284.251	429.12	-211.334	-279.095	-143.574	0.464123	0.533333	947.29	-505.894	75.3797	226.139	327.689	-95.9395	-423.629	530.091	0.5369	cut the worst-looking 50% at t+D
WALLPAIR_LEGS	180	0.6	0.567413	5737	0.598745	165.216	102.277	228.156	429.12	-263.903	-330.393	-197.413	0.570179	0.627083	757.338	-422.177	49.6293	148.888	358.059	-82.702	-440.761	535.155	0.5369	cut the worst-looking 60% at t+D
WALLPAIR_LEGS	180	0.7	0.637203	5737	0.698797	112.61	56.4801	168.741	429.12	-316.509	-380.79	-252.228	0.679734	0.717708	568.679	-339.816	23.5822	70.7465	381.13	-71.8044	-452.934	540.457	0.5369	cut the worst-looking 70% at t+D
WALLPAIR_LEGS	180	0.8	0.713327	5737	0.798675	52.0202	4.02092	100.02	429.12	-377.099	-438.591	-315.608	0.79349	0.803819	367.878	-261.315	-9.63785	-28.9136	412.818	-59.3376	-472.156	493.788	0.5369	cut the worst-looking 80% at t+D
WALLPAIR_LEGS	180	0.9	0.796533	5737	0.898728	-0.399381	-29.5156	28.7168	429.12	-429.519	-484.304	-374.733	0.902345	0.895139	178.166	-177.539	-35.2569	-105.771	428.603	-49.3161	-477.919	433.705	0.5369	cut the worst-looking 90% at t+D
WALLPAIR_LEGS	300	0	.	5737	0	429.12	380.684	477.555	429.12	0	0	0	0	0	1806.92	-937.682	160.16	480.481	.	.	.	429.12	0.5718	no cut (the unmanaged shape)
WALLPAIR_LEGS	300	0.1	0.184574	5737	0.097612	395.074	346.796	443.353	429.12	-34.0455	-63.7977	-4.29317	0.0759538	0.119097	1659.32	-859.076	148.283	444.848	122.634	-226.15	-348.783	462.272	0.5718	cut the worst-looking 10% at t+D
WALLPAIR_LEGS	300	0.2	0.264428	5737	0.196444	351.592	301.893	401.291	429.12	-77.5275	-116.605	-38.45	0.163108	0.229514	1492.79	-780.493	128.821	386.462	193.974	-200.68	-394.654	486.605	0.5718	cut the worst-looking 20% at t+D
WALLPAIR_LEGS	300	0.3	0.345534	5737	0.295974	317.605	261.951	373.26	429.12	-111.514	-162.861	-60.1673	0.250263	0.341319	1335.97	-692.628	118.812	356.436	203.47	-173.301	-376.77	523.983	0.5718	cut the worst-looking 30% at t+D
WALLPAIR_LEGS	300	0.4	0.421578	5737	0.396026	263.548	204.681	322.415	429.12	-165.571	-228.335	-102.807	0.349667	0.442014	1145.52	-611.376	91.381	274.143	266.787	-151.295	-418.082	535.561	0.5718	cut the worst-looking 40% at t+D
WALLPAIR_LEGS	300	0.5	0.495907	5737	0.495381	215.381	154.053	276.709	429.12	-213.739	-281.543	-145.935	0.449772	0.540625	962.615	-525.885	69.5146	208.544	304.483	-126.981	-431.463	551.475	0.5718	cut the worst-looking 50% at t+D
WALLPAIR_LEGS	300	0.6	0.567135	5737	0.59491	171.688	111.74	231.635	429.12	-257.432	-325.129	-189.735	0.551628	0.637847	787.901	-439.605	51.3975	154.192	323.364	-109.36	-432.724	584.431	0.5718	cut the worst-looking 60% at t+D
WALLPAIR_LEGS	300	0.7	0.64246	5737	0.694963	129.784	73.6641	185.904	429.12	-299.335	-366.168	-232.503	0.651383	0.738194	611.195	-347.782	35.8087	107.426	340.336	-90.3853	-430.722	631.393	0.5718	cut the worst-looking 70% at t+D
WALLPAIR_LEGS	300	0.8	0.729428	5737	0.794318	72.1876	27.5148	116.86	429.12	-356.932	-418.159	-295.705	0.766888	0.821528	418.189	-271.05	4.64526	13.9358	376.789	-72.5678	-449.357	631.213	0.5718	cut the worst-looking 80% at t+D
WALLPAIR_LEGS	300	0.9	0.817307	5737	0.894196	19.098	-10.7344	48.9303	429.12	-410.022	-463.139	-356.904	0.880994	0.907292	227.698	-187.836	-21.6225	-64.8676	404.191	-54.3458	-458.537	639.8	0.5718	cut the worst-looking 90% at t+D
WALLPAIR_LEGS	600	0	.	5737	0	429.12	380.684	477.555	429.12	0	0	0	0	0	1806.92	-937.682	160.16	480.481	.	.	.	429.12	0.6474	no cut (the unmanaged shape)
WALLPAIR_LEGS	600	0.1	0.136278	5737	0.0847133	421.886	371.921	471.85	429.12	-7.23375	-23.1675	8.70003	0.0434022	0.125694	1728.05	-873.852	166.911	500.732	-301.091	-386.481	-85.3909	496.703	0.6474	cut the worst-looking 10% at t+D
WALLPAIR_LEGS	600	0.2	0.241643	5737	0.181802	387.948	337.15	438.747	429.12	-41.1713	-66.1139	-16.2288	0.118306	0.244792	1583.33	-797.884	154.6	463.801	-86.0403	-312.502	-226.462	543.587	0.6474	cut the worst-looking 20% at t+D
WALLPAIR_LEGS	600	0.3	0.334932	5737	0.28046	338.562	285.563	391.56	429.12	-90.558	-126.805	-54.3111	0.20966	0.350694	1406.99	-721.339	129.994	389.983	59.9821	-262.909	-322.891	573.001	0.6474	cut the worst-looking 30% at t+D
WALLPAIR_LEGS	600	0.4	0.421494	5737	0.380164	296.949	244.622	349.276	429.12	-132.171	-174.851	-89.4903	0.302065	0.457639	1238.45	-637.038	113.159	339.478	124.917	-222.75	-347.667	615.696	0.6474	cut the worst-looking 40% at t+D
WALLPAIR_LEGS	600	0.5	0.50643	5737	0.480042	261.05	205.899	316.202	429.12	-168.069	-216.716	-119.423	0.39657	0.562847	1078.63	-550	101.452	304.356	161.621	-188.492	-350.113	676.082	0.6474	cut the worst-looking 50% at t+D
WALLPAIR_LEGS	600	0.6	0.590056	5737	0.580094	206.985	153.415	260.555	429.12	-222.135	-273.453	-170.817	0.506125	0.653472	890.524	-471.096	73.5521	220.656	225.775	-157.154	-382.929	710.037	0.6474	cut the worst-looking 60% at t+D
WALLPAIR_LEGS	600	0.7	0.677714	5737	0.679972	158.343	108.189	208.498	429.12	-270.776	-321.487	-220.065	0.613231	0.746181	707.668	-386.595	51.1103	153.331	269.128	-129.088	-398.217	769.057	0.6474	cut the worst-looking 70% at t+D
WALLPAIR_LEGS	600	0.8	0.770265	5737	0.77985	108.503	67.6785	149.328	429.12	-320.616	-366.829	-274.403	0.726286	0.832986	523.279	-302.96	27.5356	82.6069	313.517	-97.6087	-411.125	838.626	0.6474	cut the worst-looking 80% at t+D
WALLPAIR_LEGS	600	0.9	0.858066	5737	0.879902	48.4306	20.8995	75.9616	429.12	-380.689	-422.239	-339.139	0.853343	0.90625	327.683	-228.592	-6.08179	-18.2454	368.688	-63.9615	-432.649	871.878	0.6474	cut the worst-looking 90% at t+D
WALLPAIR_LEGS	1200	0	.	5737	0	429.12	380.684	477.555	429.12	0	0	0	0	0	1806.92	-937.682	160.16	480.481	.	.	.	429.12	0.7635	no cut (the unmanaged shape)
WALLPAIR_LEGS	1200	0.1	0.0609891	5737	0.0475858	430.685	381.907	479.463	429.12	1.5655	-4.33973	7.47073	0.0119006	0.0829861	1783.34	-911.17	166.635	499.905	-623.956	-591.058	32.8984	481.735	0.7635	cut the worst-looking 10% at t+D
WALLPAIR_LEGS	1200	0.2	0.150302	5737	0.141014	412.25	363.207	461.293	429.12	-16.8697	-35.866	2.12665	0.0654533	0.215972	1678.37	-843.759	165.093	495.278	-334.095	-453.725	-119.631	554.412	0.7635	cut the worst-looking 20% at t+D
WALLPAIR_LEGS	1200	0.3	0.254057	5737	0.239149	388.235	335.821	440.648	429.12	-40.8848	-75.0537	-6.71597	0.132657	0.344792	1545.09	-759.379	162.407	487.222	-197.32	-368.279	-170.959	626.021	0.7635	cut the worst-looking 30% at t+D
WALLPAIR_LEGS	1200	0.4	0.377582	5737	0.337807	350.5	294.547	406.454	429.12	-78.6191	-123.012	-34.2262	0.220161	0.454514	1389.43	-680.137	147.692	443.076	-71.9795	-304.713	-232.733	684.747	0.7635	cut the worst-looking 40% at t+D
WALLPAIR_LEGS	1200	0.5	0.504414	5737	0.437337	316.664	257.702	375.626	429.12	-112.455	-162.447	-62.4632	0.312566	0.561111	1234.28	-593.622	137.538	412.615	5.15843	-251.978	-257.137	758.648	0.7635	cut the worst-looking 50% at t+D
WALLPAIR_LEGS	1200	0.6	0.622991	5737	0.536866	264.095	207.683	320.508	429.12	-165.024	-214.009	-116.039	0.426321	0.646528	1051.79	-517.313	110.33	330.99	103.259	-204.125	-307.384	806.858	0.7635	cut the worst-looking 60% at t+D
WALLPAIR_LEGS	1200	0.7	0.735473	5737	0.636744	220.321	169.563	271.079	429.12	-208.798	-251.889	-165.708	0.536577	0.736111	878.982	-433.079	91.7453	275.236	168.816	-159.099	-327.915	885.4	0.7635	cut the worst-looking 70% at t+D
WALLPAIR_LEGS	1200	0.8	0.842927	5737	0.736448	160.133	116.118	204.148	429.12	-268.986	-307.521	-230.452	0.665383	0.806944	685.379	-360.918	57.6008	172.802	253.568	-111.68	-365.249	919.665	0.7635	cut the worst-looking 80% at t+D
WALLPAIR_LEGS	1200	0.9	0.929591	5737	0.8365	76.8023	44.736	108.869	429.12	-352.317	-387.573	-317.061	0.822191	0.850694	468.952	-312.216	0.251427	0.754281	363.889	-57.2908	-421.18	762.85	0.7635	cut the worst-looking 90% at t+D
WALLPAIR_LEGS	1800	0	.	5737	0	429.12	380.684	477.555	429.12	0	0	0	0	0	1806.92	-937.682	160.16	480.481	.	.	.	429.12	0.8325	no cut (the unmanaged shape)
WALLPAIR_LEGS	1800	0.1	0.0243653	5737	0.0165592	430.132	382.949	477.314	429.12	1.01207	-2.83299	4.85713	0.00210011	0.0309028	1800.81	-929.599	162.564	487.692	-728.553	-667.434	61.1184	448.612	0.8325	cut the worst-looking 10% at t+D
WALLPAIR_LEGS	1800	0.2	0.0998707	5737	0.0991808	434.426	386.413	482.44	429.12	5.30656	-5.07587	15.689	0.0290515	0.16875	1750.75	-871.382	177.469	532.408	-575.793	-522.289	53.504	539.761	0.8325	cut the worst-looking 20% at t+D
WALLPAIR_LEGS	1800	0.3	0.222869	5737	0.195747	415.855	367.271	464.439	429.12	-13.2648	-34.3469	7.81732	0.0885544	0.302083	1635.6	-794.151	177.75	533.25	-357.616	-425.381	-67.7649	620.603	0.8325	cut the worst-looking 30% at t+D
WALLPAIR_LEGS	1800	0.4	0.361995	5737	0.295102	386.958	335.949	437.967	429.12	-42.1616	-74.4684	-9.85484	0.166258	0.422917	1493.6	-710.846	170.932	512.796	-205.078	-347.949	-142.871	694.623	0.8325	cut the worst-looking 40% at t+D
WALLPAIR_LEGS	1800	0.5	0.50267	5737	0.39498	349.625	296.537	402.712	429.12	-79.4949	-118.335	-40.6552	0.261113	0.527778	1334.71	-627.593	157.328	471.983	-78.1465	-279.41	-201.263	760.282	0.8325	cut the worst-looking 50% at t+D
WALLPAIR_LEGS	1800	0.6	0.647467	5737	0.495032	301.666	251.145	352.187	429.12	-127.453	-167.055	-87.8518	0.371019	0.618056	1159.91	-549.727	134.129	402.388	36.1686	-221.296	-257.465	814.339	0.8325	cut the worst-looking 60% at t+D
WALLPAIR_LEGS	1800	0.7	0.785759	5737	0.595085	255.336	206.32	304.353	429.12	-173.783	-209.591	-137.975	0.488624	0.700694	986.479	-469.967	112.611	337.834	124.763	-167.268	-292.031	876.417	0.8325	cut the worst-looking 70% at t+D
WALLPAIR_LEGS	1800	0.8	0.898612	5737	0.694788	190.293	148.243	232.342	429.12	-238.827	-270.253	-207.401	0.631782	0.757292	794.335	-408.926	72.3785	217.136	236.467	-107.274	-343.741	867.676	0.8325	cut the worst-looking 80% at t+D
WALLPAIR_LEGS	1800	0.9	0.966763	5737	0.794666	92.3298	62.3271	122.333	429.12	-336.79	-372.242	-301.338	0.80469	0.784722	563.14	-374.72	0.423832	1.27149	399.56	-24.2531	-423.813	543.52	0.8325	cut the worst-looking 90% at t+D
E6_ALL_EPISODES	0	0	.	74817	0	-31.2962	-44.4279	-18.1646	-31.2962	0	0	0	0	0	1755.9	-122.931	628.603	1885.81	.	.	.	-31.2962	0.6762	no cut (the unmanaged shape)
E6_ALL_EPISODES	0	0.1	0.00139299	74817	0.0999906	-31.2917	-44.3173	-18.266	-31.2962	0.00459454	-1.42628	1.43547	0.0104138	0.104584	1743.16	-122.273	623.9	1871.7	-25.212	-25.1661	0.0459497	-31.9722	0.6762	cut the worst-looking 10% at t+D
E6_ALL_EPISODES	0	0.2	0.00329323	74817	0.199995	-32.1836	-44.6538	-19.7133	-31.2962	-0.887332	-2.98696	1.2123	0.0331598	0.208549	1714.07	-121.719	612.595	1837.78	-22.6502	-27.087	-4.43678	-33.4577	0.6762	cut the worst-looking 20% at t+D
E6_ALL_EPISODES	0	0.3	0.00651496	74817	0.299985	-31.1673	-43.0844	-19.2502	-31.2962	0.128898	-2.96498	3.22278	0.0739929	0.311573	1657.31	-117.741	592.279	1776.84	-28.902	-28.4723	0.429681	-32.3223	0.6762	cut the worst-looking 30% at t+D
E6_ALL_EPISODES	0	0.4	0.011781	74817	0.399989	-31.2668	-42.5589	-19.9746	-31.2962	0.0294886	-3.94625	4.00522	0.135928	0.413529	1564.46	-113.085	557.934	1673.8	-29.727	-29.6533	0.0737235	-32.3423	0.6762	cut the worst-looking 40% at t+D
