# PORT M2 port m2 NEW DECISION OBJECTS — joint (member x delay) ranking, rank-then-gate-verify, optimal stopping (E3-E7 develop, E8 one blind read) (lane=port-m2-newobj; version=PORT-M2-NEWOBJ-V1; seed=20260813)
# E8 QUARANTINE: every fit, threshold and selection in this file is made on E3-E7 only; E8 rows are ONE labeled blind read and were never an input to any choice.
# arm = the curriculum stacked final
# Computed from the SAME replay the $/session table uses, so the panel and the headline cannot disagree.
# dd_* are INTRA-SESSION drawdowns of the seated P&L sequence; the D-030 law is a $1000 maximum and frac_sessions_dd_over_1000 is the breach rate.
# Weekly rows use ISO weeks; weekly_pnl_p10 is the 10th percentile week -- the user's weekly framing of a bad run.
# precision_at_1000 is the fraction of TAKES paying >= $1000 (the D-021 target), not a model probability.
# takes_per_day_* are per SESSION, i.e. per (asset, trading day) -- the unit the one-position contract applies to -- not per calendar day across the three books.
arm	era	asset	n_sessions	n_takes	takes_per_day_mean	takes_per_day_p50	takes_per_day_max	win_rate	precision_at_1000	usd_per_trade_mean	usd_per_trade_median	usd_per_trade_p10	usd_per_trade_p90	mae_mean	mae_p50	mae_p90	wall_hit_rate	usd_per_session	dd_p50	dd_p90	dd_max	frac_sessions_dd_over_1000	losing_day_frac	n_weeks	weekly_pnl_mean	weekly_pnl_p10	losing_week_frac	longest_losing_streak_days	d077_vetoed_candidates
CURRICULUM_STACKED	E5	HG	129	387	3.0	3.0	3.0	0.6899	0.0724	239.78	195.0	-313.75	910.0	146.77	75.0	345.0	0.1318	719.35	180.0	662.75	1122.5	0.0078	0.155	26	3569.09	1532.5	0.0	3	
CURRICULUM_STACKED	E5	NKD	129	387	3.0	3.0	3.0	0.7313	0.1705	394.58	307.5	-407.5	1297.5	188.73	100.0	487.5	0.1809	1183.74	167.5	930.0	1415.0	0.031	0.1473	26	5873.17	2762.5	0.0	2	
CURRICULUM_STACKED	E6	ALL	384	1152	3.0	3.0	3.0	0.5816	0.1623	247.44	170.0	-930.0	1356.25	348.65	187.5	830.62	0.3585	742.32	557.5	1381.25	2396.25	0.2083	0.3411	26	10963.56	2925.0	0.0769	3	6264
CURRICULUM_STACKED	E6	SI	128	384	3.0	3.0	3.0	0.5573	0.1719	236.08	132.5	-930.0	1425.0	467.02	250.0	1156.25	0.4818	708.24	930.0	1504.75	2265.0	0.2734	0.3828	26	3486.73	-931.25	0.1923	4	
CURRICULUM_STACKED	E6	HG	128	384	3.0	3.0	3.0	0.6094	0.1094	224.79	198.13	-626.25	1032.5	239.97	137.5	616.87	0.2552	674.36	301.88	1091.88	2396.25	0.125	0.3125	26	3319.9	-346.88	0.1538	4	
CURRICULUM_STACKED	E6	NKD	128	384	3.0	3.0	3.0	0.5781	0.2057	281.46	170.0	-955.0	1617.5	338.96	200.0	750.0	0.3385	844.38	728.75	1544.0	2277.5	0.2266	0.3281	26	4156.92	-268.75	0.1154	5	
CURRICULUM_STACKED	E7	ALL	393	1179	3.0	3.0	3.0	0.6972	0.2256	485.14	357.5	-930.0	1770.0	323.09	150.0	787.5	0.3452	1455.42	248.75	1250.0	2865.0	0.1374	0.2265	27	21184.44	7690.0	0.037	1	5098
CURRICULUM_STACKED	E7	SI	131	393	3.0	3.0	3.0	0.6692	0.2799	543.28	420.0	-930.0	1977.5	395.55	250.0	975.0	0.4758	1629.85	717.5	1385.0	2077.5	0.1603	0.2595	27	7907.78	3040.0	0.037	2	
CURRICULUM_STACKED	E7	HG	131	393	3.0	3.0	3.0	0.7455	0.1094	342.81	313.75	-373.75	1013.75	178.4	93.75	468.75	0.201	1028.42	123.75	930.0	1772.5	0.0534	0.145	27	4989.72	1447.5	0.0	2	
CURRICULUM_STACKED	E7	NKD	131	393	3.0	3.0	3.0	0.6768	0.2875	569.33	395.0	-955.0	2030.0	395.32	187.5	962.5	0.3588	1708.0	492.5	1347.5	2865.0	0.1985	0.2748	27	8286.94	1645.0	0.0741	5	
