# PORT M2 port m2 NEW DECISION OBJECTS — joint (member x delay) ranking, rank-then-gate-verify, optimal stopping (E3-E7 develop, E8 one blind read) (lane=port-m2-newobj; version=PORT-M2-NEWOBJ-V1; seed=20260813)
# E8 QUARANTINE: every fit, threshold and selection in this file is made on E3-E7 only; E8 rows are ONE labeled blind read and were never an input to any choice.
# THE PRE-REGISTERED PROMOTION BAR, ON THE DEPLOYABLE LINE: a score is promoted only if its blind reading is POSITIVE in all three binding eras, CLEARS its search-adjusted null in all three, and BEATS the incumbent S_XGB|DAYSOFAR ($57.76 / $88.96 / $101.77) in at least two of three — with top-5 P&L concentration below 0.30.
# Both honest selectors are reported.  PREV_ERA is the deployable one; INNER_BLOCK is meaningful here for the first time, because H1_DAYRANK is fitted in this lane and so HAS inner-block coverage — the deployed column has none, which is why its inner readings were silent zeros.
# NARROW_<column> prices each column against only its own policy grid; WIDE_all_columns re-selects the column too and pays the wider null for it.  Both are printed; the wide one is the honest bar when the column itself was chosen after looking.
link	search_width	selector	cell_chosen	usd_on_selector	usd_on_TARGET_BLIND	sd_usd	ci_lo	ci_hi	n_trades_total	n_firing_sessions	n_era_sessions	top5_trade_share_of_pnl	search_adjusted_null	n_cells_searched	beats_null	incumbent_S_XGB_DAYSOFAR	delta_vs_incumbent	beats_incumbent	capture_of_causal_oracle	sign
E6->E7	NARROW_S_XGB	PREV_ERA	S_XGB|CELLSOFAR_0.95	128.25	88.53	13.68	-91.61	268.67	670.8	392.8	393	0.116	18.02	28	YES	101.77	-13.24	no	0.0263	POSITIVE
E6->E7	NARROW_S_XGB	INNER_BLOCK	S_XGB|TAUZ_0.5	0.0	27.46	25.82	-107.24	162.15	590.0	380.0	393	0.117	18.02	28	YES	101.77	-74.31	no	0.0082	POSITIVE
E6->E7	NARROW_S_XGB_DAYZ	PREV_ERA	S_XGB_DAYZ|TAUZ_1	110.06	55.62	19.55	-103.91	215.15	702.8	393.0	393	0.107	13.93	28	YES	101.77	-46.15	no	0.0166	POSITIVE
E6->E7	NARROW_S_XGB_DAYZ	INNER_BLOCK	S_XGB_DAYZ|TAUZ_0.5	0.0	-12.19	9.97	-159.1	134.72	698.6	393.0	393	0.084	13.93	28	no	101.77	-113.96	no	-0.0036	NEGATIVE
E6->E7	NARROW_H1_DAYRANK	PREV_ERA	H1_DAYRANK|DAYSOFAR_0.9	134.64	-35.13	26.35	-160.56	90.3	651.4	393.0	393	0.106	18.16	28	no	101.77	-136.9	no	-0.0105	NEGATIVE
E6->E7	NARROW_H1_DAYRANK	INNER_BLOCK	H1_DAYRANK|DAYSOFAR_0.9	78.06	-35.13	26.35	-160.56	90.3	651.4	393.0	393	0.106	18.16	28	no	101.77	-136.9	no	-0.0105	NEGATIVE
E6->E7	NARROW_ORACLE_DAYRANK	PREV_ERA	ORACLE_DAYRANK|TAU_0.7	2618.35	3287.5	0.0	2997.3	3577.7	1141.0	393.0	393	0.037	125.84	28	YES	101.77	3185.73	YES	0.9784	POSITIVE
E6->E7	NARROW_ORACLE_DAYRANK	INNER_BLOCK	ORACLE_DAYRANK|TAU_0.7	2441.08	3287.5	0.0	2997.3	3577.7	1141.0	393.0	393	0.037	125.84	28	YES	101.77	3185.73	YES	0.9784	POSITIVE
E6->E7	WIDE_all_columns	PREV_ERA	ORACLE_DAYRANK|TAU_0.7	2618.35	3287.5	0.0	2997.3	3577.7	1141.0	393.0	393	0.037	125.84	112	YES	101.77	3185.73	YES	0.9784	POSITIVE
E6->E7	WIDE_all_columns	INNER_BLOCK	ORACLE_DAYRANK|TAU_0.7	2441.08	3287.5	0.0	2997.3	3577.7	1141.0	393.0	393	0.037	125.84	112	YES	101.77	3185.73	YES	0.9784	POSITIVE
