# PORT M2 port m2 NEW DECISION OBJECTS — joint (member x delay) ranking, rank-then-gate-verify, optimal stopping (E3-E7 develop, E8 one blind read) (lane=port-m2-newobj; version=PORT-M2-NEWOBJ-V1; seed=20260813)
# E8 QUARANTINE: every fit, threshold and selection in this file is made on E3-E7 only; E8 rows are ONE labeled blind read and were never an input to any choice.
# SELECTIVE PARTICIPATION -- the fixed 3-seats/day schedule is not the product.  0-3 takes per asset-day, ZERO ALLOWED, gated by a score bar.
# NO BAR IS SELECTED and the whole curve is reported. A selection rule was tried and abandoned: maximising $/session ALWAYS returns q=0 when per-trade expectancy is positive, because more takes mechanically means more dollars.  That objective cannot test a thesis about $/TRADE and DRAWDOWN.
# The bar is the q-quantile of the SELECTED TAKES' own scores -- 'trade only the best 100(1-q)% of the days you would have traded'.  A quantile of the whole candidate pool does not filter at all, because a top-1-per-cell take is already its cell's best.
# Rows below 3 takes/week per asset are FLAGGED against the standing portfolio minimum.
# THE THESIS UNDER TEST: proper selective entries barely draw down, so compliance costs ~nothing without any session stop.  Read win_rate, usd_per_trade and frac_sessions_dd_over_1000 together.
era	quantile_bar	n_seated	takes_per_day_mean	takes_per_week_per_asset	win_rate	usd_per_trade	usd_per_session	usd_per_traded_day	weekly_pnl_mean	weekly_pnl_p10	losing_week_frac	frac_sessions_dd_over_1000	note
E5	0.8	233	1.43	3.01	0.6352	191.51	273.76	273.76	1716.25	-365.63	0.2692	0.0184	
E5	0.9	117	1.27	1.51	0.6154	199.49	253.7	253.7	933.6	-640.5	0.24	0.0109	BELOW WEEKLY FLOOR
E6	0.0	1152	3.0	15.0	0.6207	312.61	937.83	937.83	13851.06	6984.37	0.0	0.1458	
E6	0.2	921	2.45	11.99	0.6308	330.81	810.31	810.31	11718.32	4768.75	0.0	0.1037	
E6	0.4	691	2.07	9.0	0.6165	310.06	641.47	641.47	8240.43	1900.62	0.0385	0.1018	
E6	0.5	576	1.9	7.5	0.6042	280.43	533.09	533.09	6212.55	678.75	0.0769	0.0924	
E6	0.6	461	1.72	6.0	0.6009	242.71	417.5	417.5	4303.41	25.0	0.1154	0.0858	
E6	0.7	346	1.54	4.51	0.5954	233.76	361.08	361.08	3110.87	-828.12	0.1923	0.067	
E6	0.8	231	1.44	3.01	0.5931	223.76	323.05	323.05	1988.03	-324.37	0.1923	0.0688	
E6	0.9	116	1.29	1.51	0.5086	134.55	173.42	173.42	650.31	-1852.75	0.2917	0.0778	BELOW WEEKLY FLOOR
E7	0.0	1179	3.0	15.0	0.7125	509.32	1527.97	1527.97	22240.46	9163.75	0.0	0.1323	
E7	0.2	943	2.42	12.0	0.685	450.47	1092.01	1092.01	15733.01	5137.5	0.0	0.1208	
E7	0.4	707	1.96	8.99	0.645	338.49	664.76	664.76	8863.52	752.25	0.037	0.1083	
E7	0.5	590	1.8	7.51	0.6407	321.68	580.41	580.41	7029.4	59.25	0.1111	0.0856	
E7	0.6	472	1.64	6.01	0.6398	314.89	517.87	517.87	5504.72	830.75	0.0741	0.0801	
E7	0.7	354	1.53	4.5	0.6299	257.78	395.04	395.04	3379.81	-682.5	0.1481	0.0736	
E7	0.8	236	1.42	3.0	0.6059	250.99	356.82	356.82	2193.8	-592.0	0.1481	0.0663	
E7	0.9	118	1.27	1.5	0.6356	175.77	223.02	223.02	768.19	-645.0	0.1852	0.043	BELOW WEEKLY FLOOR
