# PORT M2 port m2 NEW DECISION OBJECTS — joint (member x delay) ranking, rank-then-gate-verify, optimal stopping (E3-E7 develop, E8 one blind read) (lane=port-m2-newobj; version=PORT-M2-NEWOBJ-V1; seed=20260813)
# E8 QUARANTINE: every fit, threshold and selection in this file is made on E3-E7 only; E8 rows are ONE labeled blind read and were never an input to any choice.
# TWO DEFECTS ARE FIXED IN THIS TABLE AND BOTH CHANGE THE HEADLINE.
# (1) THE DENOMINATOR.  `newobj.replay_delayed` emits one row per session THAT TRADED, and `read_rows` averages over exactly those, so every `usd_per_session` this program has printed for an ABSTAINING rule is conditional on trading.  usd_per_session_ALL is the honest figure: non-trading sessions contribute $0 and the mean is over the era's real session count.  usd_per_FIRING_session is the incumbent's quantity, kept beside it so the two are never confused again.  n_trades_total is the count that makes the difference legible.
# (2) THE MISSING FAMILIES.  `ARRIVAL_FITTED.tsv` carried 20 of these 30 policies: the fitted score columns were written only on eval rows, so `seats_tau`/`seats_occupancy` found an all-NaN training block, returned an empty seat list, and were dropped by `if not real: continue`.  Every LEVEL-consuming rule was missing from the table built to measure a calibrated LEVEL — OCCUPANCY among them, the declining-bar rule the seated-vs-selected diagnosis named as the medicine and which the journal recorded as already in flight.
# A POLICY THAT SEATS NOTHING NOW PRINTS A ROW READING $0.00 AT 0.000 seats/session instead of vanishing.
# REPLAYED ON THE ERA'S INNER VALIDATION BLOCK (`iva` of newobj_arms.fold — the last days of the training block, day-disjoint from `itr`).  This table is a SELECTOR, never a result.
# Scores are the incumbent's own ISOTONICALLY CALIBRATED columns, extended to cover the training block (CALEV, verified to reproduce the incumbent's eval-row values exactly).  The inner table uses CALIN — the same map fitted on the inner TRAIN days — so the selector is out-of-sample in the same way the eval read is.
era	criterion	target	policy	knob	n_seeds	usd_per_session_ALL	sd_usd	ci_lo	ci_hi	usd_per_FIRING_session	n_firing_sessions	n_era_sessions	n_trades_total	usd_per_trade	seats_per_session	shuffled_null	causal_oracle	capture_of_causal_oracle	aim_08causal	gap_to_aim
E5	BINDING	A_EV	OCCUPANCY_2	2.0	5	10.29	5.55	-72.0	92.58	11.57	336.2	379	438.8	8.83	1.1578	-64.08	2021.0	0.0051	1616.8	-1606.51
E5	BINDING	A_EV	SECRETARY_0.1	0.1	5	-49.45	39.66	-144.78	45.88	-49.54	378.6	379	725.6	-26.02	1.9145	-41.76	2021.0	-0.0245	1616.8	-1666.25
E5	BINDING	A_EV	SECRETARY_0.25	0.25	5	-27.09	19.75	-112.86	58.67	-27.46	373.8	379	649.8	-15.92	1.7145	-58.04	2021.0	-0.0134	1616.8	-1643.89
E5	BINDING	A_EV	SECRETARY_0.5	0.5	5	-34.15	11.02	-89.25	20.94	-37.66	344.6	379	513.0	-25.31	1.3536	-31.99	2021.0	-0.0169	1616.8	-1650.95
E5	BINDING	A_EV	SECRETARY_0.6	0.6	5	-33.69	15.01	-76.8	9.41	-38.82	327.8	379	456.6	-27.79	1.2047	-42.05	2021.0	-0.0167	1616.8	-1650.49
E5	BINDING	A_EV	SECRETARY_0.7	0.7	5	-39.03	8.99	-71.45	-6.61	-49.52	297.8	379	387.4	-38.06	1.0222	-38.15	2021.0	-0.0193	1616.8	-1655.83
E5	BINDING	A_EV	SECRETARY_0.8	0.8	5	-29.85	11.01	-53.48	-6.21	-42.88	264.2	379	327.2	-34.79	0.8633	-8.59	2021.0	-0.0148	1616.8	-1646.65
E5	BINDING	A_EV	SECRETARY_RE_0.1	0.1	5	-49.53	39.68	-144.85	45.8	-49.62	378.6	379	726.2	-26.03	1.9161	-37.89	2021.0	-0.0245	1616.8	-1666.33
E5	BINDING	A_EV	SECRETARY_RE_0.25	0.25	5	-27.19	19.83	-112.95	58.58	-27.56	373.8	379	651.0	-15.94	1.7177	-49.94	2021.0	-0.0135	1616.8	-1643.99
E5	BINDING	A_EV	SECRETARY_RE_0.5	0.5	5	-34.81	11.08	-89.86	20.24	-38.39	344.6	379	515.8	-25.65	1.3609	-46.84	2021.0	-0.0172	1616.8	-1651.61
E5	BINDING	A_EV	SECRETARY_RE_0.6	0.6	5	-34.0	14.73	-77.11	9.12	-39.17	327.8	379	458.6	-27.94	1.21	-33.75	2021.0	-0.0168	1616.8	-1650.8
E5	BINDING	A_EV	SECRETARY_RE_0.7	0.7	5	-39.34	8.84	-71.8	-6.88	-49.93	297.8	379	389.0	-38.21	1.0264	-26.85	2021.0	-0.0195	1616.8	-1656.14
E5	BINDING	A_EV	SECRETARY_RE_0.8	0.8	5	-30.03	10.85	-53.66	-6.41	-43.16	264.2	379	328.4	-34.88	0.8665	-14.87	2021.0	-0.0149	1616.8	-1646.83
E5	BINDING	A_EV	TAU_0.5	0.5	5	-11.56	54.29	-115.01	91.9	-11.56	379.0	379	769.4	-5.8	2.0301	-53.52	2021.0	-0.0057	1616.8	-1628.36
E5	BINDING	A_EV	TAU_0.7	0.7	5	22.55	32.34	-83.36	128.46	22.84	376.8	379	716.2	11.97	1.8897	-53.48	2021.0	0.0112	1616.8	-1594.25
E5	BINDING	A_EV	TAU_0.8	0.8	5	29.4	39.03	-69.61	128.42	30.41	369.8	379	629.2	18.26	1.6602	-38.16	2021.0	0.0145	1616.8	-1587.4
E5	BINDING	A_EV	TAU_0.9	0.9	5	-9.94	23.55	-98.64	78.77	-12.33	328.4	379	453.4	-9.2	1.1963	-55.14	2021.0	-0.0049	1616.8	-1626.74
E5	BINDING	A_EV	TAU_0.95	0.95	5	9.05	30.48	-69.78	87.88	14.05	245.2	379	299.0	12.31	0.7889	-65.23	2021.0	0.0045	1616.8	-1607.75
E5	BINDING	A_EV	TAU_0.975	0.975	5	20.98	20.74	-45.9	87.86	52.34	160.8	379	176.8	48.14	0.4665	-53.87	2021.0	0.0104	1616.8	-1595.82
E5	BINDING	A_EV	TAU_0.99	0.99	5	21.26	18.46	-19.78	62.31	136.37	52.8	379	55.0	131.7	0.1451	-40.9	2021.0	0.0105	1616.8	-1595.54
E5	BINDING	A_PBAR	CELLSOFAR_0.8	0.8	5	1.75	44.27	-105.27	108.78	1.8	378.2	379	705.8	0.4	1.8623	-51.98	2021.0	0.0009	1616.8	-1615.05
E5	BINDING	A_PBAR	CELLSOFAR_0.9	0.9	5	14.15	28.06	-86.48	114.79	14.22	376.2	379	636.6	8.11	1.6797	-39.19	2021.0	0.007	1616.8	-1602.65
E5	BINDING	A_PBAR	CELLSOFAR_0.95	0.95	5	17.72	31.18	-83.96	119.41	18.08	371.0	379	580.2	11.11	1.5309	-38.11	2021.0	0.0088	1616.8	-1599.08
E5	BINDING	A_PBAR	CELLSOFAR_0.99	0.99	5	20.07	37.87	-75.72	115.86	20.93	360.8	379	538.6	13.54	1.4211	-55.96	2021.0	0.0099	1616.8	-1596.73
E5	BINDING	A_PBAR	DAYSOFAR_0.5	0.5	5	-20.44	13.27	-121.76	80.89	-20.44	379.0	379	775.8	-10.01	2.047	-58.09	2021.0	-0.0101	1616.8	-1637.24
E5	BINDING	A_PBAR	DAYSOFAR_0.7	0.7	5	-7.61	10.99	-104.96	89.74	-7.61	379.0	379	747.4	-3.91	1.972	-23.78	2021.0	-0.0038	1616.8	-1624.41
E5	BINDING	A_PBAR	DAYSOFAR_0.9	0.9	5	-14.59	33.03	-122.16	92.98	-14.57	378.8	379	614.6	-9.42	1.6216	-77.31	2021.0	-0.0072	1616.8	-1631.39
E5	BINDING	A_PBAR	FIRST_3		5	-75.04	0.0	-170.81	20.72	-75.04	379.0	379	777.0	-36.6	2.0501	-75.04	2021.0	-0.0371	1616.8	-1691.84
E5	BINDING	A_PBAR	OCCUPANCY_0.5	0.5	5	8.4	9.49	-89.71	106.51	8.86	358.8	379	424.8	7.43	1.1208	-43.37	2021.0	0.0042	1616.8	-1608.4
E5	BINDING	A_PBAR	OCCUPANCY_1	1.0	5	-12.23	22.69	-113.45	89.0	-12.61	368.8	379	459.2	-10.2	1.2116	-80.84	2021.0	-0.006	1616.8	-1629.03
E5	BINDING	A_PBAR	OCCUPANCY_2	2.0	5	29.39	17.04	-79.27	138.04	29.58	376.6	379	510.8	21.82	1.3478	-60.06	2021.0	0.0145	1616.8	-1587.41
E5	BINDING	A_PBAR	SECRETARY_0.1	0.1	5	-23.88	18.68	-90.57	42.8	-36.14	253.4	379	314.2	-29.16	0.829	-96.05	2021.0	-0.0118	1616.8	-1640.68
E5	BINDING	A_PBAR	SECRETARY_0.25	0.25	5	-15.8	13.2	-48.01	16.4	-63.38	91.4	379	94.2	-60.98	0.2485	-55.72	2021.0	-0.0078	1616.8	-1632.6
E5	BINDING	A_PBAR	SECRETARY_0.5	0.5	5	1.32	2.61	-8.78	11.42	32.51	10.4	379	10.4	32.51	0.0274	-28.65	2021.0	0.0007	1616.8	-1615.48
E5	BINDING	A_PBAR	SECRETARY_0.6	0.6	5	2.33	2.17	-5.38	10.04	216.67	3.6	379	3.6	216.67	0.0095	-33.56	2021.0	0.0012	1616.8	-1614.47
E5	BINDING	A_PBAR	SECRETARY_0.7	0.7	5	-0.24	0.38	-0.7	0.23	-89.5	0.4	379	0.4	-223.75	0.0011	-19.2	2021.0	-0.0001	1616.8	-1617.04
E5	BINDING	A_PBAR	SECRETARY_0.8	0.8	5	-0.04	0.08	-0.13	0.04	-16.0	0.2	379	0.2	-80.0	0.0005	-13.28	2021.0	-0.0	1616.8	-1616.84
E5	BINDING	A_PBAR	SECRETARY_RE_0.1	0.1	5	-23.88	18.68	-90.57	42.8	-36.14	253.4	379	314.2	-29.16	0.829	-55.76	2021.0	-0.0118	1616.8	-1640.68
E5	BINDING	A_PBAR	SECRETARY_RE_0.25	0.25	5	-15.8	13.2	-48.01	16.4	-63.38	91.4	379	94.2	-60.98	0.2485	-31.05	2021.0	-0.0078	1616.8	-1632.6
E5	BINDING	A_PBAR	SECRETARY_RE_0.5	0.5	5	1.32	2.61	-8.78	11.42	32.51	10.4	379	10.4	32.51	0.0274	-39.34	2021.0	0.0007	1616.8	-1615.48
E5	BINDING	A_PBAR	SECRETARY_RE_0.6	0.6	5	2.33	2.17	-5.38	10.04	216.67	3.6	379	3.6	216.67	0.0095	-27.38	2021.0	0.0012	1616.8	-1614.47
E5	BINDING	A_PBAR	SECRETARY_RE_0.7	0.7	5	-0.24	0.38	-0.7	0.23	-89.5	0.4	379	0.4	-223.75	0.0011	-19.69	2021.0	-0.0001	1616.8	-1617.04
E5	BINDING	A_PBAR	SECRETARY_RE_0.8	0.8	5	-0.04	0.08	-0.13	0.04	-16.0	0.2	379	0.2	-80.0	0.0005	-9.67	2021.0	-0.0	1616.8	-1616.84
E5	BINDING	A_PBAR	TAU_0.5	0.5	5	-75.04	0.0	-170.81	20.72	-75.04	379.0	379	777.0	-36.6	2.0501	-29.12	2021.0	-0.0371	1616.8	-1691.84
E5	BINDING	A_PBAR	TAU_0.7	0.7	5	-75.71	3.72	-171.11	19.69	-75.71	379.0	379	775.8	-36.99	2.047	-54.17	2021.0	-0.0375	1616.8	-1692.51
E5	BINDING	A_PBAR	TAU_0.8	0.8	5	-42.69	11.49	-140.15	54.77	-42.69	379.0	379	754.6	-21.43	1.991	-88.18	2021.0	-0.0211	1616.8	-1659.49
E5	BINDING	A_PBAR	TAU_0.9	0.9	5	14.09	7.44	-95.29	123.48	14.09	379.0	379	662.2	8.05	1.7472	-29.14	2021.0	0.007	1616.8	-1602.71
E5	BINDING	A_PBAR	TAU_0.95	0.95	5	53.95	25.66	-63.36	171.26	54.36	376.6	379	583.4	35.32	1.5393	-91.62	2021.0	0.0267	1616.8	-1562.85
E5	BINDING	A_PBAR	TAU_0.975	0.975	5	41.91	31.36	-70.22	154.04	43.96	360.2	379	481.8	33.15	1.2712	-57.76	2021.0	0.0207	1616.8	-1574.89
E5	BINDING	A_PBAR	TAU_0.99	0.99	5	24.27	15.87	-76.49	125.02	28.92	313.6	379	366.4	24.7	0.9668	-55.62	2021.0	0.012	1616.8	-1592.53
E5	BINDING	A_PWIN	CELLSOFAR_0.8	0.8	5	-11.68	33.45	-116.27	92.91	-11.68	378.6	379	692.2	-6.24	1.8264	-7.19	2021.0	-0.0058	1616.8	-1628.48
E5	BINDING	A_PWIN	CELLSOFAR_0.9	0.9	5	-39.4	16.48	-140.34	61.53	-39.7	376.2	379	631.4	-23.65	1.666	-52.57	2021.0	-0.0195	1616.8	-1656.2
E5	BINDING	A_PWIN	CELLSOFAR_0.95	0.95	5	-33.83	32.16	-130.9	63.24	-34.34	373.8	379	592.6	-21.76	1.5636	-60.25	2021.0	-0.0167	1616.8	-1650.63
E5	BINDING	A_PWIN	CELLSOFAR_0.99	0.99	5	-39.41	46.31	-132.45	53.63	-40.27	370.4	379	566.2	-26.66	1.4939	-101.55	2021.0	-0.0195	1616.8	-1656.21
E5	BINDING	A_PWIN	DAYSOFAR_0.5	0.5	5	-39.45	16.88	-143.04	64.15	-39.45	379.0	379	704.2	-21.34	1.858	-12.01	2021.0	-0.0195	1616.8	-1656.25
E5	BINDING	A_PWIN	DAYSOFAR_0.7	0.7	5	-37.18	36.4	-141.84	67.49	-37.23	378.6	379	648.2	-21.84	1.7103	-32.62	2021.0	-0.0184	1616.8	-1653.98
E5	BINDING	A_PWIN	DAYSOFAR_0.9	0.9	5	-39.57	33.92	-145.18	66.03	-39.75	377.0	379	570.0	-26.65	1.504	-12.02	2021.0	-0.0196	1616.8	-1656.37
E5	BINDING	A_PWIN	FIRST_3		5	-75.04	0.0	-170.81	20.72	-75.04	379.0	379	777.0	-36.6	2.0501	-75.04	2021.0	-0.0371	1616.8	-1691.84
E5	BINDING	A_PWIN	OCCUPANCY_0.5	0.5	5	1.23	32.17	-72.6	75.06	2.58	223.6	379	227.8	2.44	0.6011	-73.17	2021.0	0.0006	1616.8	-1615.57
E5	BINDING	A_PWIN	OCCUPANCY_1	1.0	5	-44.68	36.3	-125.87	36.52	-53.02	320.0	379	366.0	-46.46	0.9657	-25.78	2021.0	-0.0221	1616.8	-1661.48
E5	BINDING	A_PWIN	OCCUPANCY_2	2.0	5	-44.63	19.3	-128.84	39.57	-52.19	324.4	379	373.4	-45.29	0.9852	-9.69	2021.0	-0.0221	1616.8	-1661.43
E5	BINDING	A_PWIN	SECRETARY_0.1	0.1	5	15.89	40.66	-63.65	95.44	20.69	291.2	379	371.2	15.85	0.9794	-42.75	2021.0	0.0079	1616.8	-1600.91
E5	BINDING	A_PWIN	SECRETARY_0.25	0.25	5	21.69	19.93	-39.44	82.82	52.49	159.4	379	171.0	48.75	0.4512	-36.59	2021.0	0.0107	1616.8	-1595.11
E5	BINDING	A_PWIN	SECRETARY_0.5	0.5	5	0.87	9.86	-32.99	34.73	8.96	57.6	379	58.8	9.02	0.1551	-23.13	2021.0	0.0004	1616.8	-1615.93
E5	BINDING	A_PWIN	SECRETARY_0.6	0.6	5	-1.07	7.49	-27.16	25.03	-9.4	37.8	379	38.0	-9.25	0.1003	-28.21	2021.0	-0.0005	1616.8	-1617.87
E5	BINDING	A_PWIN	SECRETARY_0.7	0.7	5	8.53	5.7	-8.13	25.19	289.96	11.0	379	11.0	289.96	0.029	-28.62	2021.0	0.0042	1616.8	-1608.27
E5	BINDING	A_PWIN	SECRETARY_0.8	0.8	5	-0.13	2.49	-4.84	4.57	61.04	3.2	379	3.2	61.04	0.0084	-19.3	2021.0	-0.0001	1616.8	-1616.93
E5	BINDING	A_PWIN	SECRETARY_RE_0.1	0.1	5	15.89	40.66	-63.65	95.44	20.69	291.2	379	371.2	15.85	0.9794	-95.93	2021.0	0.0079	1616.8	-1600.91
E5	BINDING	A_PWIN	SECRETARY_RE_0.25	0.25	5	21.69	19.93	-39.44	82.82	52.49	159.4	379	171.0	48.75	0.4512	-41.41	2021.0	0.0107	1616.8	-1595.11
E5	BINDING	A_PWIN	SECRETARY_RE_0.5	0.5	5	0.87	9.86	-32.99	34.73	8.96	57.6	379	58.8	9.02	0.1551	-35.98	2021.0	0.0004	1616.8	-1615.93
E5	BINDING	A_PWIN	SECRETARY_RE_0.6	0.6	5	-1.07	7.49	-27.16	25.03	-9.4	37.8	379	38.0	-9.25	0.1003	-26.98	2021.0	-0.0005	1616.8	-1617.87
E5	BINDING	A_PWIN	SECRETARY_RE_0.7	0.7	5	8.53	5.7	-8.13	25.19	289.96	11.0	379	11.0	289.96	0.029	-14.01	2021.0	0.0042	1616.8	-1608.27
E5	BINDING	A_PWIN	SECRETARY_RE_0.8	0.8	5	-0.13	2.49	-4.84	4.57	61.04	3.2	379	3.2	61.04	0.0084	-14.41	2021.0	-0.0001	1616.8	-1616.93
E5	BINDING	A_PWIN	TAU_0.5	0.5	5	-65.59	40.35	-167.12	35.93	-66.07	375.8	379	601.8	-41.24	1.5879	-93.84	2021.0	-0.0325	1616.8	-1682.39
E5	BINDING	A_PWIN	TAU_0.7	0.7	5	-32.23	27.87	-138.77	74.3	-35.36	348.0	379	468.0	-26.65	1.2348	-26.14	2021.0	-0.0159	1616.8	-1649.03
E5	BINDING	A_PWIN	TAU_0.8	0.8	5	17.17	22.15	-83.36	117.7	22.35	305.4	379	375.4	18.65	0.9905	-69.02	2021.0	0.0085	1616.8	-1599.63
E5	BINDING	A_PWIN	TAU_0.9	0.9	5	34.27	21.69	-52.68	121.23	58.26	224.0	379	254.0	51.68	0.6702	-61.98	2021.0	0.017	1616.8	-1582.53
E5	BINDING	A_PWIN	TAU_0.95	0.95	5	22.76	27.29	-42.93	88.45	56.7	150.4	379	162.6	52.93	0.429	-35.08	2021.0	0.0113	1616.8	-1594.04
E5	BINDING	A_PWIN	TAU_0.975	0.975	5	-4.25	21.83	-51.76	43.26	-24.12	75.8	379	77.4	-23.68	0.2042	-50.82	2021.0	-0.0021	1616.8	-1621.05
E5	BINDING	A_PWIN	TAU_0.99	0.99	5	-4.1	19.31	-32.14	23.95	-27.49	26.4	379	26.6	-31.52	0.0702	-33.18	2021.0	-0.002	1616.8	-1620.9
E6	BINDING	A_EV	CELLSOFAR_0.8	0.8	5	20.92	36.63	-72.39	114.23	20.92	459.0	459	942.8	10.12	2.054	-42.17	2675.0	0.0078	2140.0	-2119.08
E6	BINDING	A_EV	CELLSOFAR_0.9	0.9	5	22.63	32.31	-70.61	115.86	22.63	459.0	459	947.4	10.95	2.0641	-49.54	2675.0	0.0085	2140.0	-2117.37
E6	BINDING	A_EV	CELLSOFAR_0.95	0.95	5	-3.34	40.57	-95.94	89.27	-3.34	459.0	459	941.2	-1.77	2.0505	-9.27	2675.0	-0.0012	2140.0	-2143.34
E6	BINDING	A_EV	CELLSOFAR_0.99	0.99	5	-7.22	47.88	-100.45	86.01	-7.22	459.0	459	926.8	-3.74	2.0192	-17.06	2675.0	-0.0027	2140.0	-2147.22
E6	BINDING	A_EV	DAYSOFAR_0.5	0.5	5	48.15	39.13	-47.96	144.26	48.15	459.0	459	960.4	22.9	2.0924	18.03	2675.0	0.018	2140.0	-2091.85
E6	BINDING	A_EV	DAYSOFAR_0.7	0.7	5	11.68	13.07	-75.99	99.35	11.68	459.0	459	927.2	5.73	2.02	1.28	2675.0	0.0044	2140.0	-2128.32
E6	BINDING	A_EV	DAYSOFAR_0.9	0.9	5	0.51	15.59	-85.36	86.38	0.51	458.4	459	860.4	0.21	1.8745	-25.2	2675.0	0.0002	2140.0	-2139.49
E6	BINDING	A_EV	FIRST_3		5	-35.81	0.0	-128.09	56.46	-35.81	459.0	459	924.0	-17.79	2.0131	-35.81	2675.0	-0.0134	2140.0	-2175.81
E6	BINDING	A_EV	OCCUPANCY_0.5	0.5	5	-30.19	8.17	-92.97	32.59	-32.39	427.6	459	503.2	-27.54	1.0963	-45.95	2675.0	-0.0113	2140.0	-2170.19
E6	BINDING	A_EV	OCCUPANCY_1	1.0	5	-87.31	12.74	-153.73	-20.89	-90.59	442.4	459	534.2	-75.01	1.1638	-28.38	2675.0	-0.0326	2140.0	-2227.31
E6	BINDING	A_EV	OCCUPANCY_2	2.0	5	-58.7	14.53	-128.72	11.31	-60.6	444.6	459	561.6	-47.93	1.2235	-11.02	2675.0	-0.0219	2140.0	-2198.7
E6	BINDING	A_EV	SECRETARY_0.1	0.1	5	-61.83	30.29	-136.84	13.18	-62.11	457.2	459	836.6	-34.01	1.8227	-15.68	2675.0	-0.0231	2140.0	-2201.83
E6	BINDING	A_EV	SECRETARY_0.25	0.25	5	-43.47	6.9	-106.69	19.75	-45.36	440.2	459	728.4	-27.57	1.5869	-56.38	2675.0	-0.0163	2140.0	-2183.47
E6	BINDING	A_EV	SECRETARY_0.5	0.5	5	-26.18	15.13	-70.77	18.41	-30.75	394.6	459	572.6	-21.34	1.2475	-17.55	2675.0	-0.0098	2140.0	-2166.18
E6	BINDING	A_EV	SECRETARY_0.6	0.6	5	-23.05	16.05	-62.07	15.96	-28.58	371.8	459	515.4	-20.55	1.1229	-37.0	2675.0	-0.0086	2140.0	-2163.05
E6	BINDING	A_EV	SECRETARY_0.7	0.7	5	-37.52	11.14	-64.71	-10.33	-50.45	338.8	459	442.6	-38.55	0.9643	-38.15	2675.0	-0.014	2140.0	-2177.52
E6	BINDING	A_EV	SECRETARY_0.8	0.8	5	-24.68	8.35	-46.48	-2.88	-36.98	302.4	459	373.2	-29.9	0.8131	-15.41	2675.0	-0.0092	2140.0	-2164.68
E6	BINDING	A_EV	SECRETARY_RE_0.1	0.1	5	-61.87	30.26	-136.87	13.14	-62.14	457.2	459	836.8	-34.02	1.8231	-67.35	2675.0	-0.0231	2140.0	-2201.87
E6	BINDING	A_EV	SECRETARY_RE_0.25	0.25	5	-43.48	6.86	-106.73	19.77	-45.36	440.2	459	729.0	-27.55	1.5882	-67.26	2675.0	-0.0163	2140.0	-2183.48
E6	BINDING	A_EV	SECRETARY_RE_0.5	0.5	5	-26.36	15.28	-70.96	18.24	-30.96	394.6	459	573.8	-21.41	1.2501	-11.15	2675.0	-0.0099	2140.0	-2166.36
E6	BINDING	A_EV	SECRETARY_RE_0.6	0.6	5	-23.17	16.12	-62.19	15.85	-28.72	371.8	459	516.2	-20.61	1.1246	-39.39	2675.0	-0.0087	2140.0	-2163.17
E6	BINDING	A_EV	SECRETARY_RE_0.7	0.7	5	-37.64	11.14	-64.84	-10.43	-50.61	338.8	459	443.8	-38.56	0.9669	-28.9	2675.0	-0.0141	2140.0	-2177.64
E6	BINDING	A_EV	SECRETARY_RE_0.8	0.8	5	-24.67	8.25	-46.49	-2.86	-36.99	302.4	459	374.4	-29.81	0.8157	-17.94	2675.0	-0.0092	2140.0	-2164.67
E6	BINDING	A_EV	TAU_0.5	0.5	5	-4.03	15.02	-91.45	83.4	-4.02	458.6	459	926.6	-2.02	2.0187	-13.25	2675.0	-0.0015	2140.0	-2144.03
E6	BINDING	A_EV	TAU_0.7	0.7	5	36.24	25.65	-46.55	119.03	37.89	443.0	459	796.2	20.98	1.7346	-41.66	2675.0	0.0135	2140.0	-2103.76
E6	BINDING	A_EV	TAU_0.8	0.8	5	19.47	27.07	-52.14	91.07	24.44	382.0	459	588.6	16.27	1.2824	-0.04	2675.0	0.0073	2140.0	-2120.53
E6	BINDING	A_EV	TAU_0.9	0.9	5	9.62	11.55	-53.91	73.14	19.61	231.8	459	300.0	15.28	0.6536	-32.43	2675.0	0.0036	2140.0	-2130.38
E6	BINDING	A_EV	TAU_0.95	0.95	5	-5.26	16.68	-50.35	39.82	-21.22	133.0	459	157.2	-19.01	0.3425	-15.4	2675.0	-0.002	2140.0	-2145.26
E6	BINDING	A_EV	TAU_0.975	0.975	5	-11.56	13.7	-41.73	18.61	-101.89	57.2	459	60.4	-98.59	0.1316	-58.59	2675.0	-0.0043	2140.0	-2151.56
E6	BINDING	A_EV	TAU_0.99	0.99	5	-11.92	7.94	-33.75	9.91	-283.39	20.0	459	20.0	-283.39	0.0436	-23.36	2675.0	-0.0045	2140.0	-2151.92
