# PORT M2 port m2 NEW DECISION OBJECTS — joint (member x delay) ranking, rank-then-gate-verify, optimal stopping (E3-E7 develop, E8 one blind read) (lane=port-m2-newobj; version=PORT-M2-NEWOBJ-V1; seed=20260813)
# E8 QUARANTINE: every fit, threshold and selection in this file is made on E3-E7 only; E8 rows are ONE labeled blind read and were never an input to any choice.
# STAGE B.  Full E3-E7 walk-forward, champion HP discipline (inner-block selection only), CR1 intervals clustered by DAY, m3_walk's committed per-era (unit,N), replay proved seat-for-seat against m3_walk.replay_rows.  E8 IS NOT IN THIS TABLE.
cell	era	design_block	n_seated	usd_per_session	ps_lo	ps_hi	usd_per_trade	frac_ge_1000	capture_oracle	hp	fit_secs
cell|ndcg3|dollars|full|xgb|BASE@@gate60_DISPLACED	POOLED_E3-E7		4707	958.81	870.9	1046.71	326.73	0.16	0.3337		
cell|ndcg3|dollars|full|xgb|BASE@@static1	POOLED_E3-E7		5830	976.91	898.88	1054.94	324.91	0.1523	0.3635		
cell|ndcg3|dollars|full|xgb|BASE@@stop	POOLED_E3-E7		4761	-53.85	-109.13	1.43	-21.77	0.067	-0.02		
cell|ndcg3|dollars|full|xgb|BASE@@stop_ORACLE	POOLED_E3-E7		5812	2375.09	2285.04	2465.13	792.38	0.255	0.8838		
cell|ndcg3|dollars|full|xgb|BASE@@stop_forced	POOLED_E3-E7		5862	-55.45	-110.55	-0.35	-18.34	0.0546	-0.0206		
cell|ndcg3|dollars|full|xgb|BASE@@thresh	POOLED_E3-E7		5828	977.18	899.17	1055.19	325.11	0.1524	0.3636		
joint|dpairs|dollars|full|xgb|CELLREL	POOLED_E3-E7		5820	1501.79	1428.85	1574.72	500.34	0.1718	0.5589		
joint|dpairs|dollars|full|xgb|CELLREL@@gate120	POOLED_E3-E7		5813	1445.77	1372.37	1519.17	482.25	0.1653	0.538		
joint|dpairs|dollars|full|xgb|CELLREL@@gate120_DISPLACED	POOLED_E3-E7		5813	1445.77	1372.37	1519.17	482.25	0.1653	0.538		
joint|dpairs|dollars|full|xgb|CELLREL@@gate60	POOLED_E3-E7		5816	1486.98	1413.51	1560.45	495.75	0.1695	0.5533		
joint|dpairs|dollars|full|xgb|CELLREL@@gate60_DISPLACED	POOLED_E3-E7		5816	1486.98	1413.51	1560.45	495.75	0.1695	0.5533		
joint|dpairs|dollars|full|xgb|CELLREL@@static1	POOLED_E3-E7		5820	1506.55	1433.34	1579.75	501.92	0.1723	0.5606		
