# PORT M2 port m2 NEW DECISION OBJECTS — joint (member x delay) ranking, rank-then-gate-verify, optimal stopping (E3-E7 develop, E8 one blind read) (lane=port-m2-newobj; version=PORT-M2-NEWOBJ-V1; seed=20260813)
# E8 QUARANTINE: every fit, threshold and selection in this file is made on E3-E7 only; E8 rows are ONE labeled blind read and were never an input to any choice.
# ORACLE_* arms are HINDSIGHT BOUNDS: the per-cell choice is made with the realised certificate in hand.  They are ceilings, never results.
# CHAMP_D0 is the committed champion LMART_HP_NOTF, re-seated here through replay_delayed at D=0 (proved seat-for-seat identical to m3_walk.replay_rows).
# ORACLE_JOINT_DISPLACED is the red-first control for the timing freedom: own D=0 certificate, ANOTHER candidate's delay increments.  The part of the joint ceiling it reproduces is max-of-five selection noise, not timing.
arm	era	topn	n_takes	n_seated	usd_per_session	ps_lo	ps_hi	usd_per_trade	frac_ge_1000	capture_oracle	delay_mix
RANDOM_MEMBER_D0	E7	1	1179	1179	43.09	-94.66	180.85	14.36	0.1077	0.0108	{"0": 1179}
ORACLE_MEMBER_D0	E7	1	1179	1179	4085.25	3786.78	4383.73	1361.75	0.5081	1.0275	{"0": 1179}
ORACLE_MEMBER_D60	E7	1	1179	1179	4079.24	3777.52	4380.96	1359.75	0.503	1.026	{"60": 1179}
ORACLE_MEMBER_D120	E7	1	1179	1179	4087.91	3786.15	4389.67	1362.64	0.5021	1.0281	{"120": 1179}
ORACLE_MEMBER_D300	E7	1	1179	1179	4068.13	3766.86	4369.39	1356.04	0.5098	1.0232	{"300": 1179}
ORACLE_MEMBER_D600	E7	1	1179	1179	4050.03	3750.33	4349.73	1350.01	0.5098	1.0186	{"600": 1179}
ORACLE_JOINT	E7	1	1179	1179	4278.23	3974.36	4582.1	1426.08	0.5479	1.076	{"0": 243, "60": 140, "120": 201, "300": 250, "600": 345}
ORACLE_JOINT_DISPLACED	E7	1	1179	1170	10518.24	10061.13	10975.35	3533.05	0.8812	2.6454	{"0": 13, "60": 60, "120": 107, "300": 310, "600": 680}
ORACLE_GATE_D0	E7	1	782	782	1923.44	1737.2	2109.67	929.74	0.321	0.4927	{"0": 782}
ORACLE_ABSTAIN_D0	E7	1	709	709	1801.38	1615.34	1987.42	927.37	0.3202	0.4645	{"0": 709}
ORACLE_PICK2_D0	E7	1	1179	1178	1258.8	1037.22	1480.39	419.96	0.2131	0.3166	{"0": 1178}
ORACLE_GATE_D60	E7	1	790	790	1908.07	1735.56	2080.58	910.56	0.3228	0.4863	{"60": 790}
ORACLE_ABSTAIN_D60	E7	1	714	714	1767.4	1599.16	1935.64	898.55	0.3207	0.4524	{"60": 714}
ORACLE_PICK2_D60	E7	1	1179	1179	1246.05	1033.82	1458.29	415.35	0.2163	0.3134	{"60": 1179}
ORACLE_GATE_D120	E7	1	783	783	1900.53	1726.57	2074.48	912.64	0.3231	0.484	{"120": 783}
ORACLE_ABSTAIN_D120	E7	1	708	708	1774.98	1603.28	1946.67	902.53	0.3234	0.4548	{"120": 708}
ORACLE_PICK2_D120	E7	1	1179	1179	1241.22	1027.96	1454.47	413.74	0.2146	0.3122	{"120": 1179}
CHAMP_D0	E8	1	1143	1143	2177.13	1885.26	2468.99	725.71	0.2913	0.5018	{"0": 1143}
RANDOM_MEMBER_D0	E8	1	1143	1143	-185.67	-314.25	-57.09	-61.89	0.0927	-0.0428	{"0": 1143}
ORACLE_MEMBER_D0	E8	1	1143	1143	4277.91	3917.82	4638.01	1425.97	0.5477	0.986	{"0": 1143}
ORACLE_MEMBER_D60	E8	1	1143	1143	4252.01	3900.25	4603.77	1417.34	0.5459	0.98	{"60": 1143}
ORACLE_MEMBER_D120	E8	1	1143	1143	4251.35	3893.18	4609.53	1417.12	0.5477	0.9798	{"120": 1143}
ORACLE_MEMBER_D300	E8	1	1143	1143	4248.39	3893.46	4603.32	1416.13	0.5424	0.9792	{"300": 1143}
ORACLE_MEMBER_D600	E8	1	1143	1143	4218.89	3870.23	4567.55	1406.3	0.5363	0.9724	{"600": 1143}
ORACLE_JOINT	E8	1	1143	1143	4473.09	4106.21	4839.97	1491.03	0.5827	1.031	{"0": 237, "60": 165, "120": 182, "300": 220, "600": 339}
ORACLE_JOINT_DISPLACED	E8	1	1143	1132	13006.5	12340.81	13672.19	4377.63	0.9435	2.9977	{"0": 11, "60": 64, "120": 113, "300": 324, "600": 620}
ORACLE_GATE_D0	E8	1	930	930	2579.12	2285.83	2872.4	1048.29	0.371	0.6011	{"0": 930}
ORACLE_ABSTAIN_D0	E8	1	902	902	2488.37	2206.96	2769.77	1042.8	0.3692	0.5799	{"0": 902}
ORACLE_PICK2_D0	E8	1	1143	1143	2322.11	2017.44	2626.78	774.04	0.3018	0.5352	{"0": 1143}
ORACLE_GATE_D60	E8	1	919	919	2509.52	2224.68	2794.36	1032.21	0.3602	0.5849	{"60": 919}
ORACLE_ABSTAIN_D60	E8	1	882	882	2393.0	2117.28	2668.72	1025.57	0.3594	0.5577	{"60": 882}
ORACLE_PICK2_D60	E8	1	1143	1143	2248.24	1949.42	2547.05	749.41	0.2896	0.5182	{"60": 1143}
ORACLE_GATE_D120	E8	1	911	911	2457.59	2192.05	2723.13	1022.42	0.3611	0.5698	{"120": 911}
ORACLE_ABSTAIN_D120	E8	1	873	873	2332.88	2081.62	2584.13	1012.78	0.3517	0.5409	{"120": 873}
ORACLE_PICK2_D120	E8	1	1143	1143	2205.24	1928.6	2481.89	735.08	0.2878	0.5083	{"120": 1143}
CHAMP_D0	POOLED_E3-E7			5830	976.91	898.88	1054.94	324.91	0.1523	0.3635	{"0": 5830}
ORACLE_ABSTAIN_D0	POOLED_E3-E7			3927	1526.54	1461.57	1591.5	725.37	0.2289	0.583	{"0": 3927}
ORACLE_ABSTAIN_D120	POOLED_E3-E7			3853	1491.81	1429.25	1554.37	717.45	0.2292	0.5682	{"120": 3853}
ORACLE_ABSTAIN_D60	POOLED_E3-E7			3876	1507.07	1444.14	1569.99	721.65	0.2294	0.5729	{"60": 3876}
ORACLE_GATE_D0	POOLED_E3-E7			4175	1621.65	1555.76	1687.54	735.67	0.2371	0.6138	{"0": 4175}
ORACLE_GATE_D120	POOLED_E3-E7			4120	1597.01	1533.38	1660.64	729.9	0.233	0.6036	{"120": 4120}
ORACLE_GATE_D60	POOLED_E3-E7			4145	1607.09	1543.1	1671.09	731.62	0.2338	0.6068	{"60": 4145}
ORACLE_JOINT	POOLED_E3-E7			5817	3302.74	3204.55	3400.94	1100.91	0.4071	1.229	{"0": 1228, "60": 773, "120": 880, "300": 1235, "600": 1701}
ORACLE_JOINT_DISPLACED	POOLED_E3-E7			5798	6891.47	6689.98	7092.96	2304.68	0.7677	2.5645	{"0": 100, "60": 247, "120": 470, "300": 1319, "600": 3662}
ORACLE_MEMBER_D0	POOLED_E3-E7			5817	3152.31	3056.25	3248.38	1050.77	0.3761	1.1731	{"0": 5817}
ORACLE_MEMBER_D120	POOLED_E3-E7			5817	3150.45	3053.83	3247.07	1050.15	0.3777	1.1724	{"120": 5817}
ORACLE_MEMBER_D300	POOLED_E3-E7			5817	3139.57	3043.25	3235.88	1046.52	0.3767	1.1683	{"300": 5817}
ORACLE_MEMBER_D60	POOLED_E3-E7			5817	3149.04	3052.58	3245.49	1049.68	0.3751	1.1718	{"60": 5817}
ORACLE_MEMBER_D600	POOLED_E3-E7			5817	3126.47	3030.87	3222.08	1042.16	0.3736	1.1635	{"600": 5817}
ORACLE_PICK2_D0	POOLED_E3-E7			5816	1204.67	1127.71	1281.64	401.63	0.1702	0.4483	{"0": 5816}
ORACLE_PICK2_D120	POOLED_E3-E7			5816	1171.27	1096.1	1246.44	390.49	0.1651	0.4359	{"120": 5816}
ORACLE_PICK2_D60	POOLED_E3-E7			5817	1184.95	1109.58	1260.31	394.98	0.1666	0.441	{"60": 5817}
RANDOM_MEMBER_D0	POOLED_E3-E7			5956	-64.95	-119.63	-10.26	-21.14	0.0672	-0.0242	{"0": 5956}
