# PORT M2 port m2 NEW DECISION OBJECTS — joint (member x delay) ranking, rank-then-gate-verify, optimal stopping (E3-E7 develop, E8 one blind read) (lane=port-m2-newobj; version=PORT-M2-NEWOBJ-V1; seed=20260813)
# E8 QUARANTINE: every fit, threshold and selection in this file is made on E3-E7 only; E8 rows are ONE labeled blind read and were never an input to any choice.
# AN EXACT ARITHMETIC CORRECTION, NOT A RE-RUN.  `panel_score.cluster_mean` returns the PLAIN mean of the rows it is handed and `replay_delayed` hands it one row per session THAT TRADED, so usd_per_session_ALL = usd_per_FIRING_session x n_firing / n_era_sessions, exactly.
# WHY THIS MATTERS MORE THAN A TIDY-UP.  ARRIVAL_PROPHET.tsv appeared to BEAT the full-hindsight DP ceiling (E5 $3,264 vs $2,583) and the journal recorded that as 'the structure gap is negative'.  A causal bound cannot exceed a hindsight bound; the impossibility was the defect announcing itself.  Corrected, the prophet's best arm is TAU_0.7/0.8 at capture 0.9925 / 0.9930 / 1.0010 of the causal oracle — exactly what a prophet must do.
# THE SUBSTANTIVE CONCLUSION SURVIVES AND IS CLEANER: the prophet attains ~99-100% of the causal oracle, so deciding at the arrival second costs essentially nothing against that denominator.  100% of the deficit is PREDICTION and 0% is STRUCTURE.
# THE DESIGN CONCLUSION IS REVERSED.  The old argmax was TAU_0.99, an arm firing in 29 of 387 sessions, and the program read from it that TIME-SELECTIVITY is the axis and ~1.0 seats/session is the winning shape.  Corrected, the money is in TAU_0.7/0.8, which fires in EVERY session at 2.8-2.9 seats.  The three 'independent' measurements that agreed on selectivity were the same artifact three times.
# THIS TABLE ALSO SERVES AS THE MISSING WRITER FOR THE BAR: the causal oracle has no computing code anywhere in /workspace/engine and lives only as prose plus a hardcoded dict.  The TAU rows here reproduce it to within 1% on a verified denominator.
era	criterion	policy	knob	n_firing_sessions	n_era_sessions	firing_rate	usd_per_FIRING_session_AS_PUBLISHED	usd_per_session_ALL_CORRECTED	causal_oracle	capture_CORRECTED	capture_AS_PUBLISHED
E6	BINDING	SECRETARY_0.6	0.6	142	384	0.3698	881.56	325.99	2675.0	0.1219	0.3296
E6	BINDING	SECRETARY_RE_0.6	0.6	142	384	0.3698	881.56	325.99	2675.0	0.1219	0.3296
E6	BINDING	SECRETARY_0.7	0.7	84	384	0.2188	679.02	148.54	2675.0	0.0555	0.2538
E6	BINDING	SECRETARY_RE_0.7	0.7	84	384	0.2188	679.02	148.54	2675.0	0.0555	0.2538
E6	BINDING	SECRETARY_0.8	0.8	45	384	0.1172	674.36	79.03	2675.0	0.0295	0.2521
E6	BINDING	SECRETARY_RE_0.8	0.8	45	384	0.1172	674.36	79.03	2675.0	0.0295	0.2521
E6	BINDING	FIRST_3		384	384	1.0	-25.87	-25.87	2675.0	-0.0097	-0.0097
E7	BINDING	TAU_0.8	0.8	391	393	0.9949	3380.65	3363.45	3360.0	1.001	1.0061
E7	BINDING	TAU_0.7	0.7	393	393	1.0	3328.34	3328.34	3360.0	0.9906	0.9906
E7	BINDING	TAU_0.5	0.5	393	393	1.0	3045.92	3045.92	3360.0	0.9065	0.9065
E7	BINDING	TAU_0.9	0.9	351	393	0.8931	3320.88	2965.98	3360.0	0.8827	0.9884
E7	BINDING	TAU_0.95	0.95	279	393	0.7099	3445.44	2446.0	3360.0	0.728	1.0254
E7	BINDING	DAYSOFAR_0.7	0.7	393	393	1.0	2387.29	2387.29	3360.0	0.7105	0.7105
E7	BINDING	DAYSOFAR_0.9	0.9	384	393	0.9771	2272.12	2220.09	3360.0	0.6607	0.6762
E7	BINDING	TAU_0.975	0.975	193	393	0.4911	3760.17	1846.6	3360.0	0.5496	1.1191
E7	BINDING	OCCUPANCY_2	2.0	348	393	0.8855	2058.33	1822.64	3360.0	0.5425	0.6126
E7	BINDING	SECRETARY_0.1	0.1	375	393	0.9542	1866.71	1781.21	3360.0	0.5301	0.5556
E7	BINDING	SECRETARY_RE_0.1	0.1	375	393	0.9542	1866.71	1781.21	3360.0	0.5301	0.5556
E7	BINDING	CELLSOFAR_0.9	0.9	393	393	1.0	1519.94	1519.94	3360.0	0.4524	0.4524
E7	BINDING	CELLSOFAR_0.95	0.95	393	393	1.0	1504.56	1504.56	3360.0	0.4478	0.4478
E7	BINDING	OCCUPANCY_0.5	0.5	338	393	0.8601	1743.47	1499.47	3360.0	0.4463	0.5189
E7	BINDING	DAYSOFAR_0.5	0.5	393	393	1.0	1463.27	1463.27	3360.0	0.4355	0.4355
E7	BINDING	OCCUPANCY_1	1.0	340	393	0.8651	1683.11	1456.13	3360.0	0.4334	0.5009
E7	BINDING	CELLSOFAR_0.99	0.99	393	393	1.0	1402.03	1402.03	3360.0	0.4173	0.4173
E7	BINDING	CELLSOFAR_0.8	0.8	393	393	1.0	1389.34	1389.34	3360.0	0.4135	0.4135
E7	BINDING	TAU_0.99	0.99	111	393	0.2824	4413.1	1246.45	3360.0	0.371	1.3134
E7	BINDING	SECRETARY_0.25	0.25	330	393	0.8397	1330.52	1117.23	3360.0	0.3325	0.396
E7	BINDING	SECRETARY_RE_0.25	0.25	330	393	0.8397	1330.52	1117.23	3360.0	0.3325	0.396
E7	BINDING	SECRETARY_0.5	0.5	214	393	0.5445	1003.89	546.65	3360.0	0.1627	0.2988
E7	BINDING	SECRETARY_RE_0.5	0.5	214	393	0.5445	1003.89	546.65	3360.0	0.1627	0.2988
E7	BINDING	SECRETARY_0.6	0.6	165	393	0.4198	889.48	373.45	3360.0	0.1111	0.2647
E7	BINDING	SECRETARY_RE_0.6	0.6	165	393	0.4198	889.48	373.45	3360.0	0.1111	0.2647
E7	BINDING	SECRETARY_0.7	0.7	106	393	0.2697	861.92	232.48	3360.0	0.0692	0.2565
E7	BINDING	SECRETARY_RE_0.7	0.7	106	393	0.2697	861.92	232.48	3360.0	0.0692	0.2565
E7	BINDING	SECRETARY_0.8	0.8	53	393	0.1349	897.9	121.09	3360.0	0.036	0.2672
E7	BINDING	SECRETARY_RE_0.8	0.8	53	393	0.1349	897.9	121.09	3360.0	0.036	0.2672
E7	BINDING	FIRST_3		393	393	1.0	-68.19	-68.19	3360.0	-0.0203	-0.0203
