# PORT M2 port m2 EXIT CENSUS 2 — exit rules priced on the agreement-selected books (E3-E7 develop; prop constraints enforced in code) (lane=port-m2-exits2; version=PORT-M2-EXITCENSUS2-V1; seed=20260813)
# E8 QUARANTINE: every fit, threshold and selection in this file is made on E3-E7 only; E8 rows are ONE labeled blind read and were never an input to any choice.
# PROP LAW, ENFORCED IN CODE: no exit before 1800 seconds (30 minutes) of hold.  `_check_holds` REFUSES the stage if any priced seat holds less than that with the phase close still open, so a hold shorter than 30 minutes can only be the phase close itself arriving.  Every rule is POSITION MANAGEMENT on an open trade; no microscalp is expressible.
# The $900 wall and the phase-close contract stay in force.  A rule may only move the exit EARLIER than the phase close; the wall always wins if it reaches the position first.
# THE SEAT SET IS HELD FIXED across every rule.  Earlier exits free occupancy, so re-seating could only ADD trades; not counting them is the conservative choice and is declared, not hidden.
# d_* columns are deltas against the PHASE-CLOSE baseline on the SAME book and the SAME seats.  d_usd_per_session_displaced is the same rule's hold-time distribution randomly re-assigned across seats (same timing, no path information); d_minus_displaced is the information the rule actually adds.  A rule whose d_minus_displaced is ~0 is a hold-length artefact.
# capture_of_ceiling = usd_per_session / the ENTRY FORESIGHT ceiling (the per-session one-position DP over every candidate, phase-close contract) -- what perfect ENTRY selection is worth.  capture_of_full_ceiling uses the anchored ORACLE legs, i.e. perfect entries AND perfect exits (clairvoyant; an outer bound nobody can trade).
# TARGETS ON THE TABLE FACE: floor $2000/session/asset (floor_2000); aim $2500-3000 (aim_2500_3000).
# FAMILY 3 (PARTIAL BANK) IS NOT DEPLOYABLE AT ONE CONTRACT -- you cannot sell half a contract.  Its rows are the two-contract-equivalent (each half carries half the gross, the round-trip cost charged once, the second exit's own slippage NOT charged) and are a SIZING QUESTION FOR THE USER, never a drop-in rule.
era	asset	book_tau	family	rule	knob	n_seats	n_sessions	usd_per_trade	usd_per_session	d_usd_per_trade	d_usd_per_session	d_usd_per_session_displaced	d_minus_displaced	win_rate	d_win_rate	wall_stopped_rate	d_wall_stopped_rate	mean_giveback_usd	frac_triggered	hold_min_s	hold_p10_s	hold_p50_s	hold_mean_s	dd_p50	dd_p90	dd_max	frac_sessions_dd_over_1000	d_frac_sessions_dd_over_1000	weekly_pnl_mean	weekly_pnl_p10	losing_week_frac	entry_foresight_ceiling	capture_of_ceiling	full_ceiling	capture_of_full_ceiling	floor_2000	aim_2500_3000	thin_book
E3	ALL	0.70	1-MID-HOLD-DISQ	MHD_FLOW05_OR_B600	flow OR -$600	51	47	269.26	292.18	-282.24	-306.25	-257.88	-48.37	0.6471	-0.2353	0.0	0.0	275.49	1.0	1872	2431	4188	5339	0.0	155.0	355.0	0.0	0.0	624.2	-232.5	0.2273	2811.86	0.1039	2095.21	0.1395			
E3	ALL	0.70	1-MID-HOLD-DISQ	MHD_FLOW05_OR_B400	flow OR -$400	51	47	269.26	292.18	-282.24	-306.25	-258.28	-47.97	0.6471	-0.2353	0.0	0.0	275.49	1.0	1872	2431	4188	5339	0.0	155.0	355.0	0.0	0.0	624.2	-232.5	0.2273	2811.86	0.1039	2095.21	0.1395			
E3	ALL	0.70	1-MID-HOLD-DISQ	MHD_STRUCT10_OR_FLOW05	struct .10 OR flow	51	47	269.26	292.18	-282.24	-306.25	-288.06	-18.19	0.6471	-0.2353	0.0	0.0	275.49	1.0	1872	2431	4188	5339	0.0	155.0	355.0	0.0	0.0	624.2	-232.5	0.2273	2811.86	0.1039	2095.21	0.1395			
E3	ALL	0.70	1-MID-HOLD-DISQ	MHD_ANY3	struct .10 OR flow OR -$600	51	47	269.26	292.18	-282.24	-306.25	-273.97	-32.28	0.6471	-0.2353	0.0	0.0	275.49	1.0	1872	2431	4188	5339	0.0	155.0	355.0	0.0	0.0	624.2	-232.5	0.2273	2811.86	0.1039	2095.21	0.1395			
E3	ALL	0.70	1-MID-HOLD-DISQ	MHD_STRUCT10_AND_FLOW05	struct .10 AND flow (later of the two)	51	47	521.1	565.45	-30.4	-32.98	-26.48	-6.5	0.8431	-0.0393	0.0	0.0	400.74	0.1176	1951	8322	17985	20368	0.0	220.0	392.5	0.0	0.0	1208.01	175.25	0.0455	2811.86	0.2011	2095.21	0.2699			
E3	ALL	0.70	1-MID-HOLD-DISQ	MHD_BELOW600_AND_FLOW05	-$600 AND flow (later of the two)	51	47	543.9	590.19	-7.6	-8.24	-25.95	17.71	0.8824	0.0	0.0	0.0	396.57	0.0196	5534	12737	17985	21275	0.0	75.0	605.0	0.0	0.0	1260.85	176.25	0.0455	2811.86	0.2099	2095.21	0.2817			
E3	ALL	0.70	2-STRUCTURE-TRAIL	TRAIL_A600_W30	arm at +$600, stop behind the 30min extreme	51	47	440.22	477.69	-111.28	-120.74	-117.45	-3.29	0.902	0.0196	0.0	0.0	295.1	0.6471	2274	4460	10615	10942	0.0	22.0	411.25	0.0	0.0	1020.51	84.38	0.0455	2811.86	0.1699	2095.21	0.228			
E3	ALL	0.70	2-STRUCTURE-TRAIL	TRAIL_A600_W60	arm at +$600, stop behind the 60min extreme	51	47	457.87	496.84	-93.63	-101.59	-78.94	-22.65	0.902	0.0196	0.0	0.0	361.4	0.6275	4533	6280	13054	13142	0.0	22.0	411.25	0.0	0.0	1061.42	208.75	0.0455	2811.86	0.1767	2095.21	0.2371			
E3	ALL	0.70	2-STRUCTURE-TRAIL	TRAIL_A900_W30	arm at +$900, stop behind the 30min extreme	51	47	531.89	577.15	-19.61	-21.28	-40.66	19.38	0.8824	0.0	0.0	0.0	322.18	0.4902	2944	7349	13959	14220	0.0	75.0	411.25	0.0	0.0	1233.01	176.25	0.0455	2811.86	0.2053	2095.21	0.2755			
E3	ALL	0.70	2-STRUCTURE-TRAIL	TRAIL_A900_W60	arm at +$900, stop behind the 60min extreme	51	47	500.76	543.38	-50.74	-55.05	-32.13	-22.92	0.8824	0.0	0.0	0.0	369.85	0.4706	4533	7859	14181	15241	0.0	75.0	411.25	0.0	0.0	1160.85	175.0	0.0455	2811.86	0.1932	2095.21	0.2593			
E3	ALL	0.70	2-STRUCTURE-TRAIL	TRAIL_A1200_W30	arm at +$1200, stop behind the 30min extreme	51	47	607.62	659.34	56.12	60.91	-28.19	89.1	0.8824	0.0	0.0	0.0	302.45	0.3137	2944	9585	16106	16595	0.0	75.0	411.25	0.0	0.0	1408.58	176.25	0.0455	2811.86	0.2345	2095.21	0.3147			
E3	ALL	0.70	2-STRUCTURE-TRAIL	TRAIL_A1200_W60	arm at +$1200, stop behind the 60min extreme	51	47	559.83	607.47	8.33	9.04	-21.34	30.38	0.8824	0.0	0.0	0.0	350.25	0.3137	4533	10203	16262	17181	0.0	75.0	411.25	0.0	0.0	1297.78	176.25	0.0455	2811.86	0.216	2095.21	0.2899			
E3	ALL	0.70	4-TIME-DECAY	TIME120_T150	at entry+120min below +$150 -> exit at market	51	47	497.08	539.39	-54.42	-59.04	-37.65	-21.39	0.8824	0.0	0.0	0.0	363.73	0.2941	7200	7200	17148	17933	0.0	22.5	355.0	0.0	0.0	1152.33	176.25	0.0455	2811.86	0.1918	2095.21	0.2574			
E3	ALL	0.70	4-TIME-DECAY	TIME120_T300	at entry+120min below +$300 -> exit at market	51	47	434.46	471.44	-117.04	-126.99	-81.25	-45.74	0.8824	0.0	0.0	0.0	320.1	0.4902	7200	7200	12737	14942	0.0	22.5	355.0	0.0	0.0	1007.16	183.75	0.0455	2811.86	0.1677	2095.21	0.225			
E3	ALL	0.70	4-TIME-DECAY	TIME180_T150	at entry+180min below +$150 -> exit at market	51	47	510.07	553.48	-41.43	-44.95	-19.66	-25.29	0.902	0.0196	0.0	0.0	379.41	0.2353	7349	10800	17425	19391	0.0	32.0	392.5	0.0	0.0	1182.44	98.0	0.0455	2811.86	0.1968	2095.21	0.2642			
E3	ALL	0.70	4-TIME-DECAY	TIME180_T300	at entry+180min below +$300 -> exit at market	51	47	502.48	545.24	-49.02	-53.19	-24.02	-29.17	0.902	0.0196	0.0	0.0	376.96	0.3529	7349	10800	14382	18678	0.0	32.0	392.5	0.0	0.0	1164.83	96.75	0.0455	2811.86	0.1939	2095.21	0.2602			
E3	ALL	0.70	5-COMBINATION	CMB_B600_TRAIL600_30	-$600 cut OR trail(+$600,30min)	51	47	432.62	469.44	-118.88	-128.99	-119.56	-9.43	0.902	0.0196	0.0	0.0	302.7	0.6667	2274	4460	10019	10759	0.0	22.0	605.0	0.0	0.0	1002.9	84.38	0.0455	2811.86	0.1669	2095.21	0.2241			
E3	ALL	0.70	5-COMBINATION	CMB_FLOW05_TRAIL600_30	flow cut OR trail(+$600,30min)	51	47	245.98	266.91	-305.52	-331.52	-282.16	-49.36	0.6471	-0.2353	0.0	0.0	272.67	1.0	1872	2403	3953	4758	0.0	155.0	355.0	0.0	0.0	570.23	-232.5	0.2273	2811.86	0.0949	2095.21	0.1274			
E3	ALL	0.70	5-COMBINATION	CMB_B600_TRAIL600_60	-$600 cut OR trail(+$600,60min)	51	47	450.27	488.59	-101.23	-109.84	-67.39	-42.45	0.902	0.0196	0.0	0.0	369.0	0.6471	4533	5534	12057	12959	0.0	22.0	605.0	0.0	0.0	1043.81	208.75	0.0455	2811.86	0.1738	2095.21	0.2332			
E3	ALL	0.70	5-COMBINATION	CMB_FLOW05_TRAIL600_60	flow cut OR trail(+$600,60min)	51	47	271.1	294.18	-280.4	-304.25	-259.39	-44.86	0.6471	-0.2353	0.0	0.0	273.65	1.0	1872	2431	4188	5305	0.0	155.0	355.0	0.0	0.0	628.47	-232.5	0.2273	2811.86	0.1046	2095.21	0.1404			
E3	ALL	0.70	5-COMBINATION	CMB_B600_TRAIL900_30	-$600 cut OR trail(+$900,30min)	51	47	524.29	568.91	-27.21	-29.52	-56.37	26.85	0.8824	0.0	0.0	0.0	329.78	0.5098	2944	7051	13525	14038	0.0	75.0	605.0	0.0	0.0	1215.4	176.25	0.0455	2811.86	0.2023	2095.21	0.2715			
E3	ALL	0.70	5-COMBINATION	CMB_FLOW05_TRAIL900_30	flow cut OR trail(+$900,30min)	51	47	270.0	292.98	-281.5	-305.45	-270.91	-34.54	0.6471	-0.2353	0.0	0.0	269.49	1.0	1872	2431	4188	5151	0.0	155.0	355.0	0.0	0.0	625.91	-232.5	0.2273	2811.86	0.1042	2095.21	0.1398			
E3	ALL	0.70	5-COMBINATION	CMB_B600_TRAIL900_60	-$600 cut OR trail(+$900,60min)	51	47	493.16	535.13	-58.34	-63.3	-33.93	-29.37	0.8824	0.0	0.0	0.0	377.45	0.4902	4533	7479	14077	15059	0.0	75.0	605.0	0.0	0.0	1143.24	175.0	0.0455	2811.86	0.1903	2095.21	0.2554			
E3	ALL	0.70	5-COMBINATION	CMB_FLOW05_TRAIL900_60	flow cut OR trail(+$900,60min)	51	47	271.1	294.18	-280.4	-304.25	-264.24	-40.01	0.6471	-0.2353	0.0	0.0	273.65	1.0	1872	2431	4188	5305	0.0	155.0	355.0	0.0	0.0	628.47	-232.5	0.2273	2811.86	0.1046	2095.21	0.1404			
E3	ALL	0.70	5-COMBINATION	CMB_B600_TIME180_300	-$600 cut OR time-decay(180min,+$300)	51	47	494.63	536.73	-56.87	-61.7	-15.59	-46.11	0.902	0.0196	0.0	0.0	384.8	0.3529	5534	10800	14382	18575	0.0	32.0	605.0	0.0	0.0	1146.65	96.75	0.0455	2811.86	0.1909	2095.21	0.2562			
E3	ALL	0.70	5-COMBINATION	CMB_TRIPLE	-$600 OR trail(+$900,60min) OR time(180,+$300)	51	47	444.14	481.94	-107.36	-116.49	-58.08	-58.41	0.902	0.0196	0.0	0.0	365.44	0.8039	4533	7479	10800	12403	0.0	32.0	605.0	0.0	0.0	1029.6	96.75	0.0455	2811.86	0.1714	2095.21	0.23			
E3	ALL	0.70	5-COMBINATION	CMB_FLOW_TRAIL_TIME	flow OR trail(+$600,60min) OR time(180,+$300)	51	47	272.57	295.77	-278.93	-302.66	-265.62	-37.04	0.6667	-0.2157	0.0	0.0	272.18	1.0	1872	2431	4188	5282	0.0	155.0	355.0	0.0	0.0	631.88	-232.5	0.2273	2811.86	0.1052	2095.21	0.1412			
E3	ALL	0.70	5-COMBINATION	CMB_ANY3_TRAIL900_60	any-3 disqualification OR trail(+$900,60)	51	47	271.1	294.18	-280.4	-304.25	-251.63	-52.62	0.6471	-0.2353	0.0	0.0	273.65	1.0	1872	2431	4188	5305	0.0	155.0	355.0	0.0	0.0	628.47	-232.5	0.2273	2811.86	0.1046	2095.21	0.1404			
E3	ALL	0.70	3-PARTIAL-BANK(NEEDS>=2 CONTRACTS)	PARTIAL_B900	half off at +$900, remainder to phase close	51	47	559.71	607.34	8.21	8.91	-5.3	14.21	0.8824	0.0	0.0	0.0	380.76	0.4902	7349	13431	17985	21457	0.0	75.0	411.25	0.0	0.0	1297.5	176.25	0.0455	2811.86	0.216	2095.21	0.2899			
E3	ALL	0.70	3-PARTIAL-BANK(NEEDS>=2 CONTRACTS)	PARTIAL_B1200	half off at +$1200, remainder to phase close	51	47	595.8	646.5	44.3	48.07	-7.7	55.77	0.8824	0.0	0.0	0.0	344.67	0.3333	7349	13431	17985	21457	0.0	75.0	411.25	0.0	0.0	1381.16	176.25	0.0455	2811.86	0.2299	2095.21	0.3086			
E3	SI	0.70	0-BASELINE	PHASE_CLOSE	ride to phase close, $900 wall	18	17	563.75	596.91	0.0	0.0	0.0	0.0	0.8889	0.0	0.0	0.0	431.25	0.0	9585	13956	19469	22318	0.0	87.0	267.5	0.0	0.0	676.5	-72.5	0.1333	3553.38	0.168	3300.74	0.1808			THIN(<30 SEATS)
E3	SI	0.70	1-MID-HOLD-DISQ	MHD_STRUCT_0.05ATR	reclaim level lost by 0.05 ATR	18	17	415.14	439.56	-148.61	-157.35	-137.68	-19.67	0.6667	-0.2222	0.0	0.0	361.81	0.3333	1800	1810	18369	17005	0.0	222.5	242.5	0.0	0.0	498.17	-217.5	0.2667	3553.38	0.1237	3300.74	0.1332			THIN(<30 SEATS)
E3	SI	0.70	1-MID-HOLD-DISQ	MHD_STRUCT_0.10ATR	reclaim level lost by 0.10 ATR	18	17	521.39	552.06	-42.36	-44.85	-77.76	32.91	0.8333	-0.0556	0.0	0.0	452.78	0.1667	1951	3941	19469	20681	0.0	310.0	392.5	0.0	0.0	625.67	-155.0	0.1333	3553.38	0.1554	3300.74	0.1673			THIN(<30 SEATS)
E3	SI	0.70	1-MID-HOLD-DISQ	MHD_STRUCT_0.20ATR	reclaim level lost by 0.20 ATR	18	17	540.83	572.65	-22.92	-24.26	-23.53	-0.73	0.8889	0.0	0.0	0.0	454.17	0.0556	5569	12277	19469	21802	0.0	107.0	630.0	0.0	0.0	649.0	-102.5	0.1333	3553.38	0.1612	3300.74	0.1735			THIN(<30 SEATS)
E3	SI	0.70	1-MID-HOLD-DISQ	MHD_FLOW15_LOOSE	15min no new high + net down (LOOSE)	18	17	147.08	155.74	-416.67	-441.17	-452.11	10.94	0.6111	-0.2778	0.0	0.0	186.11	1.0	1800	1800	2527	2576	0.0	192.5	242.5	0.0	0.0	176.5	-152.5	0.3333	3553.38	0.0438	3300.74	0.0472			THIN(<30 SEATS)
E3	SI	0.70	1-MID-HOLD-DISQ	MHD_FLOW15_0.05ATR	15min against, >=0.05 ATR given up	18	17	281.11	297.65	-282.64	-299.26	-325.09	25.83	0.5556	-0.3333	0.0	0.0	335.42	1.0	1872	2423	3706	5309	0.0	282.5	355.0	0.0	0.0	337.33	-280.0	0.4	3553.38	0.0838	3300.74	0.0902			THIN(<30 SEATS)
E3	SI	0.70	1-MID-HOLD-DISQ	MHD_FLOW15_0.10ATR	15min against, >=0.10 ATR given up	18	17	463.06	490.29	-100.69	-106.62	-159.65	53.03	0.8889	0.0	0.0	0.0	355.56	0.7222	1998	2760	10552	11270	0.0	62.0	405.0	0.0	0.0	555.67	-55.0	0.1333	3553.38	0.138	3300.74	0.1485			THIN(<30 SEATS)
E3	SI	0.70	1-MID-HOLD-DISQ	MHD_FLOW15_0.25ATR	15min against, >=0.25 ATR given up	18	17	486.67	515.29	-77.08	-81.62	-27.94	-53.68	0.8889	0.0	0.0	0.0	465.97	0.1111	2841	12277	18369	19314	0.0	87.0	267.5	0.0	0.0	584.0	-92.5	0.1333	3553.38	0.145	3300.74	0.1561			THIN(<30 SEATS)
E3	SI	0.70	1-MID-HOLD-DISQ	MHD_BELOW400	sits below -$400	18	17	545.69	577.79	-18.06	-19.12	-75.73	56.61	0.8889	0.0	0.0	0.0	447.92	0.1111	1981	10982	19469	21363	0.0	162.0	405.0	0.0	0.0	654.83	-185.0	0.1333	3553.38	0.1626	3300.74	0.175			THIN(<30 SEATS)
E3	SI	0.70	1-MID-HOLD-DISQ	MHD_BELOW600	sits below -$600	18	17	542.22	574.12	-21.53	-22.79	-29.23	6.44	0.8889	0.0	0.0	0.0	452.78	0.0556	5534	12277	19469	21801	0.0	107.0	605.0	0.0	0.0	650.67	-102.5	0.1333	3553.38	0.1616	3300.74	0.1739			THIN(<30 SEATS)
E3	SI	0.70	1-MID-HOLD-DISQ	MHD_FLOW05_OR_B600	flow OR -$600	18	17	281.11	297.65	-282.64	-299.26	-291.17	-8.09	0.5556	-0.3333	0.0	0.0	335.42	1.0	1872	2423	3706	5309	0.0	282.5	355.0	0.0	0.0	337.33	-280.0	0.4	3553.38	0.0838	3300.74	0.0902			THIN(<30 SEATS)
E3	SI	0.70	1-MID-HOLD-DISQ	MHD_FLOW05_OR_B400	flow OR -$400	18	17	281.11	297.65	-282.64	-299.26	-295.95	-3.31	0.5556	-0.3333	0.0	0.0	335.42	1.0	1872	2423	3706	5309	0.0	282.5	355.0	0.0	0.0	337.33	-280.0	0.4	3553.38	0.0838	3300.74	0.0902			THIN(<30 SEATS)
E3	SI	0.70	1-MID-HOLD-DISQ	MHD_STRUCT10_OR_FLOW05	struct .10 OR flow	18	17	281.11	297.65	-282.64	-299.26	-306.16	6.9	0.5556	-0.3333	0.0	0.0	335.42	1.0	1872	2423	3706	5309	0.0	282.5	355.0	0.0	0.0	337.33	-280.0	0.4	3553.38	0.0838	3300.74	0.0902			THIN(<30 SEATS)
E3	SI	0.70	1-MID-HOLD-DISQ	MHD_ANY3	struct .10 OR flow OR -$600	18	17	281.11	297.65	-282.64	-299.26	-337.87	38.61	0.5556	-0.3333	0.0	0.0	335.42	1.0	1872	2423	3706	5309	0.0	282.5	355.0	0.0	0.0	337.33	-280.0	0.4	3553.38	0.0838	3300.74	0.0902			THIN(<30 SEATS)
E3	SI	0.70	1-MID-HOLD-DISQ	MHD_STRUCT10_AND_FLOW05	struct .10 AND flow (later of the two)	18	17	521.39	552.06	-42.36	-44.85	-87.77	42.92	0.8333	-0.0556	0.0	0.0	452.78	0.1667	1951	3941	19469	20681	0.0	310.0	392.5	0.0	0.0	625.67	-155.0	0.1333	3553.38	0.1554	3300.74	0.1673			THIN(<30 SEATS)
E3	SI	0.70	1-MID-HOLD-DISQ	MHD_BELOW600_AND_FLOW05	-$600 AND flow (later of the two)	18	17	542.22	574.12	-21.53	-22.79	-51.74	28.95	0.8889	0.0	0.0	0.0	452.78	0.0556	5534	12277	19469	21801	0.0	107.0	605.0	0.0	0.0	650.67	-102.5	0.1333	3553.38	0.1616	3300.74	0.1739			THIN(<30 SEATS)
E3	SI	0.70	2-STRUCTURE-TRAIL	TRAIL_A600_W30	arm at +$600, stop behind the 30min extreme	18	17	450.56	477.06	-113.19	-119.85	-115.26	-4.59	0.8889	0.0	0.0	0.0	302.08	0.6111	2881	4039	10733	11067	0.0	87.0	267.5	0.0	0.0	540.67	-102.5	0.1333	3553.38	0.1343	3300.74	0.1445			THIN(<30 SEATS)
E3	SI	0.70	2-STRUCTURE-TRAIL	TRAIL_A600_W60	arm at +$600, stop behind the 60min extreme	18	17	424.17	449.12	-139.58	-147.79	-89.06	-58.73	0.8889	0.0	0.0	0.0	389.58	0.6111	5294	6014	12438	12629	0.0	87.0	267.5	0.0	0.0	509.0	-72.5	0.1333	3553.38	0.1264	3300.74	0.1361			THIN(<30 SEATS)
E3	SI	0.70	2-STRUCTURE-TRAIL	TRAIL_A900_W30	arm at +$900, stop behind the 30min extreme	18	17	530.42	561.62	-33.33	-35.29	-94.12	58.83	0.8889	0.0	0.0	0.0	352.78	0.5556	5470	9535	12618	13482	0.0	87.0	267.5	0.0	0.0	636.5	-72.5	0.1333	3553.38	0.1581	3300.74	0.1701			THIN(<30 SEATS)
E3	SI	0.70	2-STRUCTURE-TRAIL	TRAIL_A900_W60	arm at +$900, stop behind the 60min extreme	18	17	460.97	488.09	-102.78	-108.82	-47.06	-61.76	0.8889	0.0	0.0	0.0	422.22	0.5556	6280	10017	14093	14166	0.0	87.0	267.5	0.0	0.0	553.17	-72.5	0.1333	3553.38	0.1374	3300.74	0.1479			THIN(<30 SEATS)
E3	SI	0.70	2-STRUCTURE-TRAIL	TRAIL_A1200_W30	arm at +$1200, stop behind the 30min extreme	18	17	622.08	658.68	58.33	61.77	-20.95	82.72	0.8889	0.0	0.0	0.0	319.44	0.3889	5470	9535	16240	16123	0.0	87.0	267.5	0.0	0.0	746.5	-72.5	0.1333	3553.38	0.1854	3300.74	0.1996			THIN(<30 SEATS)
E3	SI	0.70	2-STRUCTURE-TRAIL	TRAIL_A1200_W60	arm at +$1200, stop behind the 60min extreme	18	17	557.5	590.29	-6.25	-6.62	-77.48	70.86	0.8889	0.0	0.0	0.0	384.03	0.3889	6280	10017	16240	16371	0.0	87.0	267.5	0.0	0.0	669.0	-72.5	0.1333	3553.38	0.1661	3300.74	0.1788			THIN(<30 SEATS)
