# PORT M2 D-090.6 information ceiling (E6, hindsight-fit, NON-CAUSAL-BY-DESIGN) (PORT-M2-INFO-CEILING-V1)
# NON-CAUSAL-BY-DESIGN: hindsight-fit upper bound over ALL E6 sessions (study + sealed blind). NOT a deployable result.
# mean_diff = mean(winner leg - loser leg), CR1 interval CLUSTERED BY DAY; sign_for_winner = the direction that points at the paying side
# pair_acc_kfold: the sign is chosen on 4/5 of the DAYS and scored on the held-out fifth — 0.50 is a coin flip
# NON-CAUSAL-BY-DESIGN: the pair set is defined by outcomes, so this table says what information EXISTS in the views, never what a live reader could have selected on
rank	field	layer	group	n_pairs	sign_for_winner	mean_diff	ci_lo	ci_hi	p_clustered_by_day	pair_acc_in_sample	pair_acc_kfold
57	refail_dist_usd	SHEETS	level	3226	-1	-3.19668	-9.81513	3.42176	0.340986	0.50682	0.50682
58	erosion_with_side	DIGEST	event	3248	1	0.198584	-0.158937	0.556105	0.273771	0.506773	0.506773
59	w600_trade_frac	SEQ	seq	3251	1	7.16314e-05	-0.000104985	0.000248247	0.423703	0.506767	0.506767
60	xs_o2_sflow60_with	XASSET	xasset_ep	2678	1	0.0111112	-0.0249768	0.0471992	0.543394	0.506348	0.506348
61	bid_reload	SEQ	seq	3251	-1	-0.701938	-1.78833	0.384457	0.203372	0.506306	0.506306
62	clock_sec	DIGEST	clock	3251	1	55.2633	-93.1704	203.697	0.46262	0.505844	0.505844
63	f5m_vol	DIGEST	flow	3251	-1	0.135958	-5.3033	5.57521	0.960626	0.505691	0.505691
64	mins_to_release	DIGEST	news	3251	1	5.7934	-3.01501	14.6018	0.19543	0.505537	0.505537
65	fc_anchor_age_sec	SHEETS	forecast	3251	1	10.9692	-7.01066	28.9491	0.229564	0.505537	0.505537
66	cell_rank_so_far	SHEETS	episode	3251	1	0.0212242	-0.0716126	0.114061	0.651737	0.505383	0.505383
67	sess_rank_so_far	SHEETS	episode	3251	1	0.0212242	-0.0716126	0.114061	0.651737	0.505383	0.505383
68	xs_o2_evrate_z60	XASSET	xasset_ep	2621	1	0.0337048	-0.0259108	0.0933204	0.265314	0.505341	0.505341
69	dec_sec	DIGEST	clock	3251	1	2.11043	-1.41967	5.64053	0.238996	0.505229	0.505229
70	rung_0.075	DIGEST	class	3251	1	0.0104583	0.00140776	0.0195089	0.0238767	0.505229	0.505229
71	runway_phase_sec	DIGEST	runway	3251	-1	-2.11043	-5.64053	1.41967	0.238996	0.505229	0.505229
72	runway_frac	DIGEST	runway	3251	-1	-7.36063e-05	-0.000183249	3.60366e-05	0.186402	0.505229	0.505229
73	phase_age_sec	DIGEST	runway	3251	1	2.11043	-1.41967	5.64053	0.238996	0.505229	0.505229
74	runway_sess_sec	DIGEST	runway	3251	-1	-2.11043	-5.64053	1.41967	0.238996	0.505229	0.505229
75	cell_age_sec	SHEETS	episode	3251	1	2.11043	-1.41967	5.64053	0.238996	0.505229	0.505229
76	thru_imb	SHEETS	event	2640	1	0.0034916	-0.00806535	0.0150485	0.550919	0.505114	0.505114
77	hit_bid	SEQ	seq	3251	1	-1.31067	-4.6636	2.04225	0.440623	0.505075	0.505075
78	xs_o2_rv60	XASSET	xasset_ep	3248	1	0.000198188	-0.000202603	0.000598979	0.329659	0.504926	0.504926
79	w600_n_trades	SEQ	seq	3251	-1	0.639803	-2.20147	3.48108	0.656631	0.504922	0.504922
80	xa_SI_age_sec	SHEETS	xasset	3225	1	14.4115	-10.4426	39.2655	0.253352	0.504651	0.504651
81	thru_bid	SHEETS	event	3251	1	0.0406029	-0.108058	0.189264	0.589802	0.504614	0.504614
82	w600_ask_reload	SEQ	seq	3251	1	0.0793602	-1.22945	1.38817	0.904678	0.504306	0.504306
83	xs_o1_cov_phase	XASSET	xasset_ep	3251	1	0.000392439	-0.000415904	0.00120078	0.338512	0.504306	0.504306
84	xa_HG_age_sec	SHEETS	xasset	3225	1	-9.33705	-32.4405	13.7664	0.425342	0.504031	0.504031
85	xa_NKD_age_sec	SHEETS	xasset	3225	1	-9.35411	-32.1234	13.4152	0.41775	0.504031	0.504031
86	f60_n	DIGEST	flow	3251	1	-0.114119	-1.83177	1.60353	0.895605	0.503845	0.503845
87	fev_n	SHEETS	news	3251	1	1.37158	-4.83966	7.58281	0.662859	0.503845	0.503845
88	fev_vol	SHEETS	news	3251	1	3.05875	-10.5104	16.6279	0.656291	0.503845	0.503845
89	n_ev_60	DIGEST	event	3251	-1	-4.60504	-24.8901	15.68	0.654017	0.503537	0.503537
90	w600_stack_asym	SEQ	seq	3251	-1	-0.00522916	-0.0175453	0.00708698	0.402372	0.50323	0.50323
91	trade_frac	SEQ	seq	3251	1	1.96871e-05	-0.000686924	0.000726298	0.956117	0.503076	0.503076
92	coverage_phase	DIGEST	seat	3251	1	1.4885e-05	-0.000973896	0.00100367	0.976281	0.502461	0.502461
93	@unspent_phase_usd	DIGEST	derived	3251	-1	-0.526761	-2.60634	1.55282	0.617051	0.502461	0.502461
94	surprise	DIGEST	regime	3251	1	-0.000103743	-0.00108119	0.0008737	0.833974	0.502461	0.502461
95	w600_trade_retreat_dn	SEQ	seq	3251	1	0.140265	-0.872006	1.15253	0.784369	0.502307	0.502307
96	levfam_PHASE_HL	DIGEST	level	3251	1	0.00369117	0.00100344	0.0063789	0.00749736	0.501846	0.501846
97	ladder_band	DIGEST	regime	3251	1	0.00276838	-0.00221029	0.00774705	0.273255	0.501692	0.501692
98	rung_0.15	DIGEST	class	3251	-1	-0.00307598	-0.00945515	0.0033032	0.341789	0.501538	0.501538
99	flag_OREXT_BEYOND	SHEETS	level	3251	-1	-0.00276838	-0.00877568	0.00323892	0.363521	0.501384	0.501384
100	pre_release_window	SHEETS	news	3251	1	0.00246078	-0.000654107	0.00557567	0.120467	0.50123	0.50123
101	day_type	DIGEST	regime	3251	1	0.00215318	-0.00134048	0.00564685	0.224871	0.501077	0.501077
102	event_in_phase	SHEETS	news	3251	-1	-0.00215318	-0.00494995	0.000643586	0.130121	0.501077	0.501077
103	cell_is_open_row	SHEETS	episode	3251	1	0.00215318	-0.00114515	0.00545152	0.198759	0.501077	0.501077
104	levfam_FVOL_LADDER	DIGEST	level	3251	-1	-0.00184559	-0.00558293	0.00189176	0.330313	0.500923	0.500923
105	cls_OPEN_DYNAMICS	DIGEST	class	3251	1	0.00153799	-0.00274643	0.0058224	0.478771	0.500769	0.500769
106	fam_MICRO_OPEN	DIGEST	class	3251	1	0.00123039	-0.00273409	0.00519487	0.540204	0.500615	0.500615
107	in_news_window	DIGEST	news	3251	1	0.00123039	-0.000251551	0.00271233	0.102865	0.500615	0.500615
108	nd_in_census	SHEETS	news	3251	1	0.000615195	-0.000602491	0.00183288	0.319319	0.500308	0.500308
109	xa_SI_rv1800	SHEETS	xasset	3225	1	0.00917551	-0.00910987	0.0274609	0.322595	0.500155	0.500155
110	xa_SI_slope5m	SHEETS	xasset	3225	1	0.00310078	-0.00307859	0.00928014	0.322595	0.500155	0.500155
111	xa_SI_sflow_phase	SHEETS	xasset	3225	1	0.220465	-0.218888	0.659818	0.322595	0.500155	0.500155
112	xa_HG_rv1800	SHEETS	xasset	3225	1	0.053813	-0.0532958	0.160922	0.322	0.500155	0.500155
113	xa_HG_fuel_share_above	SHEETS	xasset	3225	1	2.29013e-05	-2.26812e-05	6.84838e-05	0.322	0.500155	0.500155
114	xa_HG_range_so_far	SHEETS	xasset	3225	1	0.0794574	-0.0786936	0.237608	0.322	0.500155	0.500155
115	xa_HG_slope5m	SHEETS	xasset	3225	1	0.00620155	-0.00614194	0.018545	0.322	0.500155	0.500155
116	xa_HG_sflow_phase	SHEETS	xasset	3225	1	0.123411	-0.122225	0.369046	0.322	0.500155	0.500155
117	xa_NKD_rv1800	SHEETS	xasset	3225	1	0.0221933	-0.0218844	0.0662711	0.320955	0.500155	0.500155
118	xa_NKD_fuel_share_above	SHEETS	xasset	3225	1	0.00022806	-0.000224885	0.000681004	0.320955	0.500155	0.500155
119	xa_NKD_range_so_far	SHEETS	xasset	3225	1	0.674419	-0.66503	2.01387	0.320955	0.500155	0.500155
120	xa_NKD_slope5m	SHEETS	xasset	3225	1	0.0100775	-0.00993723	0.0300923	0.320955	0.500155	0.500155
121	fam_G1_FAST_OPEN	DIGEST	class	3251	1	0.000307598	-0.000752531	0.00136773	0.566855	0.500154	0.500154
122	fc_share_LONDON	SHEETS	forecast	3251	1	2.92319e-05	-1.57201e-05	7.4184e-05	0.200486	0.500154	0.500154
123	fc_share_NY	SHEETS	forecast	3251	1	2.19542e-05	-8.54531e-06	5.24536e-05	0.156773	0.500154	0.500154
124	fc_n_feature_missing	SHEETS	forecast	3251	1	0.00153799	-0.00151188	0.00458786	0.320214	0.500154	0.500154
125	asset_SI	DIGEST	era	3251	1	0	0	0	.	0.5	0.5
126	asset_HG	DIGEST	era	3251	1	0	0	0	.	0.5	0.5
127	asset_NKD	DIGEST	era	3251	1	0	0	0	.	0.5	0.5
128	phase_TOKYO	DIGEST	clock	3251	1	0	0	0	.	0.5	0.5
129	phase_LONDON	DIGEST	clock	3251	1	0	0	0	.	0.5	0.5
130	phase_NY	DIGEST	clock	3251	1	0	0	0	.	0.5	0.5
131	cls_UNCLASSED	DIGEST	class	3251	1	0	0	0	.	0.5	0.5
132	session_close_exit	DIGEST	runway	3251	1	0	0	0	.	0.5	0.5
133	exp_move_q50_phase_usd	SHEETS	seat	3251	1	0	0	0	.	0.5	0.5
134	cell_rv1800_at_open	SHEETS	p030_p033	3251	1	0	0	0	.	0.5	0.5
135	cell_unspent_at_open	SHEETS	p030_p033	3251	1	0	0	0	.	0.5	0.5
136	dow	SHEETS	era	3251	1	0	0	0	.	0.5	0.5
137	is_monday	SHEETS	era	3251	1	0	0	0	.	0.5	0.5
138	is_friday	SHEETS	era	3251	1	0	0	0	.	0.5	0.5
139	sched_release_in_phase	SHEETS	news	3251	1	0	0	0	.	0.5	0.5
140	fc_available	SHEETS	forecast	3251	1	0	0	0	.	0.5	0.5
141	fc_bench_base_rate	SHEETS	forecast	3251	1	0	0	0	.	0.5	0.5
142	fc_bench_persistence	SHEETS	forecast	3251	1	0	0	0	.	0.5	0.5
143	fc_bench_range_trailmed	SHEETS	forecast	3251	1	0	0	0	.	0.5	0.5
144	regime_tercile	SHEETS	regime	3251	1	0	0	0	.	0.5	0.5
145	range_hat_usd	SHEETS	regime	3251	1	0	0	0	.	0.5	0.5
146	atr_usd	SHEETS	regime	3251	1	0	0	0	.	0.5	0.5
147	dom_share	SHEETS	regime	3251	1	0	0	0	.	0.5	0.5
148	era_ord	SHEETS	era	3251	1	0	0	0	.	0.5	0.5
149	month	SHEETS	era	3251	1	0	0	0	.	0.5	0.5
150	prev_phase_range_usd	SHEETS	geometry	2019	1	0	0	0	.	0.5	0.5
151	pre_cell_range_usd	SHEETS	geometry	2019	1	0	0	0	.	0.5	0.5
152	ep_age_sec	SHEETS	episode	3251	1	0	0	0	.	0.5	0.5
153	fc_p_expansion	SHEETS	forecast	3251	-1	-0.000171642	-0.000487312	0.000144028	0.283963	0.500154	0.499846
154	fc_range_hat_usd	SHEETS	forecast	3251	-1	-0.465615	-1.24335	0.312123	0.23834	0.500154	0.499846
155	fc_range_hat_q10	SHEETS	forecast	3251	-1	-0.35484	-0.905262	0.195581	0.204379	0.500154	0.499846
156	fc_range_hat_q90	SHEETS	forecast	3251	-1	-0.687324	-1.92068	0.546028	0.272197	0.500154	0.499846
157	fc_range_vs_trailing	SHEETS	forecast	3251	-1	-0.000102998	-0.000269479	6.3483e-05	0.223107	0.500154	0.499846
158	fc_share_TOKYO	SHEETS	forecast	3251	-1	-5.11858e-05	-0.000126002	2.36306e-05	0.178186	0.500154	0.499846
159	xa_SI_fuel_share_above	SHEETS	xasset	3225	-1	-9.76871e-06	-2.92363e-05	9.69883e-06	0.322595	0.500155	0.499845
160	xa_SI_range_so_far	SHEETS	xasset	3225	-1	-0.344961	-1.03242	0.342494	0.322595	0.500155	0.499845
161	xa_NKD_sflow_phase	SHEETS	xasset	3225	-1	-0.0787597	-0.235183	0.0776633	0.320955	0.500155	0.499845
162	fc_menu_hat	SHEETS	forecast	3251	-1	-0.000691457	-0.003097	0.00171409	0.570477	0.500154	0.499539
163	cls_SHOCK_RESOLUTION	DIGEST	class	3251	-1	-0.000615195	-0.00254774	0.00131735	0.529852	0.500308	0.499385
164	fam_POST_SHOCK	DIGEST	class	3251	-1	-0.000615195	-0.00254774	0.00131735	0.529852	0.500308	0.499385
165	levfam_NDAY	DIGEST	level	3251	1	0	-0.00122228	0.00122228	1	0.5	0.499385
166	levfam_OR_EXT	DIGEST	level	3251	1	0.000307598	-0.00152712	0.00214231	0.740605	0.500154	0.499231
167	flag_FIRST_TEST_VIRGIN	SHEETS	level	3251	-1	-0.000307598	-0.00192628	0.00131108	0.707502	0.500154	0.499231
168	post_news_10_20	SHEETS	news	3251	-1	-0.000922793	-0.00311081	0.00126523	0.405507	0.500461	0.499231
169	flow_disagree_30m	SHEETS	flow	3251	1	0.000922793	-0.00962556	0.0114711	0.862831	0.500461	0.499231
170	fam_FIRST_TEST	DIGEST	class	3251	1	0	-0.00172856	0.00172856	1	0.5	0.499077
171	cls_LEVEL_FIRST_TEST	DIGEST	class	3251	-1	-0.000307598	-0.00192294	0.00130774	0.706926	0.500154	0.498923
172	levfam_PRIOR_DAY	DIGEST	level	3251	-1	-0.000307598	-0.00233586	0.00172067	0.764579	0.500154	0.498923
173	cls_RECLAIM	DIGEST	class	3251	1	0.000307598	-0.00388119	0.00449638	0.884688	0.500154	0.498308
174	fam_G2_RECLAIM	DIGEST	class	3251	1	0.000307598	-0.00388119	0.00449638	0.884688	0.500154	0.498308
175	rung_0.11	DIGEST	class	3251	-1	-0.00276838	-0.010736	0.0051992	0.492966	0.501384	0.498308
176	rung_0.05	DIGEST	class	3251	1	0	-0.012069	0.012069	1	0.5	0.497847
177	cls_NEWS_WINDOW	DIGEST	class	3251	-1	-0.00215318	-0.00781177	0.0035054	0.452836	0.501077	0.497693
178	fam_NEWS_WINDOW	DIGEST	class	3251	-1	-0.00215318	-0.00781177	0.0035054	0.452836	0.501077	0.497693
179	flow_disagree_5m	SHEETS	flow	3251	1	0.00184559	-0.0188801	0.0225713	0.860401	0.500923	0.497539
180	fam_G1	DIGEST	class	3251	1	0.00399877	-0.00724426	0.0152418	0.482822	0.501999	0.497385
181	levfam_VWAP	DIGEST	level	3251	-1	-0.00123039	-0.00733712	0.00487634	0.690771	0.500615	0.497232
182	flag_OREXT_BEYOND_ANY	SHEETS	level	3251	1	0	-0.00758402	0.00758402	1	0.5	0.497232
183	thru_ask	SHEETS	event	3251	-1	0.00276838	-0.141238	0.146775	0.969713	0.501846	0.497232
184	levfam_FVOL_BAND	DIGEST	level	3251	-1	-0.000615195	-0.00573169	0.0045013	0.812309	0.500308	0.496924
185	conf_to_dec_sec	SHEETS	geometry	3251	1	0.0968933	-0.676219	0.870006	0.804521	0.500461	0.49677
186	cls_REVERSAL_CONFIRMATION	DIGEST	class	3251	1	0.00123039	-0.00702179	0.00948257	0.768432	0.500615	0.496616
187	xs_o2_cov_phase	XASSET	xasset_ep	3248	-1	-6.0806e-05	-0.000771271	0.000649659	0.865775	0.501078	0.496151
188	fam_G2_REJECT	DIGEST	class	3251	-1	-0.00184559	-0.0115296	0.00783842	0.706694	0.500923	0.496001
189	stack_asym	SEQ	seq	3251	-1	0.00569056	-0.0408154	0.0521965	0.809057	0.500615	0.496001
190	fev_sflow_signed	SHEETS	news	3251	1	-2.08428	-62.0665	57.898	0.945285	0.503537	0.495847
191	w600_hit_bid	SEQ	seq	3251	-1	0.506613	-2.90419	3.91742	0.769287	0.50323	0.495847
192	day_type_frac	DIGEST	regime	3251	1	8.71658e-05	-0.000663429	0.000837761	0.818608	0.501692	0.49554
193	range_so_far_usd	DIGEST	regime	3251	1	0.497924	-1.07068	2.06653	0.531019	0.501692	0.49554
194	coverage_session	DIGEST	seat	3251	1	0.000153188	-0.0003529	0.000659275	0.550239	0.501692	0.49554
195	unspent_sess_usd	DIGEST	seat	3251	-1	-0.497924	-2.06653	1.07068	0.531018	0.501692	0.49554
196	add_walk_up	SEQ	seq	3251	-1	-0.589665	-1.70998	0.530653	0.299589	0.504153	0.49554
197	xs_o1_leadlag30m_lag	XASSET	xasset_ep	3230	1	0.168421	-0.130823	0.467665	0.267482	0.500929	0.495356
198	in_va	DIGEST	fuel_poc	3251	-1	-0.000922793	-0.0125778	0.0107322	0.875743	0.500308	0.495078
199	trade_retreat_up	SEQ	seq	3251	-1	-0.242387	-1.18839	0.70362	0.613003	0.503384	0.495078
200	w600_bid_reload	SEQ	seq	3251	1	0.201784	-0.958461	1.36203	0.73129	0.504306	0.495078
201	fam_G1_FINE	DIGEST	class	3251	1	0.000307598	-0.0124361	0.0130513	0.961978	0.500154	0.494925
202	add_walk_dn	SEQ	seq	3251	1	-0.753922	-1.90656	0.398721	0.197892	0.500461	0.494309
203	w600_pull_ratio_dn	SEQ	seq	3249	-1	-0.000256953	-0.00149213	0.000978225	0.681271	0.505386	0.494306
204	clock_cos	DIGEST	clock	3251	-1	-1.209e-05	-0.000165406	0.000141226	0.876239	0.504922	0.493233
205	xs_o2_rv1800	XASSET	xasset_ep	3248	-1	-6.46464e-05	-0.000203111	7.38185e-05	0.357283	0.502771	0.493227
206	n_level_fams	DIGEST	level	3251	-1	0	-0.0123141	0.0123141	1	0.500769	0.493079
207	n_conf_fam_at_refail	SHEETS	level	3251	1	0.00338357	-0.0393649	0.0461321	0.875782	0.502922	0.493079
208	slope_1m_with	DIGEST	flow	3238	1	2.68105	-7.49074	12.8528	0.602856	0.504787	0.493051
209	w600_l1_ct_asym	SEQ	seq	3251	1	0.072593	-0.100524	0.24571	0.408197	0.501384	0.492771
210	l1_ct_asym	SEQ	seq	3250	1	0.0726154	-0.100548	0.245778	0.408179	0.501385	0.492769
211	refail_age_sec	SHEETS	level	3251	1	2.23654	-5.39889	9.87198	0.563171	0.505383	0.492464
212	fuel_below	DIGEST	fuel_poc	3251	1	47.1827	-11.5571	105.923	0.11443	0.505537	0.49231
213	ev_per_s	SEQ	seq	3251	1	-0.144608	-0.410874	0.121658	0.28453	0.50123	0.49231
214	dbsz_min	DIGEST	event	3248	-1	-0.1758	-0.549853	0.198252	0.354101	0.503387	0.492303
215	pivot_age_sec	SHEETS	level	3251	1	0.885574	-7.58954	9.36069	0.836512	0.505691	0.492156
216	xs_o1_evrate_z60	XASSET	xasset_ep	2907	1	0.011973	-0.051285	0.0752311	0.70858	0.502064	0.492088
217	hit_ask	SEQ	seq	3251	-1	0.611504	-2.59598	3.81899	0.706594	0.501384	0.491849
218	slope_5m_usd	DIGEST	flow	3233	-1	0.0483297	-1.7824	1.87906	0.958418	0.504794	0.491185
219	n_trades	SEQ	seq	3251	1	-0.655798	-3.3119	2.0003	0.625965	0.500923	0.490772
220	xs_o1_sflow60_with	XASSET	xasset_ep	3156	1	0.0107935	-0.0127337	0.0343207	0.365647	0.508714	0.490653
221	pos_in_phase_range	SHEETS	geometry	3251	1	0.00285694	-0.00118217	0.00689605	0.164042	0.506767	0.490464
222	w600_add_walk_dn	SEQ	seq	3251	1	0.0999692	-1.2406	1.44054	0.882913	0.502768	0.490464
223	n_ev	SEQ	seq	3251	1	-17.2436	-49.3764	14.8891	0.290272	0.500923	0.490157
224	one_side_pull	SEQ	seq	3244	-1	0.000534925	-0.00665683	0.00772668	0.883212	0.500771	0.489982
225	w600_trade_retreat_up	SEQ	seq	3251	1	0.285143	-0.779944	1.35023	0.597179	0.501846	0.489542
226	thru_n	SHEETS	event	3251	1	0.0433713	-0.197173	0.283916	0.721826	0.500461	0.48908
227	fuel_share_above	SHEETS	fuel_poc	3250	-1	-0.00476083	-0.00956209	4.04201e-05	0.0519304	0.503231	0.489077
228	w600_hit_ask	SEQ	seq	3251	1	0.776992	-2.63913	4.19312	0.653402	0.5	0.488619
229	clock_sin	DIGEST	clock	3251	1	3.89694e-06	-0.000192466	0.00020026	0.968734	0.503384	0.488004
230	cancel_retreat_dn	SEQ	seq	3251	-1	-0.290372	-0.867892	0.287148	0.321638	0.500923	0.488004
231	n_conf_fam_at_refail_2t	SHEETS	level	3251	-1	-0.0190711	-0.0805266	0.0423845	0.540244	0.501077	0.48785
