# PORT M2 port m2 NEW DECISION OBJECTS — joint (member x delay) ranking, rank-then-gate-verify, optimal stopping (E3-E7 develop, E8 one blind read) (lane=port-m2-newobj; version=PORT-M2-NEWOBJ-V1; seed=20260813)
# E8 QUARANTINE: every fit, threshold and selection in this file is made on E3-E7 only; E8 rows are ONE labeled blind read and were never an input to any choice.
# REAL TRAILING RULES on the FULL ARMOURED BOOK (3/asset/day + first-wall stop), priced on each trade's OWN second-by-second path rebuilt with `m2_delay._leg` -- the skeleton that reproduced the committed certificate exactly at D=0.
# ENFORCED IN CODE: 30-minute minimum hold (the prop ban on quick exits is structural -- a rule cannot fire earlier), the $900 wall always live and winning if it comes first, the phase close as the hard right edge, and ARMING so mid-run dips before the arming profit ride as normal.
# displaced_control_usd applies the IDENTICAL rule to the same trade's path ROTATED IN TIME.  A rule that pays as much there is reading path shape that is not there; delta_vs_displaced is the real edge.
# 5-seed bars come from the five CONTOP50 member take-sets, so the schedule varies as it would in deployment.
# CLOSE is the as-traded row (no trail) and is the reference every rule must beat.
era	rule	n_seeds	mean_usd_per_session	sd_usd	capture_of_entry_ceiling	win_rate	median_hold_sec	displaced_control_usd	delta_vs_displaced	floor_2000
E7	LOCK_arm600_plus0	5	1357.19	38.02	0.3322	0.6597	13694.0	-136.65	1493.84	
E7	LOCK_arm600_plus300	5	1173.23	38.56	0.2872	0.8284	10486.0	3.39	1169.84	
E7	PCT_arm900_give30	5	1178.97	27.92	0.2886	0.8028	9384.0	837.43	341.55	
E7	PCT_arm900_give50	5	1224.72	26.4	0.2998	0.8028	11610.0	292.62	932.09	
E7	SWING_arm900_w30m	5	1249.27	27.31	0.3058	0.7989	9626.0	1314.08	-64.81	
E7	SWING_arm900_w60m	5	1303.04	29.09	0.319	0.7916	11415.0	1066.23	236.81	
E7	LOCK_arm900_plus0	5	1438.1	34.35	0.352	0.7157	14274.0	10.89	1427.21	
E7	LOCK_arm900_plus300	5	1370.89	37.44	0.3356	0.8022	13676.0	66.85	1304.04	
E7	PCT_arm1200_give30	5	1302.68	30.43	0.3189	0.7887	11888.0	839.44	463.25	
E7	PCT_arm1200_give50	5	1326.89	33.17	0.3248	0.7887	13200.0	383.55	943.34	
E7	SWING_arm1200_w30m	5	1336.38	34.91	0.3271	0.7865	11601.0	1300.68	35.71	
E7	SWING_arm1200_w60m	5	1381.94	35.95	0.3383	0.7849	12707.0	1087.53	294.4	
E7	LOCK_arm1200_plus0	5	1476.67	36.12	0.3615	0.7366	14541.0	193.7	1282.97	
E7	LOCK_arm1200_plus300	5	1438.69	40.25	0.3522	0.7881	14269.0	218.1	1220.59	
