# PORT M2 port m2 NEW DECISION OBJECTS — joint (member x delay) ranking, rank-then-gate-verify, optimal stopping (E3-E7 develop, E8 one blind read) (lane=port-m2-newobj; version=PORT-M2-NEWOBJ-V1; seed=20260813)
# E8 QUARANTINE: every fit, threshold and selection in this file is made on E3-E7 only; E8 rows are ONE labeled blind read and were never an input to any choice.
# PER-FAMILY honest readings.  Each policy family is selected WITHIN ITSELF and carries ITS OWN search-adjusted null, which is narrower and far more informative than one bar over the whole search — a family of 30 knobs and a family of 3 do not deserve the same penalty.  __ALL__ is the global reading.
# ONLY INNER_BLOCK AND PREV_ERA ARE DEPLOYABLE.  ARGMAX_EVAL is printed as an upper bound and is never a promotion target.
# top5_trade_share_of_pnl separates an edge from a lottery: the void overnight arms sat at 0.76-0.89.
era	family	selector	cell	usd_per_session_ALL	sd_usd	ci_lo	ci_hi	n_trades_total	n_era_sessions	usd_per_trade	top5_trade_share_of_pnl	family_luck_bar	capture_of_causal_oracle	gap_to_aim	beats_search_adjusted_null	status
E5	SECTIME_RE	PREV_ERA_E4	S_TABPFN|SECTIME_RE_0.15	-40.5	0.0	-116.64	35.64	417.0	387	-37.58	0.128	35.76	-0.02	-1657.3	no	deployable
E5	TAU_LEVEL	ARGMAX_EVAL_UPPER_BOUND	S_TABPFN|TAU_0.8	55.15	0.0	-57.78	168.08	465.0	387	45.9	0.119	21.65	0.0273	-1561.65	YES	UPPER BOUND, NOT DEPLOYABLE
E5	TAU_LEVEL	INNER_BLOCK	A_PBAR_RAW|TAU_0.95	-32.99	30.14	-135.85	69.88	528.4	387	-24.16	0.104	21.65	-0.0163	-1649.79	no	deployable
E5	TAU_LEVEL	PREV_ERA_E4	A_PBAR_CAL|TAU_0.99	-19.8	30.5	-117.99	78.39	396.0	387	-18.21	0.121	21.65	-0.0098	-1636.6	no	deployable
E5	__ALL__	ARGMAX_EVAL_UPPER_BOUND	S_TABPFN|CELLSOFAR_0.99	88.7	0.0	-16.7	194.09	576.0	387	59.59	0.085	56.32	0.0439	-1528.1	YES	UPPER BOUND, NOT DEPLOYABLE
E5	__ALL__	INNER_BLOCK	S_TABPFN|SECDECL_0.2_0.5	7.64	0.0	-70.72	86.0	411.0	387	7.2	0.143	56.32	0.0038	-1609.16	no	deployable
E5	__ALL__	PREV_ERA_E4	S_TABPFN|SECDECL_0.2_0.5	7.64	0.0	-70.72	86.0	411.0	387	7.2	0.143	56.32	0.0038	-1609.16	no	deployable
E6	CELLSOFAR	ARGMAX_EVAL_UPPER_BOUND	S_XGB|CELLSOFAR_0.95	128.25	50.63	-0.08	256.57	697.0	384	70.0	0.078	4.93	0.0479	-2011.75	YES	UPPER BOUND, NOT DEPLOYABLE
E6	CELLSOFAR	INNER_BLOCK	S_TABPFN|CELLSOFAR_0.99	-6.86	0.0	-121.91	108.19	503.0	384	-5.24	0.107	4.93	-0.0026	-2146.86	no	deployable
E6	CELLSOFAR	PREV_ERA_E5	S_TABPFN|CELLSOFAR_0.99	-6.86	0.0	-121.91	108.19	503.0	384	-5.24	0.107	4.93	-0.0026	-2146.86	no	deployable
E6	DAYSOFAR	ARGMAX_EVAL_UPPER_BOUND	S_XGB|DAYSOFAR_0.9	104.08	64.71	-24.87	233.04	701.6	384	57.02	0.077	-30.07	0.0389	-2035.92	YES	UPPER BOUND, NOT DEPLOYABLE
E6	DAYSOFAR	INNER_BLOCK	A_EV_RAW|DAYSOFAR_0.5	-26.37	17.01	-136.93	84.19	709.2	384	-14.3	0.084	-30.07	-0.0099	-2166.37	YES	deployable
E6	DAYSOFAR	PREV_ERA_E5	S_XGB|DAYSOFAR_0.7	88.96	60.86	-35.58	213.51	730.0	384	46.2	0.076	-30.07	0.0333	-2051.04	YES	deployable
E6	FIRST	ARGMAX_EVAL_UPPER_BOUND	A_EV_CAL|FIRST_3	-25.87	0.0	-150.41	98.68	729.0	384	-13.62	0.081	-25.87	-0.0097	-2165.87	no	UPPER BOUND, NOT DEPLOYABLE
E6	FIRST	INNER_BLOCK	S_XGB|FIRST_3	-25.87	0.0	-150.41	98.68	729.0	384	-13.62	0.081	-25.87	-0.0097	-2165.87	no	deployable
E6	FIRST	PREV_ERA_E5	A_EV_CAL|FIRST_3	-25.87	0.0	-150.41	98.68	729.0	384	-13.62	0.081	-25.87	-0.0097	-2165.87	no	deployable
E6	OCC_LEVEL	ARGMAX_EVAL_UPPER_BOUND	S_XGB|OCCUPANCY_0.5	0.0	0.0	0.0	0.0	0.0	384			2.07	0.0	-2140.0	no	UPPER BOUND, NOT DEPLOYABLE
E6	OCC_LEVEL	INNER_BLOCK	S_TABPFN|OCCUPANCY_0.5	-45.84	0.0	-120.81	29.12	247.0	384	-71.27	0.189	2.07	-0.0171	-2185.84	no	deployable
E6	OCC_LEVEL	PREV_ERA_E5	S_TABPFN|OCCUPANCY_1	-41.19	0.0	-129.73	47.35	431.0	384	-36.7	0.141	2.07	-0.0154	-2181.19	no	deployable
E6	SECDECL	ARGMAX_EVAL_UPPER_BOUND	S_XGB|SECDECL_0.1_0.75	116.0	62.99	-13.52	245.52	699.2	384	63.14	0.081	13.39	0.0434	-2024.0	YES	UPPER BOUND, NOT DEPLOYABLE
E6	SECDECL	INNER_BLOCK	S_TABPFN|SECDECL_0.25_0.3	-56.36	0.0	-143.95	31.23	347.0	384	-62.37	0.14	13.39	-0.0211	-2196.36	no	deployable
E6	SECDECL	PREV_ERA_E5	S_TABPFN|SECDECL_0.25_0.9	-20.67	0.0	-97.1	55.76	246.0	384	-32.26	0.163	13.39	-0.0077	-2160.67	no	deployable
E6	SECNHAT	ARGMAX_EVAL_UPPER_BOUND	S_XGB|SECNHAT_0.05	116.45	53.57	-11.93	244.84	664.6	384	66.65	0.088	49.04	0.0435	-2023.55	YES	UPPER BOUND, NOT DEPLOYABLE
E6	SECNHAT	INNER_BLOCK	S_TABPFN|SECNHAT_0.05	-87.5	0.0	-197.53	22.53	491.0	384	-68.43	0.12	49.04	-0.0327	-2227.5	no	deployable
E6	SECNHAT	PREV_ERA_E5	S_TABPFN|SECNHAT_0.05	-87.5	0.0	-197.53	22.53	491.0	384	-68.43	0.12	49.04	-0.0327	-2227.5	no	deployable
E6	SECTIME	ARGMAX_EVAL_UPPER_BOUND	S_XGB|SECTIME_0.1	127.19	59.73	-5.49	259.88	650.0	384	74.45	0.087	46.88	0.0475	-2012.81	YES	UPPER BOUND, NOT DEPLOYABLE
E6	SECTIME	INNER_BLOCK	S_TABPFN|SECTIME_0.25	6.77	0.0	-69.27	82.82	216.0	384	12.04	0.171	46.88	0.0025	-2133.23	no	deployable
E6	SECTIME	PREV_ERA_E5	S_TABPFN|SECTIME_0.05	-31.47	0.0	-154.98	92.04	483.0	384	-25.02	0.107	46.88	-0.0118	-2171.47	no	deployable
E6	SECTIME_RE	ARGMAX_EVAL_UPPER_BOUND	S_XGB|SECTIME_RE_0.1	127.19	59.73	-5.49	259.88	650.0	384	74.45	0.087	35.58	0.0475	-2012.81	YES	UPPER BOUND, NOT DEPLOYABLE
E6	SECTIME_RE	INNER_BLOCK	S_TABPFN|SECTIME_RE_0.25	6.77	0.0	-69.27	82.82	216.0	384	12.04	0.171	35.58	0.0025	-2133.23	no	deployable
E6	SECTIME_RE	PREV_ERA_E5	S_TABPFN|SECTIME_RE_0.05	-31.47	0.0	-154.98	92.04	483.0	384	-25.02	0.107	35.58	-0.0118	-2171.47	no	deployable
E6	TAU_LEVEL	ARGMAX_EVAL_UPPER_BOUND	S_TABPFN|TAU_0.8	39.61	0.0	-77.48	156.7	383.0	384	39.71	0.106	37.32	0.0148	-2100.39	YES	UPPER BOUND, NOT DEPLOYABLE
E6	TAU_LEVEL	INNER_BLOCK	S_TABPFN|TAU_0.8	39.61	0.0	-77.48	156.7	383.0	384	39.71	0.106	37.32	0.0148	-2100.39	YES	deployable
E6	TAU_LEVEL	PREV_ERA_E5	S_TABPFN|TAU_0.8	39.61	0.0	-77.48	156.7	383.0	384	39.71	0.106	37.32	0.0148	-2100.39	YES	deployable
E6	__ALL__	ARGMAX_EVAL_UPPER_BOUND	S_XGB|CELLSOFAR_0.95	128.25	50.63	-0.08	256.57	697.0	384	70.0	0.078	49.04	0.0479	-2011.75	YES	UPPER BOUND, NOT DEPLOYABLE
E6	__ALL__	INNER_BLOCK	S_TABPFN|CELLSOFAR_0.99	-6.86	0.0	-121.91	108.19	503.0	384	-5.24	0.107	49.04	-0.0026	-2146.86	no	deployable
E6	__ALL__	PREV_ERA_E5	S_TABPFN|CELLSOFAR_0.99	-6.86	0.0	-121.91	108.19	503.0	384	-5.24	0.107	49.04	-0.0026	-2146.86	no	deployable
E7	CELLSOFAR	ARGMAX_EVAL_UPPER_BOUND	S_XGB|CELLSOFAR_0.9	99.95	10.9	-90.71	290.6	690.0	393	56.89	0.113	47.84	0.0297	-2588.05	YES	UPPER BOUND, NOT DEPLOYABLE
E7	CELLSOFAR	INNER_BLOCK	S_TABPFN|CELLSOFAR_0.9	22.21	0.0	-110.43	154.85	613.0	393	14.24	0.087	47.84	0.0066	-2665.79	no	deployable
E7	CELLSOFAR	PREV_ERA_E6	S_XGB|CELLSOFAR_0.95	88.53	13.68	-91.61	268.67	670.8	393	51.86	0.116	47.84	0.0263	-2599.47	YES	deployable
E7	DAYSOFAR	ARGMAX_EVAL_UPPER_BOUND	S_XGB|DAYSOFAR_0.9	101.77	11.19	-72.78	276.33	692.4	393	57.77	0.113	27.57	0.0303	-2586.23	YES	UPPER BOUND, NOT DEPLOYABLE
E7	DAYSOFAR	INNER_BLOCK	S_XGB|DAYSOFAR_0.5	-18.37	23.0	-158.09	121.36	685.8	393	-10.59	0.092	27.57	-0.0055	-2706.37	no	deployable
E7	DAYSOFAR	PREV_ERA_E6	S_XGB|DAYSOFAR_0.9	101.77	11.19	-72.78	276.33	692.4	393	57.77	0.113	27.57	0.0303	-2586.23	YES	deployable
E7	FIRST	ARGMAX_EVAL_UPPER_BOUND	A_EV_CAL|FIRST_3	-68.19	0.0	-206.41	70.03	686.0	393	-39.07	0.097	-68.19	-0.0203	-2756.19	no	UPPER BOUND, NOT DEPLOYABLE
E7	FIRST	INNER_BLOCK	S_XGB|FIRST_3	-68.19	0.0	-206.41	70.03	686.0	393	-39.07	0.097	-68.19	-0.0203	-2756.19	no	deployable
E7	FIRST	PREV_ERA_E6	A_EV_CAL|FIRST_3	-68.19	0.0	-206.41	70.03	686.0	393	-39.07	0.097	-68.19	-0.0203	-2756.19	no	deployable
E7	OCC_LEVEL	ARGMAX_EVAL_UPPER_BOUND	S_XGB|OCCUPANCY_0.5	0.0	0.0	0.0	0.0	0.0	393			40.13	0.0	-2688.0	no	UPPER BOUND, NOT DEPLOYABLE
E7	OCC_LEVEL	INNER_BLOCK	S_XGB|OCCUPANCY_0.5	0.0	0.0	0.0	0.0	0.0	393			40.13	0.0	-2688.0	no	deployable
E7	OCC_LEVEL	PREV_ERA_E6	S_XGB|OCCUPANCY_0.5	0.0	0.0	0.0	0.0	0.0	393			40.13	0.0	-2688.0	no	deployable
E7	SECDECL	ARGMAX_EVAL_UPPER_BOUND	S_XGB|SECDECL_0.05_0.75	60.87	8.32	-104.41	226.15	679.4	393	35.22	0.107	100.72	0.0181	-2627.13	no	UPPER BOUND, NOT DEPLOYABLE
E7	SECDECL	INNER_BLOCK	A_PBAR_CAL|SECDECL_0.15_0.9	-89.19	34.5	-190.63	12.26	486.4	393	-72.23	0.128	100.72	-0.0265	-2777.19	no	deployable
E7	SECDECL	PREV_ERA_E6	S_XGB|SECDECL_0.1_0.75	40.21	12.09	-119.32	199.74	658.0	393	24.0	0.108	100.72	0.012	-2647.79	no	deployable
E7	SECNHAT	ARGMAX_EVAL_UPPER_BOUND	S_TABPFN|SECNHAT_0.05	60.83	0.0	-77.02	198.68	555.0	393	43.07	0.102	34.33	0.0181	-2627.17	YES	UPPER BOUND, NOT DEPLOYABLE
E7	SECNHAT	INNER_BLOCK	S_TABPFN|SECNHAT_0.25	-20.91	0.0	-122.38	80.56	286.0	393	-28.73	0.209	34.33	-0.0062	-2708.91	no	deployable
E7	SECNHAT	PREV_ERA_E6	S_XGB|SECNHAT_0.05	-12.31	11.94	-156.1	131.49	624.0	393	-7.8	0.112	34.33	-0.0037	-2700.31	no	deployable
E7	SECTIME	ARGMAX_EVAL_UPPER_BOUND	A_PWIN_RAW|SECTIME_0.05	45.13	39.99	-100.46	190.72	546.8	393	31.76	0.115	32.14	0.0134	-2642.87	YES	UPPER BOUND, NOT DEPLOYABLE
E7	SECTIME	INNER_BLOCK	A_PBAR_RAW|SECTIME_0.15	-44.27	19.21	-146.76	58.22	378.4	393	-46.55	0.165	32.14	-0.0132	-2732.27	no	deployable
E7	SECTIME	PREV_ERA_E6	S_XGB|SECTIME_0.1	8.09	16.87	-138.32	154.5	610.0	393	5.13	0.112	32.14	0.0024	-2679.91	no	deployable
E7	SECTIME_RE	ARGMAX_EVAL_UPPER_BOUND	A_PWIN_RAW|SECTIME_RE_0.05	45.13	39.99	-100.46	190.72	546.8	393	31.76	0.115	19.76	0.0134	-2642.87	YES	UPPER BOUND, NOT DEPLOYABLE
E7	SECTIME_RE	INNER_BLOCK	A_PBAR_RAW|SECTIME_RE_0.15	-44.27	19.21	-146.76	58.22	378.4	393	-46.55	0.165	19.76	-0.0132	-2732.27	no	deployable
E7	SECTIME_RE	PREV_ERA_E6	S_XGB|SECTIME_RE_0.1	8.09	16.87	-138.32	154.5	610.0	393	5.13	0.112	19.76	0.0024	-2679.91	no	deployable
E7	TAU_LEVEL	ARGMAX_EVAL_UPPER_BOUND	S_TABPFN|TAU_0.9	33.87	0.0	-82.01	149.76	294.0	393	45.28	0.189	71.42	0.0101	-2654.13	no	UPPER BOUND, NOT DEPLOYABLE
E7	TAU_LEVEL	INNER_BLOCK	S_TABPFN|TAU_0.8	-143.35	0.0	-262.38	-24.31	422.0	393	-133.5	0.136	71.42	-0.0427	-2831.35	no	deployable
E7	TAU_LEVEL	PREV_ERA_E6	S_TABPFN|TAU_0.8	-143.35	0.0	-262.38	-24.31	422.0	393	-133.5	0.136	71.42	-0.0427	-2831.35	no	deployable
E7	__ALL__	ARGMAX_EVAL_UPPER_BOUND	S_XGB|DAYSOFAR_0.9	101.77	11.19	-72.78	276.33	692.4	393	57.77	0.113	100.72	0.0303	-2586.23	YES	UPPER BOUND, NOT DEPLOYABLE
E7	__ALL__	INNER_BLOCK	S_TABPFN|TAU_0.8	-143.35	0.0	-262.38	-24.31	422.0	393	-133.5	0.136	100.72	-0.0427	-2831.35	no	deployable
E7	__ALL__	PREV_ERA_E6	S_XGB|CELLSOFAR_0.95	88.53	13.68	-91.61	268.67	670.8	393	51.86	0.116	100.72	0.0263	-2599.47	no	deployable
