# PORT M2 M2.SEQ raw-event sequence model at candidate grain (lane=port-m2-seqtest; seed=20260813; device=NVIDIA RTX PRO 6000 Blackwell Workstation Edition)
# Every arm scored through the m3_walk DEPLOYABLE arm VERBATIM: top-3 per asset-day, D-077-UPDATE news veto ON, one-position chronological walled phase-close replay.  Only the SCORE differs.
# CIs are CR1, clustered by DAY.  FORESIGHT3_NONCAUSAL is the schedule's own ceiling and is not a result.
# TEACHER_CHANNEL_REFERENCE is NOT identically scored: 15 sealed hand takes over E6 study/blind days, +$299/trade, ~40-47% precision, capture 0.153 (round 1, n=22 takes) and -0.022 (round 2, n=3) — provenance JOURNAL 2026-08-15 22:00Z and INFO_CEILING.md S2.
arm	era	n_takes	n_seated	usd_per_session	ps_lo	ps_hi	usd_per_trade	pt_lo	pt_hi	frac_ge_1000	capture_day	capture_oracle	co_lo	co_hi	auc_winner
HYBRID_COMPOSED	E6	1152	425	34.11	-78.78	147.01	30.82	-71.31	132.96	0.1412	0.0101	0.0113	-0.0261	0.0486	0.6827
BASE_EARLIEST	E6	74006	1705	-16.36	-218.42	185.71	-3.68			0.1267	-0.0048	-0.0054	-0.0724	0.0616	
RANDOM3	E6			-66.6			-31.8					-0.0221	-0.0585	0.0222	
FORESIGHT3_NONCAUSAL	E6	1152	413	1891.89	1761.42	2022.36	1759.04	1629.53	1888.56	0.7167	0.5596	0.6264	0.5947	0.6582	
SEQ_COMPOSED	E7	1179	656	47.44	-76.73	171.62	28.42	-46.28	103.12	0.1357	0.0116	0.0119	-0.0193	0.0432	0.5741
SEQ_PRIMARY	E7	1179	704	-62.85	-196.93	71.22	-35.09	-109.72	39.54	0.1065	-0.0153	-0.0158	-0.0497	0.0181	0.4309
GBT_COMPOSED	E7	1179	422	25.87	-81.2	132.93	24.09	-75.61	123.78	0.1611	0.0063	0.0065	-0.0204	0.0335	0.6564
GBT_PRIMARY	E7	1179	516	140.64	47.29	233.98	107.11	35.98	178.25	0.0581	0.0343	0.0354	0.0124	0.0583	0.4927
HYBRID_COMPOSED	E7	1179	430	20.5	-89.23	130.23	18.74	-81.66	119.13	0.1674	0.005	0.0052	-0.0225	0.0328	0.6523
BASE_EARLIEST	E7	75054	1998	-297.64	-550.55	-44.72	-58.54			0.1346	-0.0726	-0.0749	-0.1385	-0.0112	
RANDOM3	E7			-66.17			-30.28					-0.0166	-0.0545	0.0179	
FORESIGHT3_NONCAUSAL	E7	1179	430	2249.75	2088.66	2410.83	2056.16	1895.4	2216.92	0.814	0.5485	0.5658	0.5409	0.5908	
SEQ_COMPOSED	E8	1143	597	135.18	-26.72	297.07	86.27	-17.25	189.79	0.1625	0.0315	0.0312	-0.0059	0.0682	0.5504
SEQ_PRIMARY	E8	1143	622	-31.1	-164.76	102.57	-19.05	-100.84	62.74	0.1286	-0.0072	-0.0072	-0.0381	0.0238	0.4891
GBT_COMPOSED	E8	1143	427	166.28	30.06	302.5	148.37	25.87	270.86	0.2155	0.0387	0.0383	0.0072	0.0694	0.64
GBT_PRIMARY	E8	1143	459	58.17	-13.06	129.39	48.28	-10.99	107.55	0.0632	0.0136	0.0134	-0.0031	0.03	0.5034
HYBRID_COMPOSED	E8	1143	434	142.78	4.84	280.72	125.34	3.56	247.12	0.212	0.0333	0.0329	0.0012	0.0646	0.6394
BASE_EARLIEST	E8	76354	2010	-303.97	-570.12	-37.82	-57.62			0.1318	-0.0708	-0.0701	-0.1302	-0.0099	
RANDOM3	E8			-94.29			-42.99					-0.0217	-0.0484	0.0101	
FORESIGHT3_NONCAUSAL	E8	1143	417	2370.36	2135.2	2605.53	2165.73	1945.9	2385.56	0.8585	0.5522	0.5463	0.5148	0.5778	
BASE_EARLIEST	POOLED_E3-E8			-168.18	-253.26	-83.11					-0.0501	-0.0568	-0.0855	-0.0282	
FORESIGHT3_NONCAUSAL	POOLED_E3-E8			1868.34	1805.34	1931.35					0.5566	0.6315	0.6169	0.6462	
GBT_COMPOSED	POOLED_E3-E8			80.17	38.04	122.29					0.0239	0.0271	0.0129	0.0413	
GBT_PRIMARY	POOLED_E3-E8			95.41	67.96	122.85					0.0284	0.0322	0.0229	0.0416	
HYBRID_COMPOSED	POOLED_E3-E8			59.79	17.14	102.45					0.0178	0.0202	0.0058	0.0346	
SEQ_COMPOSED	POOLED_E3-E8			20.22	-27.36	67.79					0.006	0.0068	-0.0092	0.0229	
SEQ_PRIMARY	POOLED_E3-E8			-44.48	-88.27	-0.7					-0.0133	-0.015	-0.0299	-0.0002	
TEACHER_CHANNEL_REFERENCE	E6_study+blind	15	15				299.0					0.153	-0.022		
