# PORT M2 D-090.6 information ceiling (E6, hindsight-fit, NON-CAUSAL-BY-DESIGN) (PORT-M2-INFO-CEILING-V1)
# NON-CAUSAL-BY-DESIGN: hindsight-fit upper bound over ALL E6 sessions (study + sealed blind). NOT a deployable result.
# mean_diff = mean(winner leg - loser leg), CR1 interval CLUSTERED BY DAY; sign_for_winner = the direction that points at the paying side
# pair_acc_kfold: the sign is chosen on 4/5 of the DAYS and scored on the held-out fifth — 0.50 is a coin flip
# NON-CAUSAL-BY-DESIGN: the pair set is defined by outcomes, so this table says what information EXISTS in the views, never what a live reader could have selected on
rank	field	layer	group	n_pairs	sign_for_winner	mean_diff	ci_lo	ci_hi	p_clustered_by_day	pair_acc_in_sample	pair_acc_kfold
139	xa_SI_fuel_share_above	SHEETS	xasset	3225	-1	-9.76871e-06	-2.92363e-05	9.69883e-06	0.322595	0.500155	0.499845
140	xa_SI_range_so_far	SHEETS	xasset	3225	-1	-0.344961	-1.03242	0.342494	0.322595	0.500155	0.499845
141	xa_NKD_sflow_phase	SHEETS	xasset	3225	-1	-0.0787597	-0.235183	0.0776633	0.320955	0.500155	0.499845
142	fc_menu_hat	SHEETS	forecast	3251	-1	-0.000691457	-0.003097	0.00171409	0.570477	0.500154	0.499539
143	cls_SHOCK_RESOLUTION	DIGEST	class	3251	-1	-0.000615195	-0.00254774	0.00131735	0.529852	0.500308	0.499385
144	fam_POST_SHOCK	DIGEST	class	3251	-1	-0.000615195	-0.00254774	0.00131735	0.529852	0.500308	0.499385
145	levfam_NDAY	DIGEST	level	3251	1	0	-0.00122228	0.00122228	1	0.5	0.499385
146	levfam_OR_EXT	DIGEST	level	3251	1	0.000307598	-0.00152712	0.00214231	0.740605	0.500154	0.499231
147	flag_FIRST_TEST_VIRGIN	SHEETS	level	3251	-1	-0.000307598	-0.00192628	0.00131108	0.707502	0.500154	0.499231
148	post_news_10_20	SHEETS	news	3251	-1	-0.000922793	-0.00311081	0.00126523	0.405507	0.500461	0.499231
149	flow_disagree_30m	SHEETS	flow	3251	1	0.000922793	-0.00962556	0.0114711	0.862831	0.500461	0.499231
150	fam_FIRST_TEST	DIGEST	class	3251	1	0	-0.00172856	0.00172856	1	0.5	0.499077
151	cls_LEVEL_FIRST_TEST	DIGEST	class	3251	-1	-0.000307598	-0.00192294	0.00130774	0.706926	0.500154	0.498923
152	levfam_PRIOR_DAY	DIGEST	level	3251	-1	-0.000307598	-0.00233586	0.00172067	0.764579	0.500154	0.498923
153	cls_RECLAIM	DIGEST	class	3251	1	0.000307598	-0.00388119	0.00449638	0.884688	0.500154	0.498308
154	fam_G2_RECLAIM	DIGEST	class	3251	1	0.000307598	-0.00388119	0.00449638	0.884688	0.500154	0.498308
155	rung_0.11	DIGEST	class	3251	-1	-0.00276838	-0.010736	0.0051992	0.492966	0.501384	0.498308
156	rung_0.05	DIGEST	class	3251	1	0	-0.012069	0.012069	1	0.5	0.497847
157	cls_NEWS_WINDOW	DIGEST	class	3251	-1	-0.00215318	-0.00781177	0.0035054	0.452836	0.501077	0.497693
158	fam_NEWS_WINDOW	DIGEST	class	3251	-1	-0.00215318	-0.00781177	0.0035054	0.452836	0.501077	0.497693
159	flow_disagree_5m	SHEETS	flow	3251	1	0.00184559	-0.0188801	0.0225713	0.860401	0.500923	0.497539
160	fam_G1	DIGEST	class	3251	1	0.00399877	-0.00724426	0.0152418	0.482822	0.501999	0.497385
161	levfam_VWAP	DIGEST	level	3251	-1	-0.00123039	-0.00733712	0.00487634	0.690771	0.500615	0.497232
162	flag_OREXT_BEYOND_ANY	SHEETS	level	3251	1	0	-0.00758402	0.00758402	1	0.5	0.497232
163	thru_ask	SHEETS	event	3251	-1	0.00276838	-0.141238	0.146775	0.969713	0.501846	0.497232
164	levfam_FVOL_BAND	DIGEST	level	3251	-1	-0.000615195	-0.00573169	0.0045013	0.812309	0.500308	0.496924
165	conf_to_dec_sec	SHEETS	geometry	3251	1	0.0968933	-0.676219	0.870006	0.804521	0.500461	0.49677
166	cls_REVERSAL_CONFIRMATION	DIGEST	class	3251	1	0.00123039	-0.00702179	0.00948257	0.768432	0.500615	0.496616
167	fam_G2_REJECT	DIGEST	class	3251	-1	-0.00184559	-0.0115296	0.00783842	0.706694	0.500923	0.496001
168	stack_asym	SEQ	seq	3251	-1	0.00569056	-0.0408154	0.0521965	0.809057	0.500615	0.496001
169	fev_sflow_signed	SHEETS	news	3251	1	-2.08428	-62.0665	57.898	0.945285	0.503537	0.495847
170	w600_hit_bid	SEQ	seq	3251	-1	0.506613	-2.90419	3.91742	0.769287	0.50323	0.495847
171	day_type_frac	DIGEST	regime	3251	1	8.71658e-05	-0.000663429	0.000837761	0.818608	0.501692	0.49554
172	range_so_far_usd	DIGEST	regime	3251	1	0.497924	-1.07068	2.06653	0.531019	0.501692	0.49554
173	coverage_session	DIGEST	seat	3251	1	0.000153188	-0.0003529	0.000659275	0.550239	0.501692	0.49554
174	unspent_sess_usd	DIGEST	seat	3251	-1	-0.497924	-2.06653	1.07068	0.531018	0.501692	0.49554
175	add_walk_up	SEQ	seq	3251	-1	-0.589665	-1.70998	0.530653	0.299589	0.504153	0.49554
176	in_va	DIGEST	fuel_poc	3251	-1	-0.000922793	-0.0125778	0.0107322	0.875743	0.500308	0.495078
177	trade_retreat_up	SEQ	seq	3251	-1	-0.242387	-1.18839	0.70362	0.613003	0.503384	0.495078
178	w600_bid_reload	SEQ	seq	3251	1	0.201784	-0.958461	1.36203	0.73129	0.504306	0.495078
179	fam_G1_FINE	DIGEST	class	3251	1	0.000307598	-0.0124361	0.0130513	0.961978	0.500154	0.494925
180	add_walk_dn	SEQ	seq	3251	1	-0.753922	-1.90656	0.398721	0.197892	0.500461	0.494309
181	w600_pull_ratio_dn	SEQ	seq	3249	-1	-0.000256953	-0.00149213	0.000978225	0.681271	0.505386	0.494306
182	clock_cos	DIGEST	clock	3251	-1	-1.209e-05	-0.000165406	0.000141226	0.876239	0.504922	0.493233
183	n_level_fams	DIGEST	level	3251	-1	0	-0.0123141	0.0123141	1	0.500769	0.493079
184	n_conf_fam_at_refail	SHEETS	level	3251	1	0.00338357	-0.0393649	0.0461321	0.875782	0.502922	0.493079
185	slope_1m_with	DIGEST	flow	3238	1	2.68105	-7.49074	12.8528	0.602856	0.504787	0.493051
186	w600_l1_ct_asym	SEQ	seq	3251	1	0.072593	-0.100524	0.24571	0.408197	0.501384	0.492771
187	l1_ct_asym	SEQ	seq	3250	1	0.0726154	-0.100548	0.245778	0.408179	0.501385	0.492769
188	refail_age_sec	SHEETS	level	3251	1	2.23654	-5.39889	9.87198	0.563171	0.505383	0.492464
189	fuel_below	DIGEST	fuel_poc	3251	1	47.1827	-11.5571	105.923	0.11443	0.505537	0.49231
190	ev_per_s	SEQ	seq	3251	1	-0.144608	-0.410874	0.121658	0.28453	0.50123	0.49231
191	dbsz_min	DIGEST	event	3248	-1	-0.1758	-0.549853	0.198252	0.354101	0.503387	0.492303
192	pivot_age_sec	SHEETS	level	3251	1	0.885574	-7.58954	9.36069	0.836512	0.505691	0.492156
193	hit_ask	SEQ	seq	3251	-1	0.611504	-2.59598	3.81899	0.706594	0.501384	0.491849
194	slope_5m_usd	DIGEST	flow	3233	-1	0.0483297	-1.7824	1.87906	0.958418	0.504794	0.491185
195	n_trades	SEQ	seq	3251	1	-0.655798	-3.3119	2.0003	0.625965	0.500923	0.490772
196	pos_in_phase_range	SHEETS	geometry	3251	1	0.00285694	-0.00118217	0.00689605	0.164042	0.506767	0.490464
197	w600_add_walk_dn	SEQ	seq	3251	1	0.0999692	-1.2406	1.44054	0.882913	0.502768	0.490464
198	n_ev	SEQ	seq	3251	1	-17.2436	-49.3764	14.8891	0.290272	0.500923	0.490157
199	one_side_pull	SEQ	seq	3244	-1	0.000534925	-0.00665683	0.00772668	0.883212	0.500771	0.489982
200	w600_trade_retreat_up	SEQ	seq	3251	1	0.285143	-0.779944	1.35023	0.597179	0.501846	0.489542
201	thru_n	SHEETS	event	3251	1	0.0433713	-0.197173	0.283916	0.721826	0.500461	0.48908
202	fuel_share_above	SHEETS	fuel_poc	3250	-1	-0.00476083	-0.00956209	4.04201e-05	0.0519304	0.503231	0.489077
203	w600_hit_ask	SEQ	seq	3251	1	0.776992	-2.63913	4.19312	0.653402	0.5	0.488619
204	clock_sin	DIGEST	clock	3251	1	3.89694e-06	-0.000192466	0.00020026	0.968734	0.503384	0.488004
205	cancel_retreat_dn	SEQ	seq	3251	-1	-0.290372	-0.867892	0.287148	0.321638	0.500923	0.488004
206	n_conf_fam_at_refail_2t	SHEETS	level	3251	-1	-0.0190711	-0.0805266	0.0423845	0.540244	0.501077	0.48785
207	w600_cancel_retreat_dn	SEQ	seq	3251	1	-0.00615195	-0.503969	0.491666	0.980528	0.502461	0.487081
208	rv60_usd	DIGEST	seat	3251	1	-1.09025	-3.16529	0.984788	0.300436	0.501384	0.48662
209	f60_vol	DIGEST	flow	3251	-1	0.246386	-3.86807	4.36084	0.905855	0.501384	0.486004
210	c2f_60	DIGEST	event	3123	1	0.102124	-0.731824	0.936072	0.808897	0.501441	0.485751
211	ask_reload	SEQ	seq	3251	1	-0.569056	-1.68257	0.54446	0.313791	0.500615	0.484313
212	c2f_300	SHEETS	event	3247	-1	-0.105149	-0.521185	0.310887	0.61783	0.502156	0.483369
213	refail_gap_sec	SHEETS	level	3251	-1	-0.436481	-20.4071	19.5341	0.965568	0.502768	0.482467
214	rv_ratio	DIGEST	seat	3246	1	-0.031014	-0.122751	0.0607233	0.504695	0.500154	0.479513
215	room_with_usd	SHEETS	geometry	3251	-1	-74.8366	-366.915	217.242	0.613003	0.513073	0.472162
216	f30m_sflow_with	SHEETS	flow	3251	1	-17.3362	-67.2992	32.6268	0.493556	0.500308	0.471701
217	fuel_share_with	SHEETS	fuel_poc	3250	-1	-0.0238685	-0.0978865	0.0501495	0.52453	0.512769	0.471231
218	ext_needed_usd	DIGEST	geometry	3251	1	10.8851	-54.3665	76.1367	0.741852	0.510458	0.470471
219	room_against_usd	SHEETS	geometry	3251	1	75.3633	-216.974	367.701	0.610825	0.51092	0.470317
220	prev_phase_ret_with	SHEETS	geometry	2019	1	131.953	-317.666	581.571	0.562108	0.512382	0.469292
221	extreme_age_sec	DIGEST	geometry	3251	-1	-113.406	-1417.2	1190.39	0.863608	0.504153	0.459243
