# PORT M2 port m2 NEW DECISION OBJECTS — joint (member x delay) ranking, rank-then-gate-verify, optimal stopping (E3-E7 develop, E8 one blind read) (lane=port-m2-newobj; version=PORT-M2-NEWOBJ-V1; seed=20260813)
# E8 QUARANTINE: every fit, threshold and selection in this file is made on E3-E7 only; E8 rows are ONE labeled blind read and were never an input to any choice.
# THE TWO NAMED TESTS ON THE DEPLOYABLE LINE.  T1 = H1_NOMONO, the day-grouped ranker with the inherited monotone constraints STRIPPED — the confound removed so the hypothesis is judged clean.  T2 = the never-tried objective: day-grouped ranking on the CERTIFICATE itself, as full-resolution within-day rank (H3_DAYPAIR) and as regression onto the within-day normal score (H3_DAYZ).
# NO MONOTONE CONSTRAINTS ANYWHERE IN THIS STAGE.  The champion's sign vector was fitted for a different objective on a different grouping and is the named suspect for H1's negative correlation.
# TAUZ rides as a first-class rule in the family, alongside TAU, OCCUPANCY, DAYSOFAR, CELLSOFAR and SECTIME.
# THE PRE-REGISTERED BAR, unchanged: positive in all three binding eras, clearing the search-adjusted null in all three, and beating the incumbent S_XGB|DAYSOFAR ($57.76 / $88.96 / $101.77) in at least two of three, top-5 concentration below 0.30.
# READ THIS BESIDE T2_AXIS_SPEARMAN.tsv: the axis moves first and the dollars follow it.  A column that lifts within-day spearman without lifting dollars, or the reverse, is telling you the dollars are coming from the rule and not the score.
link	search_width	selector	cell_chosen	usd_on_selector	usd_on_TARGET_BLIND	sd_usd	ci_lo	ci_hi	n_trades_total	n_era_sessions	top5_trade_share_of_pnl	search_adjusted_null	n_cells_searched	beats_null	incumbent_S_XGB_DAYSOFAR	delta_vs_incumbent	beats_incumbent	capture_of_causal_oracle	sign
E5->E6	NARROW_A_EV_RAW	INNER_BLOCK	A_EV_RAW|DAYSOFAR_0.5	48.15	-26.37	17.01	-136.93	84.19	709.2	384	0.084	-21.37	28	no	88.96	-115.33	no	-0.0099	NEGATIVE
E5->E6	NARROW_H1_DAYRANK	PREV_ERA	H1_DAYRANK|TAU_0.7	73.24	-2.46	43.26	-127.95	123.02	700.4	384	0.084	0.0	28	no	88.96	-91.42	no	-0.0009	NEGATIVE
E5->E6	NARROW_H1_DAYRANK	INNER_BLOCK	H1_DAYRANK|TAU_0.8	31.17	58.66	58.49	-72.23	189.56	673.6	384	0.086	0.0	28	YES	88.96	-30.3	no	0.0219	POSITIVE
E5->E6	NARROW_H1_NOMONO	PREV_ERA	H1_NOMONO|TAU_0.7	76.34	-7.03	31.89	-133.04	118.98	639.4	384	0.084	0.6	28	no	88.96	-95.99	no	-0.0026	NEGATIVE
E5->E6	NARROW_H1_NOMONO	INNER_BLOCK	H1_NOMONO|CELLSOFAR_0.9	27.54	-22.42	33.82	-136.96	92.12	602.0	384	0.085	0.6	28	no	88.96	-111.38	no	-0.0084	NEGATIVE
E5->E6	NARROW_H3_DAYPAIR	PREV_ERA	H3_DAYPAIR|TAU_0.7	96.34	2.65	40.81	-121.62	126.92	706.2	384	0.084	0.0	28	YES	88.96	-86.31	no	0.001	POSITIVE
E5->E6	NARROW_H3_DAYPAIR	INNER_BLOCK	H3_DAYPAIR|TAU_0.8	55.48	-32.38	38.95	-141.97	77.21	652.6	384	0.087	0.0	28	no	88.96	-121.34	no	-0.0121	NEGATIVE
E5->E6	NARROW_H3_DAYZ	PREV_ERA	H3_DAYZ|DAYSOFAR_0.7	2.1	-54.77	41.87	-185.27	75.73	706.0	384	0.103	0.0	28	no	88.96	-143.73	no	-0.0205	NEGATIVE
E5->E6	NARROW_H3_DAYZ	INNER_BLOCK	H3_DAYZ|TAU_0.5	42.95	-44.1	38.92	-159.35	71.15	732.0	384	0.079	0.0	28	no	88.96	-133.06	no	-0.0165	NEGATIVE
E5->E6	WIDE_all_columns	PREV_ERA	H3_DAYPAIR|TAU_0.7	96.34	2.65	40.81	-121.62	126.92	706.2	384	0.084	0.6	168	YES	88.96	-86.31	no	0.001	POSITIVE
E5->E6	WIDE_all_columns	INNER_BLOCK	H3_DAYPAIR|TAU_0.8	55.48	-32.38	38.95	-141.97	77.21	652.6	384	0.087	0.6	168	no	88.96	-121.34	no	-0.0121	NEGATIVE
E6->E7	NARROW_S_XGB	PREV_ERA	S_XGB|CELLSOFAR_0.95	128.25	88.53	13.68	-91.61	268.67	670.8	393	0.116	18.02	28	YES	101.77	-13.24	no	0.0263	POSITIVE
E6->E7	NARROW_S_XGB	INNER_BLOCK	S_XGB|TAUZ_0.5	0.0	27.46	25.82	-107.24	162.15	590.0	393	0.117	18.02	28	YES	101.77	-74.31	no	0.0082	POSITIVE
E6->E7	NARROW_A_EV_RAW	PREV_ERA	A_EV_RAW|SECTIME_0.15	27.55	-69.26	32.01	-190.26	51.73	659.4	393	0.095	32.27	28	no	101.77	-171.03	no	-0.0206	NEGATIVE
E6->E7	NARROW_A_EV_RAW	INNER_BLOCK	A_EV_RAW|TAUZ_0.5	7.7	-82.68	45.2	-199.25	33.88	584.4	393	0.12	32.27	28	no	101.77	-184.45	no	-0.0246	NEGATIVE
E6->E7	NARROW_H1_DAYRANK	PREV_ERA	H1_DAYRANK|DAYSOFAR_0.9	134.64	-35.13	26.35	-160.56	90.3	651.4	393	0.106	18.16	28	no	101.77	-136.9	no	-0.0105	NEGATIVE
E6->E7	NARROW_H1_DAYRANK	INNER_BLOCK	H1_DAYRANK|DAYSOFAR_0.9	78.06	-35.13	26.35	-160.56	90.3	651.4	393	0.106	18.16	28	no	101.77	-136.9	no	-0.0105	NEGATIVE
E6->E7	NARROW_H1_NOMONO	PREV_ERA	H1_NOMONO|TAUZ_2	0.0	0.0	0.0	0.0	0.0	0.0	393		25.47	28	no	101.77	-101.77	no	0.0	NEGATIVE
E6->E7	NARROW_H1_NOMONO	INNER_BLOCK	H1_NOMONO|TAU_0.9	16.29	-58.66	48.28	-186.83	69.51	563.2	393	0.109	25.47	28	no	101.77	-160.43	no	-0.0175	NEGATIVE
E6->E7	NARROW_H3_DAYPAIR	PREV_ERA	H3_DAYPAIR|TAU_0.5	24.44	-58.12	41.38	-177.42	61.17	690.0	393	0.101	28.21	28	no	101.77	-159.89	no	-0.0173	NEGATIVE
E6->E7	NARROW_H3_DAYPAIR	INNER_BLOCK	H3_DAYPAIR|TAU_0.7	18.65	0.93	26.36	-121.39	123.26	688.0	393	0.088	28.21	28	no	101.77	-100.84	no	0.0003	POSITIVE
E6->E7	NARROW_H3_DAYZ	PREV_ERA	H3_DAYZ|TAUZ_0.5	7.51	-6.78	21.6	-42.62	29.06	41.0	393	0.664	35.09	28	no	101.77	-108.55	no	-0.002	NEGATIVE
E6->E7	NARROW_H3_DAYZ	INNER_BLOCK	H3_DAYZ|CELLSOFAR_0.95	3.92	-15.14	23.68	-156.69	126.4	705.8	393	0.09	35.09	28	no	101.77	-116.91	no	-0.0045	NEGATIVE
E6->E7	WIDE_all_columns	PREV_ERA	H1_DAYRANK|DAYSOFAR_0.9	134.64	-35.13	26.35	-160.56	90.3	651.4	393	0.106	35.09	168	no	101.77	-136.9	no	-0.0105	NEGATIVE
E6->E7	WIDE_all_columns	INNER_BLOCK	H1_DAYRANK|DAYSOFAR_0.9	78.06	-35.13	26.35	-160.56	90.3	651.4	393	0.106	35.09	168	no	101.77	-136.9	no	-0.0105	NEGATIVE
