target	status	pre_identity	recovery_artifact	recovery_command	authorization	postcheck
/workspace/.venvs	APPROVED_PENDING_CUTOVER	directory:entries=1269:regular_bytes=206049819:tree_sha256=a92dd1060e01e8fa13b9133931705551cd4a90026c5ca6b1c37f21302cce9651:mode=777:dev=67:ino=112868206:mtime_ns=1785609566000000000:ctime_ns=1785609566000000000	NONE_REPRODUCIBLE_CACHE	recreate_from_clean_lockfiles_if_needed	USER_REQUESTED_CLEANROOM_IMPLEMENTATION_2026-08-10	ABSENT_AFTER_CUTOVER
/workspace/.worktrees	APPROVED_PENDING_CUTOVER	directory:entries=41900:regular_bytes=41485185940:tree_sha256=b1e75b423297d3e49797c9df38f1a58fe80c03bfb87f2e451acc461271fe1d88:mode=777:dev=67:ino=340753865:mtime_ns=1786113545000000000:ctime_ns=1786113545000000000	/workspace/data/private_project_vault/git_recovery_20260810T144900Z.tar.zst.gpg	decrypt legacy Git recovery; follow RESTORE.md	USER_REQUESTED_CLEANROOM_IMPLEMENTATION_2026-08-10	ABSENT_AFTER_CUTOVER
/workspace/AGENTS.md	APPROVED_PENDING_CUTOVER	file:bytes=3884:sha256=b79cba8bfbd0adf6b2e7a2899940bb14f6a12fd4f850c505d80783c42775d0d7:mode=666:dev=67:ino=22263028:mtime_ns=1786113017000000000:ctime_ns=1786113017000000000	/workspace/data/private_project_vault/git_recovery_20260810T144900Z.tar.zst.gpg	decrypt legacy Git recovery; follow RESTORE.md	USER_REQUESTED_CLEANROOM_IMPLEMENTATION_2026-08-10	REPLACED_BY_CLEAN_MAIN
/workspace/CLAUDE.md	APPROVED_PENDING_CUTOVER	file:bytes=2748:sha256=4aee1d1c2c3d71302ccf293f33b111197d3ae21e04a1d424980af06bf4d3e4c5:mode=666:dev=67:ino=130739654:mtime_ns=1786112992000000000:ctime_ns=1786112992000000000	/workspace/data/private_project_vault/git_recovery_20260810T144900Z.tar.zst.gpg	decrypt legacy Git recovery; follow RESTORE.md	USER_REQUESTED_CLEANROOM_IMPLEMENTATION_2026-08-10	ABSENT_AFTER_CUTOVER
/workspace/CONTEXT_PACK.md	APPROVED_PENDING_CUTOVER	file:bytes=9586:sha256=26204f1a5753c732d7acfc4c5f5032b563ab5245f3604e3ded881bb8fd7c534a:mode=666:dev=67:ino=247050600:mtime_ns=1785430059000000000:ctime_ns=1785430059000000000	/workspace/data/private_project_vault/git_recovery_20260810T144900Z.tar.zst.gpg	decrypt legacy Git recovery; follow RESTORE.md	USER_REQUESTED_CLEANROOM_IMPLEMENTATION_2026-08-10	ABSENT_AFTER_CUTOVER
/workspace/Downloads.zip	APPROVED_PENDING_CUTOVER	file:bytes=21877536:sha256=a77f2b2e320b84cbb5fa8811fdd1307f72159f6d8f2162321ce3f6dce3df0429:mode=666:dev=67:ino=91661544:mtime_ns=1784130080000000000:ctime_ns=1784130080000000000	/workspace/data/private_project_vault/legacy_root_misc_20260810.tar.zst.gpg	decrypt legacy_root_misc archive	USER_REQUESTED_CLEANROOM_IMPLEMENTATION_2026-08-10	ABSENT_AFTER_CUTOVER
/workspace/HANDOFF_NEOBOX.md	APPROVED_PENDING_CUTOVER	file:bytes=265:sha256=2d497cd5c8ca6b2f8e9f151890c2d3043a8f03ec0fbe79e3c0aaa695bf8e7997:mode=666:dev=67:ino=44422101:mtime_ns=1786113034000000000:ctime_ns=1786113034000000000	/workspace/data/private_project_vault/git_recovery_20260810T144900Z.tar.zst.gpg	decrypt legacy Git recovery; follow RESTORE.md	USER_REQUESTED_CLEANROOM_IMPLEMENTATION_2026-08-10	ABSENT_AFTER_CUTOVER
/workspace/INDEX.md	APPROVED_PENDING_CUTOVER	file:bytes=9985:sha256=5918699788ba3f8220d55987856ad2533bdfe329fb81bf3860bfa280ce7316c5:mode=666:dev=67:ino=135908932:mtime_ns=1786194258000000000:ctime_ns=1786194258000000000	/workspace/data/private_project_vault/git_recovery_20260810T144900Z.tar.zst.gpg	decrypt legacy Git recovery; follow RESTORE.md	USER_REQUESTED_CLEANROOM_IMPLEMENTATION_2026-08-10	REPLACED_BY_CLEAN_MAIN
/workspace/PLAN.md	APPROVED_PENDING_CUTOVER	file:bytes=525:sha256=80ac5b99ff79fb0e13fb50d66043a33bf82355483886c54b8f4113d530e7622f:mode=666:dev=67:ino=42280413:mtime_ns=1786113032000000000:ctime_ns=1786113032000000000	/workspace/data/private_project_vault/git_recovery_20260810T144900Z.tar.zst.gpg	decrypt legacy Git recovery; follow RESTORE.md	USER_REQUESTED_CLEANROOM_IMPLEMENTATION_2026-08-10	REPLACED_BY_CLEAN_MAIN
/workspace/archive	APPROVED_PENDING_CUTOVER	directory:entries=4:regular_bytes=43039:tree_sha256=6f8dcff61c7ff36ddd9eb4c224e3dedca2274261f037e5122b19201252ef79b8:mode=777:dev=67:ino=167011437:mtime_ns=1785777019000000000:ctime_ns=1785777019000000000	/workspace/data/private_project_vault/git_recovery_20260810T144900Z.tar.zst.gpg	decrypt legacy Git recovery; follow RESTORE.md	USER_REQUESTED_CLEANROOM_IMPLEMENTATION_2026-08-10	ABSENT_AFTER_CUTOVER
/workspace/arxiv_ib_list.xml	APPROVED_PENDING_CUTOVER	file:bytes=0:sha256=e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855:mode=666:dev=67:ino=193770703:mtime_ns=1786256494000000000:ctime_ns=1786256494000000000	/workspace/data/private_project_vault/legacy_root_misc_20260810.tar.zst.gpg	decrypt legacy_root_misc archive	USER_REQUESTED_CLEANROOM_IMPLEMENTATION_2026-08-10	ABSENT_AFTER_CUTOVER
/workspace/chat-plan	APPROVED_PENDING_CUTOVER	directory:entries=3:regular_bytes=704753:tree_sha256=cb9fe8ba6f87a43849e2a0d0cab884dbf0cb7d107f886902b6be2ae66a0f9c66:mode=777:dev=67:ino=181653580:mtime_ns=1786210184000000000:ctime_ns=1786210184000000000	/workspace/data/private_project_vault/legacy_root_misc_20260810.tar.zst.gpg	decrypt legacy_root_misc archive	USER_REQUESTED_CLEANROOM_IMPLEMENTATION_2026-08-10	ABSENT_AFTER_CUTOVER
/workspace/config.toml	APPROVED_PENDING_CUTOVER	file:bytes=1785:sha256=56739b6cb9bfc1a55c8c689023285fd3dbf097ebccc44db92dc042dda02f9535:mode=666:dev=67:ino=845532007:mtime_ns=1783408056000000000:ctime_ns=1783408056000000000	/workspace/data/private_project_vault/legacy_root_misc_20260810.tar.zst.gpg	decrypt legacy_root_misc archive	USER_REQUESTED_CLEANROOM_IMPLEMENTATION_2026-08-10	ABSENT_AFTER_CUTOVER
/workspace/docs	APPROVED_PENDING_CUTOVER	directory:entries=285:regular_bytes=454692696:tree_sha256=55122dd1626459d6d9656007696be8d3f1e304bf125f2751a098e0165c79684d:mode=777:dev=67:ino=51863115:mtime_ns=1786194292000000000:ctime_ns=1786194292000000000	/workspace/data/private_project_vault/git_recovery_20260810T144900Z.tar.zst.gpg	decrypt legacy Git recovery; follow RESTORE.md	USER_REQUESTED_CLEANROOM_IMPLEMENTATION_2026-08-10	REPLACED_BY_CLEAN_MAIN
/workspace/engine	APPROVED_PENDING_CUTOVER	directory:entries=1378:regular_bytes=176239009:tree_sha256=a94351e1fcc8877478d96f4238aedc2074dee68be48dd156aa5e23d4a964da7b:mode=777:dev=67:ino=53052219:mtime_ns=1785911299000000000:ctime_ns=1785911299000000000	/workspace/data/private_project_vault/git_recovery_20260810T144900Z.tar.zst.gpg	decrypt legacy Git recovery; follow RESTORE.md	USER_REQUESTED_CLEANROOM_IMPLEMENTATION_2026-08-10	REPLACED_BY_CLEAN_MAIN
/workspace/lab	APPROVED_PENDING_CUTOVER	directory:entries=635:regular_bytes=390698421:tree_sha256=95d9e3a6d047c11f3579c5473cd1a66a44ca9cde1651b4807f210c04b4467792:mode=777:dev=67:ino=87369335:mtime_ns=1786194113000000000:ctime_ns=1786194113000000000	/workspace/data/private_project_vault/git_recovery_20260810T144900Z.tar.zst.gpg	decrypt legacy Git recovery; follow RESTORE.md	USER_REQUESTED_CLEANROOM_IMPLEMENTATION_2026-08-10	REPLACED_BY_CLEAN_MAIN
/workspace/oracle	APPROVED_PENDING_CUTOVER	directory:entries=61:regular_bytes=1119663:tree_sha256=bbb3edb7905c9d89999b9e9e39fb458e084f5c177b72019d1283ebfbfcb20088:mode=777:dev=67:ino=53456648:mtime_ns=1784643436000000000:ctime_ns=1784643436000000000	/workspace/data/private_project_vault/legacy_root_misc_20260810.tar.zst.gpg	decrypt legacy_root_misc archive	USER_REQUESTED_CLEANROOM_IMPLEMENTATION_2026-08-10	ABSENT_AFTER_CUTOVER
/workspace/research	APPROVED_PENDING_CUTOVER	directory:entries=1428:regular_bytes=843959321:tree_sha256=355f2e7e0d2c2918d1658b24d88859a4d29036dfa73e8756555fafda6b6b4907:mode=777:dev=67:ino=52976484:mtime_ns=1786127449000000000:ctime_ns=1786127449000000000	/workspace/data/private_project_vault/git_recovery_20260810T144900Z.tar.zst.gpg	decrypt legacy Git recovery; follow RESTORE.md	USER_REQUESTED_CLEANROOM_IMPLEMENTATION_2026-08-10	REPLACED_BY_CLEAN_MAIN
/workspace/tools	APPROVED_PENDING_CUTOVER	directory:entries=15824:regular_bytes=2183102686:tree_sha256=624576dcc2e85e38886887f38f0cc36f5eafed4fb8d86ac39c33e01f35993960:mode=777:dev=67:ino=97663077:mtime_ns=1786204821000000000:ctime_ns=1786204821000000000	/workspace/data/private_project_vault/git_recovery_20260810T144900Z.tar.zst.gpg	decrypt legacy Git recovery; follow RESTORE.md	USER_REQUESTED_CLEANROOM_IMPLEMENTATION_2026-08-10	REPLACED_BY_CLEAN_MAIN
/workspace/verdicts.pkl	APPROVED_PENDING_CUTOVER	file:bytes=22631:sha256=cf99aeb7b997996201d21e02505fd20c386bfa23eedbfc413e50233bf1c76cb5:mode=666:dev=67:ino=287364621:mtime_ns=1786256156000000000:ctime_ns=1786256156000000000	/workspace/data/private_project_vault/legacy_root_misc_20260810.tar.zst.gpg	decrypt legacy_root_misc archive	USER_REQUESTED_CLEANROOM_IMPLEMENTATION_2026-08-10	ABSENT_AFTER_CUTOVER
